"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode"
"1","2019-11-13 11:17:19-03","USP","SPF","63535","PreservedSpecimen","Plantae","Cactaceae","Coleocephalocereus","purpureus","Coleocephalocereus purpureus","(Buining & Brederoo) F.Ritter","Zappi, DC","1985","02","Thomas, WW","5972","1988","02","15","Brasil","Minas Gerais","Itinga","-41.8","-16.633333","-41.8","-16.633333","300","300","SPF00063535"
"2","2019-11-13 11:17:19-03","USP","SPF","80978","PreservedSpecimen","Plantae","Cactaceae","Coleocephalocereus","purpureus","Coleocephalocereus purpureus","(Buining & Brederoo) F.Ritter","Zappi, DC; Taylor, NP","1989",NA,"Harley, RM","25532","1988","11","19","Brasil","Minas Gerais","Itinga","-41.716667","-16.6","-41.716667","-16.6","300","300","SPF00080978"
