"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","777037","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Dichaea","anchorifera","Dichaea anchorifera","Cogn.","S. M. Silva","A. L. S. Gatti","257","1998","12","03","South America","Brazil","Paraná","Guaraqueçaba","Reserva Natural de Salto Morato, Casa de Hóspedes","-48.28","-25.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777037","NY00777037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:40:49-03","MN","R","3452","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Dichaea","anchorifera","Dichaea anchorifera","Rchb. f.","Hoehne, F.C.","Schwacke, C.A.W.",NA,"1883","01",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:49-03","MN","R","26429","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Dichaea","anchorifera","Dichaea anchorifera","Rchb. f.","Hoehne, F.C.","Brade, A.C.; Lima, S.","11777","1932","04",NA,NA,"Brasil","Rio de Janeiro","Santa Maria Madalena","Santo Antônio de Imbé","-42.0080986022949","-21.9552993774414",NA,NA,NA,NA,"30526","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:40:45-03","UFJF","CESJ","42234","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Dichaea","anchorifera","Dichaea anchorifera","Cogn.","N.L. Abreu","F.R.G. Salimena; K. Antunes; C.N. Matozinhos; O.J. Bastos Neto; P.H. Nobre","1303","2004","05","21","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Vilarejo do Funil, cânion.","-43.8278007507324","-22.0891990661621",NA,"Epífita, no interior de mata úmida e sombreada. Frutos verdes com tricomas alvos.","CESJ042234",NA,"20815","auto","2009","10",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:40:45-03","UFJF","CESJ","46621","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Dichaea","anchorifera","Dichaea anchorifera","Cogn.","N.L. Abreu","N.L. Abreu; L. Menini Neto; P.L. Viana; F.S. Souza; T.U.P. Konno; C.N. Matozinhos; V. Belch","59","2006","01","21","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Vilarejo do Funil, cânion.","-43.8278007507324","-22.0891990661621",NA,"Erva epífita. Pétalas e sépala dorsal creme-esverdeado pintalgado de castanho. Sépalas-laterais creme esverdeado, labelo creme. Fruto verde com ornamentações creme.","CESJ046621",NA,"20815","auto","2009","10",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:40:45-03","UFJF","CESJ","42726","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Dichaea","anchorifera","Dichaea anchorifera","Cogn.","N.L. Abreu","C.N. Matozinhos; O.J. Bastos Neto; B.F.Mello; F.R.G. Salimena; P.H. Nobre","23","2004","08","20","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Vilarejo do Funil, cânion.","-43.8278007507324","-22.0891990661621",NA,"Epífita em local úmido, frutos verdes.","CESJ042726",NA,"20815","auto","2009","10",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-11 17:20:55-03","UFPR","UPCB","40532","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Dichaea","anchorifera","Dichaea anchorifera","Cogn.","Gatti, A.L.S.","Gatti, G.","565","1999","12","20",NA,"Brasil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato, Floresta Primária","-48.3288993835449","-25.3066997528076",NA,"Epífita, coletada sobre árvore caída, flores arroxeadas. Floresta ombrófila densa submontana, floresta primária pouco alterada..",NA,NA,"37295","auto","1999","12",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-11 17:20:55-03","UFPR","UPCB","59754","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Dichaea","anchorifera","Dichaea anchorifera","Cogn.","Kersten, R.","Labiak, P.H.","3471","2004","12","09",NA,"Brasil","Paraná","Morretes","Estrada Porto de Cima - Engenheiro Lange, margem esquerda do Rio Nhundiaquara","-48.895833","-25.409722",NA,"Epífita, flores violeta. Floresta ombrófila densa submontana..",NA,NA,NA,NA,"2007","10","30","-48.895833","-25.409722","78","78",NA,NA,NA
"9","2021-02-11 17:20:55-03","UFPR","UPCB","43096","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Dichaea","anchorifera","Dichaea anchorifera","Cogn.","Kersten, R.","Kersten, R.","431","2000","02",NA,NA,"Brasil","Paraná","Paranaguá","Ilha do Mel","-48.5092010498047","-25.5200004577637",NA,"Epífita em floresta da planície litorânea..",NA,NA,"24916","auto","2001","01","01",NA,NA,NA,NA,NA,NA,NA
"10","2021-02-11 17:20:55-03","UFPR","UPCB","38860","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Dichaea","anchorifera","Dichaea anchorifera","Cogn.","Silva, S.M.","Gatti, A.L.S.","257","1998","12","03",NA,"Brasil","Paraná","Guaraqueçaba","Reserva Natural de Salto Morato, Casa de Hóspedes","-48.3288993835449","-25.3066997528076",NA,"Epífita, flores róseas com pontuações cor vinho. Floresta ombrófila densa submontana, capoeirão..",NA,NA,"37295","auto","1998","12",NA,NA,NA,NA,NA,NA,NA,NA
