"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","geoFlag","imagecode","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","02100089","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","gertii","Senecio gertii","Zardini","Image of Type","G. G. Hatschbach","41467","1978","07","22","South America","Brazil","Minas Gerais","Grão Mogol","Grão Mogol, arrededores","-42.8897018432617","-16.5594005584717","67219","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2266221' target='other'> <mi>dwc_moreinfo</mi></a>","NY02100089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","259179","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","gertii","Senecio gertii","Zardini","isotype","G. G. Hatschbach","41467","1978","07","22","South America","Brazil","Minas Gerais","Grão Mogol","Grao Mogol, arredores","-42.8897018432617","-16.5594005584717","67219","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=252404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00259179","auto","NY00259179_01 NY00259179_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","259180","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","gertii","Senecio gertii","Zardini","isotype","G. G. Hatschbach","41467","1978","07","22","South America","Brazil","Minas Gerais","Grão Mogol","Grao Mogol, arredores","-42.8897018432617","-16.5594005584717","67219","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=252405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00259180","auto","NY00259180_01 NY00259180_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:06:38-03","UNICAMP","UEC","129902","S","Plantae","Magnoliopsida",NA,"Asteraceae","Senecio","gertii","Senecio gertii","Zardini",NA,"Prado, P; Buys, B; Motta, V","PIC95361","1995","07","20",NA,"Brazil","Minas Gerais","Grão Mogol","Trilha da Tropa.","-42.908889","-16.558333",NA,NA,NA,"UEC129129",NA,"UEC129129","-42.908889","-16.558333",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:25:14-03","UNICAMP","UEC","44004","S","Plantae","Magnoliopsida",NA,"Asteraceae","Senecio","gertii","Senecio gertii","Zardini",NA,"Mello-Silva, R; Cordeiro, I","44564","1986","09","04",NA,"Brazil","Minas Gerais","Grão Mogol","Vale do rib. das Mortes Acima da cidade. 970m alt.","-42.9","-16.55",NA,NA,"Arbusto até 4m alt. Brácteas amarelo-esverdeadas. Flores completamente amarelas.; Solo arenoso. Entre rochas.","UEC129128",NA,"UEC129128","-42.9","-16.55","Teles, AM","2005","03","15",NA,NA,NA,NA
"6","2020-12-21 16:17:09-03","MBM","MBM","58561","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","gertii","Senecio gertii","E.M. Zardini","HOLOTYPE","Hatschbach, G.","41467","1978","07","22","Southern America","Brazil","Minas Gerais","Grão Mogol","Arredores","-42.8897018432617","-16.5594005584717","67219",NA,"Arbusto 1,80m, capítulos amarelos. Encosta rochosa de morro; Arbusto, 1,80 m, capítulos amarelos.; Encosta rochosa de morro.","MBM058561","auto","MBM058561",NA,NA,"Zardini, E.M.","1979",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:17:09-03","MBM","MBM","103322","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","gertii","Senecio gertii","E.M. Zardini",NA,"Hatschbach, G.; Kummrow, R.; Kummrow, R.","49673","1985","09","14","Southern America","Brazil","Minas Gerais","Gouveia","Córrego do Tigre","-43.7407989501953","-18.4543991088867","37970",NA,NA,"MBM103322","auto","MBM103322",NA,NA,"Cabrera, A.L.",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:33:29-03","UFMG","BHCB","109710","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Senecio","gertii","Senecio gertii","Zanardi",NA,"Marino, F; Cheib, A; Anselmo, L; Gonçalves, PO","267","2007","07","06","Southern America","Brasil","Minas Gerais","Grão Mogol","Trilha da tropa.","-42.9","-16.551111",NA,NA,"Plantas do Brasil. Herbáceo, ca. 2,5-3m. Flores amarelas.",NA,NA,NA,"-42.9","-16.551111",NA,NA,NA,NA,"990","990",NA,NA
"9","2020-12-11 11:33:29-03","UFMG","BHCB","115054","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Senecio","gertii","Senecio gertii","Zanardi",NA,"Teles, AM; Viana, PL","518","2007","11","18","Southern America","Brasil","Minas Gerais","Grão Mogol","Trilha dos Tropeiros.","-42.898889","-16.551389",NA,NA,"Plantas do Brasil. Campo rupestre. A população apresenta indivíduos até 3m. Arbustivo, ca. 1,5m. Capítulos discóides com flores amarelas.",NA,NA,NA,"-42.898889","-16.551389",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:33:29-03","UFMG","BHCB","165232","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Senecio","gertii","Senecio gertii","Zanardi",NA,"Freitas, FS; Machado, TM","97","2013","07","20","Southern America","Brasil","Minas Gerais","Diamantina","estrada para Conselheiro Mata, Próximo ao Curso d'água","-43.751694","-18.292778",NA,NA,"Subarbusto, ca 2,5m. Capítulos crème, estilete eantera amarelo ouro. População pequena crecendo entre rochas, próximo ao curso dágua. Prensado no álcool",NA,NA,NA,"-43.751694","-18.292778",NA,NA,NA,NA,NA,NA,NA,NA
