"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","infraspecificEpithet","class","individualCount","fieldNumber","typeStatus","relatedCatalogItem","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","8649","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","autumnalis","Fimbristylis autumnalis","(L.) Roem. & Schult.","Ilsi I. Boldrini","2007","12","12","Polliana Zocche","2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002032","CRI002032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","602655","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","autumnalis","Fimbristylis autumnalis","(L.) Roem. & Schult.","M. Barros",NA,NA,NA,"R. Reitz","1962","01","06","Brazil","Santa Catarina",NA,"Fazenda Frai Rogério, Pôrto Uniao.",NA,NA,NA,NA,"750","750","NY00602655","NY00602655_01","Magnoliophyta","Poales","11610","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421210' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 12:17:00-02","NY","NYBG","568897","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","autumnalis","Fimbristylis autumnalis",NA,"A. C. Araújo",NA,NA,NA,"P. L. Krieger","1971","12","08","Brazil","Paraná",NA,"Guaratuba.","-48.580045","-25.892616",NA,NA,NA,NA,"NY00568897","NY00568897_01","Magnoliophyta","Poales","11020","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=495297' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00925752","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","autumnalis","Fimbristylis autumnalis","(L.) Roem. & Schult.","T. M. Koyama",NA,NA,NA,"G. C. G. Argent","1967","09","12","Brazil","Mato Grosso",NA,"Xavantina, Ferry.","-52.23","-14.63",NA,NA,NA,NA,"NY00925752","NY00925752_01","Magnoliophyta","Poales","6365","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001315' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01177049","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","autumnalis","Fimbristylis autumnalis","(L.) Roem. & Schult.","T. M. Koyama",NA,NA,NA,"G. T. Prance","1968","07","30","Brazil","Rondônia",NA,"Basin of Rio Madeira. E. bank of Rio Madeira at Misericórdia between Cachoeiras Misericórdia and Madeira.",NA,NA,NA,NA,NA,NA,"NY01177049","NY01177049_01","Magnoliophyta","Poales","6622","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412156' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-28 15:22:00-02","NY","NYBG","00925749","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","autumnalis","Fimbristylis autumnalis",NA,"H. K. Svenson",NA,NA,NA,"H. L. de M. Barreto","1939","12","15","Brazil","Minas Gerais","Belo Horizonte",NA,"-43.9378","-19.9208",NA,NA,NA,NA,"NY00925749","NY00925749_01","Magnoliophyta","Poales","10422","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001291' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","636956","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","autumnalis","Fimbristylis autumnalis","(L.) Roem. & Schult.","A. E. Burkart",NA,NA,NA,"A. L. Woolston","1958","05","24","Paraguay","San Pedro",NA,"Alto Paraguay: Primavera.",NA,NA,NA,NA,NA,NA,"NY00636956",NA,"Magnoliophyta","Poales","984","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421221' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 02:27:00-03","NY","NYBG","01177048","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","autumnalis","Fimbristylis autumnalis",NA,"B. Wilson",NA,NA,NA,"W. A. Rodrigues","1962","01","13","Brazil","Rondônia",NA,"Rio Guaporé, Porto Acre",NA,NA,NA,NA,NA,NA,"NY01177048","NY01177048_01","Magnoliophyta","Poales","4298","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412152' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","602656","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","autumnalis","Fimbristylis autumnalis","(L.) Roem. & Schult.","M. Barros",NA,NA,NA,"L. B. Smith","1952","03","01","Brazil","Santa Catarina","Brusque","Azambuja, Brusque","-48.9","-27.1",NA,NA,"35","135","NY00602656","NY00602656_01","Magnoliophyta","Poales","6108","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=421211' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00925748","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","autumnalis","Fimbristylis autumnalis","(L.) Roem. & Schult.","W. W. Thomas",NA,NA,NA,"M. Aparecida da Silva","1990","01","08","Brazil","Distrito Federal","Brasília","Fazenda Água Limpa, UnB ca. 1 km do canto sul da Reserva Ecológica do IBGE.","-47.8986","-15.965",NA,NA,NA,NA,"NY00925748","NY00925748_01","Magnoliophyta","Poales","910","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001290' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
