"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","relatedCatalogItem","fieldNumber","coordinatePrecision","geoFlag","sex"
"1","2020-09-23 10:38:14-03","E","E","417136","PreservedSpecimen","Plantae","Compositae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","unspecified kind of","Gardner, George","2204","1905","01","12","E. Tropical South America","BR","Piauhy, Goyaz, &c.","herbarium specimen of unspecif","BGBASE:446727","<a href=http://data.rbge.org.uk/herb/E00417136 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00417136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","260220","PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","isotype","G. Gardner","VI.2204","1839","05",NA,"South America","Brazil","In campis arenosis prope urbem Oeiras, Bras. trop.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=524665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260220","Magnoliophyta","Asterales","Gardner","Piauí","Oeiras","-42.1308","-7.0256","NY00260220_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","260219","PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","isotype","G. Gardner","2204",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=524664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260219","Magnoliophyta","Asterales","Gardner","Piauí",NA,NA,NA,"NY00260219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","260221","PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","isotype","G. Gardner","2204","1836",NA,NA,"South America","Brazil","[From NY 260220: In campis arenosis prope urbem Oeiras, Bras. trop.]","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=524666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260221","Magnoliophyta","Asterales","Gardner","Piauí","Oeiras","-42.1308","-7.0256","NY00260221_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:11:22-03","UFBA","ALCB","127598","PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus",NA,"Staudt, MG; Roque, N","145","2016","03","18","Southern America","Brasil","Serra do Olho d'Água.",NA,NA,"ca. 20 cm alt. Folhas discolores. Brácteas involucrais verdes, flores púrpuras , estilete púrpuro.; Solo arenoso.","ALCB044902","Dicotyledon",NA,"Gardner","Bahia","Morro do Chapéu","-41.157222","-11.544167",NA,"Staudt, MG","2016","03","-41.157222","-11.544167","1019","1019",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:11:22-03","UFBA","ALCB","64443","PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus",NA,"Guedes, ML; Alunos de Botânica III","10745","2003","10","25","Southern America","Brasil","Piemonte da Diamantina",NA,NA,"de ca. 40 cm. densamente pubescente. Folhas lineares, sésseis, com a face abaxial . Capítulo com flores liláses.",NA,"Dicotyledon",NA,"Gardner","Bahia","Morro do Chapéu","-41.15","-11.55",NA,"Staudt, MG","2016","07","-41.15","-11.55",NA,NA,"27",NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:11:22-03","UFBA","ALCB","65888","PreservedSpecimen","Plantae","Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus",NA,"Guedes, ML; Alunos de Botânica III; Estagiários","11070","2004","04","03","Southern America","Brasil","Piemonte da Diamantina, Ventura",NA,NA,"Procumbente, discolores. Inflorescência capítulo de flores liláses, papus cremes.",NA,"Dicotyledon",NA,"Gardner","Bahia","Morro do Chapéu","-41.15","-11.55",NA,"Staudt, MG","2016","07","-41.15","-11.55",NA,NA,"27",NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:51:43-03","NBC","NL-BOTANY","L 0002310","PreservedSpecimen","Plantae","Compositae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","isotype","Gardner G",NA,"1839","01","01","Southern America","Brazil","Brazil: Piauhy.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200002310 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0002310",NA,"Asterales","Gardner",NA,NA,NA,NA,"NL-L0002310",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","403250",NA,NA,NA,NA
"9","2019-08-27 13:28:00-03","IAP","PACA-AGP","118006","PreservedSpecimen","Plantae","Compositae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus",NA,"Staudt, M.G.","145","2016","03","18",NA,"Brasil","Serra do Olho d'água",NA,NA,"20cm alt.; folhas discolores; brácteas involucrais verdes; flores púrpureas; estilete púrpureo Habitat: lajedo, solo arenoso Hábito: subarbusto","PACA118006","Magnoliophyta","Asterales","Gardner","BA","Morro do Chapéu","-41.157222","-11.544167",NA,"Staudt, M.G.","2016","03","41º09'26''W","11º32'39''S","1019","1019",NA,"Magnoliatae",NA,NA,NA,NA,NA
"10","2015-10-04 05:58:58-03","MNHN","RECOLNAT_MNHN_P","P00683103","PreservedSpecimen",NA,"Asteraceae","Stilpnopappus","suffruticosus","Stilpnopappus suffruticosus","isotype","Gardner, G.",NA,NA,NA,NA,NA,"Brésil","Province de Piauhy","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683103' target='other'> <mi>dwc_moreinfo</mi></a>","P00683103",NA,NA,"Gardner",NA,NA,NA,NA,"P00683103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2204",NA,NA,NA
