"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","class"
"13","2021-02-11 17:20:19-03","UFPR","UPCB","63614","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","Goldenberg, R.","Labiak, P.H.","4852","2008","07","19",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1500","1500",NA,"Arbusto sobre rochas expostas ao sol..","UPCB0036343",NA,"2008","01","01",NA,NA,"9999","9999",NA,NA,NA
"14","2021-02-11 17:20:19-03","UFPR","UPCB","82704","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","Goldenberg, R.","Kollmann, L.","9930","2007","07","17",NA,"Brasil","Espírito Santo","Itaguaçu","Caparaó","-40.855598449707","-19.8019008636475","1180","1180",NA,"Arbusto 2m. Rupícola no sol. Flores lilás..",NA,NA,"2015",NA,NA,"26990","auto",NA,NA,NA,NA,NA
"15","2021-02-11 17:20:19-03","UFPR","UPCB","77102","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade.","Meirelles,J.","Kollmann, L. | Fontana, A.P. | Esgario, C.","9136","2006","05","31",NA,"Brasil","Espírito Santo","Município de Castelo","Parque Estadual do Forno Grande","-41.184700012207","-20.6035995483398",NA,NA,NA,"Arbusto 1m. Rupestre no sol. Flores lilás..",NA,NA,"2010",NA,NA,"23588","auto",NA,NA,NA,NA,NA
"16","2021-02-11 17:20:19-03","UFPR","UPCB","77099","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade.","Meirelles,J.","Kollmann, L.","6455","2004","01","29",NA,"Brasil","Espírito Santo","Município de Castelo","Parque Estadual do Grande","-41.184700012207","-20.6035995483398",NA,NA,NA,"Arbusto 1m, rupicola no sol. Flores lilás..",NA,NA,"2010",NA,NA,"23588","auto",NA,NA,NA,NA,NA
"17","2020-07-03 08:43:00-03","MO","MOBOT","101201976","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","castellense","Pleroma castellense","(Brade) P.J.F. Guim. & Michelang.","fide Guimarães et al.","Alexander C. Brade","Brade 19262","1948","8","12","South America","Brazil","Espírito Santo","Castelo","Forno Grande","-41.184700012207","-20.6035995483398","1600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"23588","auto",NA,NA,"Holotype","1",NA
"18","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","21971",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","A.P. Fontana & L. Kollmann/Março-2007","L. Kollmann","6395","2004","01","27",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Campo aberto. Arbusto 1m no sol. Rupícola Flores lilás.","MBML021971",NA,NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA
"19","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","21999",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","L. Kollmann/22-03-2007","L. Kollmann; et al","6455","2004","01","29",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Arbusto 1m, rupicola no sol. Flores lilás.","MBML021999",NA,NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA
"20","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","22458",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","L. Kollmann/21-03-2007","L. Kollmann; et al","6615","2004","04","09",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Arbusto 1,5m no sol. Rupícola. Flores lilás clara.","MBML022458",NA,NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA
"21","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","23311",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","L. Kollmann/02-05-2008","A. P. Fontana; et al","857","2004","04","10",NA,"Brasil","Espírito Santo","Itaguaçu","Pedra do Caparaó","-40.981111","-19.741389",NA,NA,NA,"Rupestre/Terrestre, flores lilás.","MBML023311",NA,NA,NA,NA,NA,NA,"40W58'52","19S44'29",NA,NA,NA
"22","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","23712",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","castellensis","Tibouchina castellensis","Brade","L. Kollmann/22-03-2007","L. Kollmann; et al","7571","2005","03","25",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Arbusto 2m, rupestre no sol. Flores lilás claras.","MBML023712",NA,NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA
