"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","individualCount","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","639005","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","T. B. Croat","J. L. Paixão","53","1998","07","20","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira, entrada ca. 7,5 km de Jussari. Faz. Teimoso-RPPN Serra do Teimoso","-39.5286","-15.1581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639005","NY00639005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","638987","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","T. B. Croat","A. M. V. de Carvalho","6826","1999","09","25","South America","Brazil","Bahia","Jussari","Ca. 7,5 km na estrada Jussari/Palmira. RPPN Serra do Teimoso","-39.4953","-15.1917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=698095' target='other'> <mi>dwc_moreinfo</mi></a>","NY00638987","NY00638987_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:51:16-03","EAO","IAN","76004","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Hort., Berol","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN076004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:37:44-02","BGBM","B","B 10 0068890","S","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum",NA,NA,"Kunth","225","1831","12",NA,"Middle and South America","Brazil",NA,NA,"Hort. Berolin.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100068890 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100068890","B100068890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:13:14-03","MBM","MBM","21029","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","Croat, T.","Hatschbach, G.","27531","1971","10","16","Southern America","Brazil","Santa Catarina","Laguna","Laguna","-48.7807998657227","-28.4825000762939",NA,NA,"MBM021029",NA,"21199","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-03 19:09:45-03","MNHN","RECOLNAT_MNHN_P","P01750115","PreservedSpecimen",NA,NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","Andrade & Mayo","S.N.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232","hb",". s.d. cultivada no Parque <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01750115' target='other'> <mi>dwc_moreinfo</mi></a>","P01750115","P01750115_01","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2014-10-27 09:58:00-02","MO","MOBOT","100410812","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Baker",NA,"Thomas B. Croat","Croat 87586",NA,NA,NA,"South America","Brazil",NA,NA,"Date of collection not noted in field book. Received 1995.",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-12-10 13:05:00-02","MO","MOBOT","101087383","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Imbassahy, C. A. A.","Imbassahy 427456",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro (cidade)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-29 13:22:00-03","MO","MOBOT","1060636","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Thomas B. Croat","Croat 71749","1990","11","28","South America","Brazil",NA,NA,"From M. Johnson; locality unknown but surely Brazil. Vouchured again, 12-8-01 and 12-18-13.",NA,NA,NA,NA,NA,NA,NA,NA,"1","85-90",NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-07-25 17:42:00-03","MO","MOBOT","1299526","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth",NA,"Thomas B. Croat","Croat 52714","1981","9","2","South America","Brazil",NA,NA,"Cultivated plants from Australia. Grown by Ron Collins, Atherton.",NA,NA,NA,NA,NA,NA,NA,NA,"1","1377",NA,NA,NA,NA,NA,NA,NA,NA
"11","2012-04-26 05:08:00-03","MO","MOBOT","1583172","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","Croat","André M. de Carvalho","Carvalho 6826","1999","9","25","South America","Brazil","Bahia",NA,"7.5 km na estrada Jussari/Palmira. Rppn Serra do Teimoso. Regiao do Mata Higrofila Sul Baiana.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","1591300","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","Croat","Alexander C. Brade","Brade 33247","1928","7","15","South America","Brazil","Rio de Janeiro",NA,"Serra da Carioca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","1591428","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","lucidum","Anthurium lucidum","Kunth","Croat","SUCRE","SUCRE 1095","1966","10","12","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"700.00000000",NA,NA,NA,NA,NA,NA,NA
