"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","scientificNameAuthorship","day","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2016-09-29 10:15:00-03","NY","NYBG","312274","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Rhytiglossa","laeta","Rhytiglossa laeta","probable syntype","L. Riedel","1105","1832","10","South America","Brazil","Corcovado","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312274","NY00312274_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 10:15:00-03","NY","NYBG","312275","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Rhytiglossa","laeta","Rhytiglossa laeta","probable syntype","L. Riedel","1105","1831",NA,"South America","Brazil","Corcovado","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312275","NY00312275_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:29:38-03","NBC","NL-BOTANY","U.1047167","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Rhytiglossa","laeta","Rhytiglossa laeta",NA,"Widgren JF",NA,"1845","01","Southern America","Brazil","Prov. Minas Geraes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1047167 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1047167","NL-U1047167","Magnoliopsidae","Nees","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:00:02-03","JBP","HPL","200","S","Plantae",NA,NA,"Acanthaceae","Justicia","tijucensis","Justicia tijucensis",NA,"H. Lorenzi & D. Wasshausen","3211","2002","03",NA,"Brasil","Reserva de São Lourenço (caixa d'agua), em mata de beira de rio.","-40.6003","-19.9356",NA,NA,NA,NA,NA,"V.A.W. Graham","06","H. Lorenzi","2002","03","06","ES","Santa Tereza","23813","auto",NA,NA,NA,NA,NA
"5","2020-12-21 16:10:59-03","MBM","MBM","105090","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","tijucensis","Justicia tijucensis",NA,"Parciornik, E.F.","89","1984","10","Southern America","Brazil","Floresta da Tijuca, Próximo a Capela M. Veiga.","-43.2075004577637","-22.9027996063232",NA,"Arbusto 50cm., flores verde clara com rajas purpureas.","MBM105090","MBM105090",NA,"(Nees) V.A.W. Graham","07","Wasshausen, D.C.","1990",NA,NA,"Rio de Janeiro","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA
"6","2020-12-21 16:10:59-03","MBM","MBM","105090","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","tijucensis","Justicia tijucensis",NA,"Paciornik, E.F.","89","1984","10","Southern America","Brazil","Floresta da Tijuca, P#?#roximo a Capela M. Veiga.","-43.2075004577637","-22.9027996063232",NA,"Arbusto 50cm., flores verde clara com rajas purpureas.","MBM105090","MBM105090",NA,"(Nees) V.A.W. Graham","09","Wasshausen, D.C.","1990",NA,NA,"Rio de Janeiro","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA
"7","2015-09-04 12:26:20-03","MNHN","RECOLNAT_MNHN_P","P04052557","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Justicia","tijucensis","Justicia tijucensis",NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil","Lagoa Santa.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04052557' target='other'> <mi>dwc_moreinfo</mi></a>","P04052557","P04052557_01",NA,"(Nees) V.A.W.Graham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 08:04:20-03","MNHN","RECOLNAT_MNHN_P","P03610800","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Justicia","tijucensis","Justicia tijucensis",NA,NA,NA,"1979","10",NA,"Brasil","Paineira.","-43.2075004577637","-22.9027996063232","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03610800' target='other'> <mi>dwc_moreinfo</mi></a>","P03610800","P03610800_01",NA,"(Nees) V.A.W.Graham","5",NA,NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","57442","auto","170",NA,NA,NA,NA
"9","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","32122",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","tijucensis","Justicia tijucensis",NA,"H. Q. Boudet Fernandes; V. Demuner, T. A. Cruz, R. R. Vervloet","3414","2007","10",NA,"Brasil","Pedra redonda. Prop.Jorge Wrublewski","-40.769444","-18.975556",NA,"Mata de encosta. Erva 70cm. Corola externamente alvo rosada, internamente rosa-choque. A beira do córrego.","MBML032122","MBML032122",NA,"V.A.W.Graham","02","Sheila R. Profice/Agosto-2009",NA,NA,NA,"Espírito Santo","Águia Branca",NA,NA,NA,"40W46'10","18S58'32","300","300"
"10","2017-09-11 17:06:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Acanthaceae","Rhytiglossa","laeta","Rhytiglossa laeta",NA,"Schott, HW","s.n.",NA,NA,"Southern America","Brazil","in Serra Grande, prov. Sebastianopolitanae",NA,NA,NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-09-11 17:06:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Acanthaceae","Rhytiglossa","laeta","Rhytiglossa laeta",NA,"Sellow, F","s.n.",NA,NA,NA,"?","loco non accuratius indicato",NA,NA,NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:06:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Acanthaceae","Rhytiglossa","laeta","Rhytiglossa laeta",NA,"Riedel, L","s.n.",NA,NA,"Southern America","Brazil","In sylvis caeduis montis Corcovado, prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-09-11 17:06:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Acanthaceae","Rhytiglossa","laeta","Rhytiglossa laeta",NA,"Martius, CFP","s.n.",NA,NA,"Southern America","Brazil","In sylvis caeduis montis Corcovado, prov. Rio de Janeiro",NA,NA,NA,"(nomine Justiciae laete, Obs. n. 214)",NA,NA,NA,"Nees",NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
