"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:36:45-03","E","E","161809","PreservedSpecimen","Plantae","Burseraceae","Protium","ovatum","Protium ovatum","J.H.Kirkbride","3147","1980","05","01","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170005","<a href=http://data.rbge.org.uk/herb/E00161809 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:45-03","E","E","161916","PreservedSpecimen","Plantae","Burseraceae","Protium","ovatum","Protium ovatum","J.H.Kirkbride","3505","1980","06","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170327","<a href=http://data.rbge.org.uk/herb/E00161916 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","929582","PreservedSpecimen","Plantae","Burseraceae","Protium","ovatum","Protium ovatum","V. C. Souza","18002","1997","06","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929582","Magnoliophyta","Sapindales","Engl.","N. Ivanauskas","Mato Grosso","São José do Rio Claro","Fazenda Arinos.","-56.48","-13.85","NY00929582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","609143","PreservedSpecimen","Plantae","Burseraceae","Protium","ovatum","Protium ovatum","K. D. Barreto","2435","1994","05","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=254603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609143","Magnoliophyta","Sapindales","Engl.","D. C. Daly","São Paulo",NA,"Sao Carlos. Represa do Lobo","-47.8789","-22.1422","NY00609143_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","929580","PreservedSpecimen","Plantae","Burseraceae","Protium","ovatum","Protium ovatum","V. C. Souza","16665","1997","05","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929580","Magnoliophyta","Sapindales","Engl.","N. Ivanauskas","Mato Grosso","Alto Paraguai","9 Km WSW (em linha reta) de Alto Paraguai. Estrada para Tira Sentido. Arredores da Serra da Bocaina.","-56.58","-14.6","NY00929580_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","929567","PreservedSpecimen","Plantae","Burseraceae","Protium","ovatum","Protium ovatum","G. G. Hatschbach","36141","1975","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929567","Magnoliophyta","Sapindales","Engl.","D. C. Daly","Mato Grosso",NA,"Vicinity of Buriti. Chapada dos Guimarães","-55.77825","-15.432","NY00929567_01","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1310147","PreservedSpecimen","Plantae","Burseraceae","Protium","ovatum","Protium ovatum","T. J. Killeen","4836","1993","03","28","South America","Bolivia","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1639741' target='other'> <mi>dwc_moreinfo</mi></a>","NY01310147","Magnoliophyta","Sapindales","Engl.","D. C. Daly","Santa Cruz","José Miguel de Velasco","Parque Nacional Noel Kempff M. Campamento Las Gamas","-60.38","-14.82","NY01310147_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","929577","PreservedSpecimen","Plantae","Burseraceae","Protium","ovatum","Protium ovatum","J. A. Ratter","R.3503","1973","07","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929577","Magnoliophyta","Sapindales","Engl.",NA,"Distrito Federal","Brasília","Fazenda Água Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV Tower. Reserve area.","-47.9294","-15.7797","NY00929577_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","929568","PreservedSpecimen","Plantae","Burseraceae","Protium","ovatum","Protium ovatum","N. Ivanauskas","2082","1997","07","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929568","Magnoliophyta","Sapindales","Engl.","D. C. Daly","Mato Grosso","Comodoro","Estrada vicinal à esquerda na BR174, trecho Vilhena-Comodoro.","-59.7856","-13.6633","NY00929568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","929554","PreservedSpecimen","Plantae","Burseraceae","Protium","ovatum","Protium ovatum","M. L. M. Azevedo","685","1990","06","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929554","Magnoliophyta","Sapindales","Engl.","D. C. Daly","Distrito Federal","Brasília","Reserva Ecológica do IBGE. Cabeceira do córrego do Roncador/Pitoco. Faixa: 20. Ponto: SN-5.","-47.9294","-15.7797","NY00929554_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
