"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","individualCount","order","identifiedBy","yearIdentified","monthIdentified","year","month","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","dayIdentified"
"1","2020-06-22 11:04:00-03","MO","MOBOT","2483106","PreservedSpecimen","Plantae","Urticaceae","Pilea","aparadensis","Pilea aparadensis","P. Brack","Holotype","P. Brack","Brack 50","South America","Brazil","Santa Catarina","Praia Grande","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-08-20 15:00:21-03","UFSC","FLOR","47895","PreservedSpecimen","Plantae","Urticaceae","Pilea","aparadensis","Pilea aparadensis","P.Brack",NA,"Trevisan, R.; Venturi, S.","1369",NA,"Brasil","Santa Catarina","Rodovia SC 439, descida da Serra do Corvo Branco, à direita da pequena cachoeira à beira da estrada.",NA,"Rosales","Soares, J.F.","2019","12","2012","12","04","Grão Pará","-49.363333","-28.061111","49º21'48''W","28º3'40''S","995","995","Planta faz parte do Projeto Reflora Habitat: barranco úmido sombreado","FLOR0047895","FLOR0047895",NA,NA,NA,NA
"3","2020-08-20 20:42:00-03","UFSC","FLOR","22982","PreservedSpecimen","Plantae","Urticaceae","Pilea","aparadensis","Pilea aparadensis","P.Brack",NA,"Falkenberg, D.B.; Jarenkow, J.A.","6060",NA,"Brasil","Rio Grande do Sul","Perdida.",NA,"Rosales","Brack, P.","2000",NA,"1993","01","29","Três Cachoeiras","-49.9244003295898","-29.4556007385254",NA,NA,"300","300","erva, 10 a 40cm altura Habitat: capoeirinha em barranco úmido","FLOR0022982",NA,"17224","auto",NA,NA
"4","2020-08-20 15:00:21-03","UFSC","FLOR","25081","PreservedSpecimen","Plantae","Urticaceae","Pilea","aparadensis","Pilea aparadensis","P.Brack",NA,"Falkenberg, D.B.","7010",NA,"Brasil","Santa Catarina","SC 439, encosta leste da Serra do Corvo Branco.",NA,"Rosales","Brack, P.",NA,NA,"1995","01","17","Urubici","-49.5917015075684","-28.0149993896484",NA,NA,"1100","1100","erva, 0,2m altura, flor em botão verde-amarelado. Folhas discolores. Habitat: capoeirinha em paredão rochoso","FLOR0025081",NA,"30102","auto",NA,NA
"5","2021-02-08 12:46:07-03","UFRGS","ICN","067143","S","Plantae","Urticaceae","Pilea","aparadensis","Pilea aparadensis","Brack","Paratypus","Brack, P; Schmidt, R; Sobral, M","51","América do Sul","Brasil","RS","Barra do Ouro",NA,NA,"Brack, P",NA,NA,"1986","06","29","Osório","-50.2696990966797","-29.8866996765137",NA,NA,"700","700","Espécie ameaçada de extinção (Em perigo).; Hábito herbáceo.; Barranco em beira de estrada.","ICN00000591","ICN00000591","27350","auto","Dicotyledon",NA
"6","2021-02-08 12:46:07-03","UFRGS","ICN","067147","S","Plantae","Urticaceae","Pilea","aparadensis","Pilea aparadensis","Brack","Paratypus","Brack, P; Sobral, M; Schmidt, R","52","América do Sul","Brasil","RS","Aratinga",NA,NA,"Brack, P",NA,NA,"1986","06","28","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"800","800","Espécie ameaçada de extinção (Em perigo).; Erva; no fundo de uma cascatinha na beira de estrada.","ICN00000590","ICN00000590","76715","auto","Dicotyledon",NA
"7","2021-02-08 12:46:07-03","UFRGS","ICN","114968","S","Plantae","Urticaceae","Pilea","aparadensis","Pilea aparadensis","Brack","Holotypus","P. Brack, R Schmidt","50","América do Sul","Brasil","SC","Faxinalzinho",NA,NA,"Brack, P",NA,NA,"1988","04","17","Praia Grande","-49.9502983093262","-29.1966991424561",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; No interior da porção superior do CanionFaxinalzinho.","ICN00000589","ICN00000589","21549","auto","Dicotyledon",NA
"8","2021-02-08 12:46:07-03","UFRGS","ICN","193598","S","Plantae","Urticaceae","Pilea","aparadensis","Pilea aparadensis","Brack",NA,"Rabuske, C; Santos-Jr.; R.","152","América do Sul","Brasil","SC","Área Particular de Preservação Ambiental São Francisco - Recanto do Uru.",NA,NA,"Cabral, FS","2017","05","2017","03","10","Nova Veneza","-49.631944","-28.6525","-49.631944","-28.6525",NA,NA,"Criticamente Ameaçada (CR) conforme Lista Vermelha da Flora Brasileira (2012).; Erva, ca. 30cm alt. sob tronco caído.; Beira de trilha para a cachoeira do Nego Argeu. Área florestal bastante úmida.",NA,NA,NA,NA,"Dicotyledon","16"
"9","2021-02-08 12:46:07-03","UFRGS","ICN","111049","S","Plantae","Urticaceae","Pilea","aparadensis","Pilea aparadensis","Brack",NA,"Ritter, MR","897","América do Sul","Brasil","SC","Serra do Corvo",NA,NA,"Cabral, FS","2017","05","1995","12","13","Urubici","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).",NA,NA,"30102","auto","Dicotyledon","17"
"10","2021-02-08 12:46:07-03","UFRGS","ICN","067144","S","Plantae","Urticaceae","Pilea","aparadensis","Pilea aparadensis","Brack",NA,"Brack, P; et al.","s.n.","América do Sul","Brasil","RS","Aratinga",NA,NA,"Cabral, FS","2017","05","1986","06","28","Osório","-50.2696990966797","-29.8866996765137",NA,NA,"800","800","Espécie ameaçada de extinção (Em perigo).; Erva; no fundo de uma cascatinha na beira de estrada.",NA,NA,"27350","auto","Dicotyledon","17"
