"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","498250","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore","R. Barreto","A. F. M. Glaziou","527","1861","08","15","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498250","NY00498250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:54-03","UFRJ","RFA","5465","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Pyrrheima","fuscatum","Pyrrheima fuscatum","(Lodd.) Backer",NA,"P. Occhioni","781","1946","11","11",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Matas do Pai Ricardo","-43.2075004577637","-22.9027996063232",NA,"Flor roxa","RFA37899",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:58:41-03","NBC","NL-BOTANY","L.1432989","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Tradescantia","fuscata","Tradescantia fuscata","Lodd.",NA,"Gaudichaud",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"in cornalis Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1432989 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1432989","NL-L1432989",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:58:41-03","NBC","NL-BOTANY","L.1432990","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Tradescantia","fuscata","Tradescantia fuscata","Lodd.",NA,"Unreadable",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"in Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1432990 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1432990","NL-L1432990",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:58:41-03","NBC","NL-BOTANY","L.1432991","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Tradescantia","fuscata","Tradescantia fuscata","Lodd.",NA,"Ule EHG",NA,"1899","11","01","Southern America","Brazil",NA,NA,"in WoWe der Fabrica. Estado de Rio de Janeiro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1432991 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1432991","NL-L1432991",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:58:41-03","NBC","NL-BOTANY","U.1210250","PreservedSpecimen","Plantae",NA,"Commelinales","Commelinaceae","Tradescantia","fuscata","Tradescantia fuscata","Lodd.",NA,"Kuhlmann JG",NA,"1925","11","01","Southern America","Brazil",NA,NA,"Estado- do Rio de Janeiro- Trapicheiro (Fabrica das Chitas).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1210250 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1210250","NL-U1210250",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:27:09-03","MN","R","48427","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E. Moore","Pellegrini, M.O.O.","Schwacke, C.A.W.",NA,"1889","12",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.216667","-22.916667",NA,NA,"R010038602,R010038601","R010038601 R010038602",NA,NA,NA,"2015","03","20","43°13'W","22°55'S",NA,NA,NA,NA,NA
"8","2021-01-14 15:27:09-03","MN","R","48446","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E. Moore","Barreto, R.",NA,NA,"1886",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"R010037116","R010037116",NA,NA,NA,"1994","06","08",NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:27:09-03","MN","R","48389","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E. Moore","Barreto, R.","Saldanha da Gama, A.J.","5673","1882","11","12",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"R010037117,R010034827,R010034821","R010034821 R010034827 R010037117","57442","auto",NA,"1994","06","08",NA,NA,NA,NA,NA,NA,NA
"10","2017-09-06 10:28:18-03","MNHN","RECOLNAT_MNHN_P","P01730306","PreservedSpecimen",NA,NA,NA,"Commelinaceae","Siderasis","fuscata","Siderasis fuscata","(Lodd.) H.E.Moore","Pellegrini","Gaudichaud, C.",NA,"1834","1","1",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01730306' target='other'> <mi>dwc_moreinfo</mi></a>","P01730306","P01730306_01",NA,NA,NA,NA,NA,NA,NA,NA,"337",NA,NA,NA,NA
