"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","688880","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Pseudotrimezia","aminae","Pseudotrimezia aminae","Chukr","isotype","R. M. Harley","25464","1988","10","31","South America","Brazil","Minas Gerais","Diamantina","Estrada para Medanha a 15 km. de Diamantina.","-43.5","-18.12","1225","1225","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=873869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688880","NY00688880_01",NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:19:54-03","UNICAMP","UEC","45983","S","Plantae","Liliopsida",NA,"Iridaceae","Pseudotrimezia","tenuissima","Pseudotrimezia tenuissima","Ravenna",NA,"Chukr, NS; Menezes, NL; Mello-Silva, R; Cavalcanti, TB; Semir, J","s.n.","1986","02","24",NA,"Brazil","Minas Gerais","Grão Mogol","Margens do córrego à saída da cidade na estrada para o rio Ventania.","-43.3","-16.6","900","1000",NA,"Em solo arenoso, alagado. Flores amarelas, tépalas subiguais, estilete amarelo, teca negras, opostas à telapalas externa. Estilete cilíndrico, abrindo-se em ramos curtos, maiores que os estames.","UEC056113","UEC056113","Chukr, NS","1986","08","18","-43.3","-16.6"
"3","2020-12-21 16:29:49-03","MBM","MBM","267007","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Pseudotrimezia","tenuissima","Pseudotrimezia tenuissima","Ravenna","ISOTYPE","Harley, R.M.; Rudall, P.; Taylor, N.; Zappi, D.; Rudall, P.; Taylor, N.; Zappi, D.","25464","1988","10","31","Southern America","Brazil","Minas Gerais","Diamantina","Estrada para Mendanha a 15km de Diamantina","-43.5","-18.116667","1225","1225",NA,"5cm de altura. Folhas estreitas. Flores amarelas.; Campo rupestre, sobre rochas em grupos grandes formando tapetes.","MBM267007","MBM267007","Lovo, J.","2010","12",NA,"-43.5","-18.116667"
"4","2021-03-15 18:27:28-03","USP","SPF","141000","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Pseudotrimezia","aminae","Pseudotrimezia aminae","Chukr",NA,"Harley, RM; Rudall, P; Taylor, NP; Zappi, DC","25464","1988","10","31",NA,"Brasil","Minas Gerais","Diamantina","Estrada para Medanha a 15 Km de Diamantina.","-43.5","-18.116667","1225","1225",NA,"5 cm de altura. Folhas estreitas. Flores amarelas. Sobre rochas em grupos grandes formando tapetes.","SPF00141000",NA,"Chukr, NS",NA,NA,NA,"-43.5","-18.116667"
