"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordedBy","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","class","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount","relatedCatalogItem","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","51749","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","acanthocarpa","Scleria acanthocarpa","Boeckeler","E. L. Core","type fragment","s.n.","1865","09","South America","Brazil","Minas Gerais","Lagoa Santa","Lagoa Santa","-43.8894","-19.6272","sheet","Collector noted on label only as Engler. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769303' target='other'> <mi>dwc_moreinfo</mi></a>","NY00051749","NY00051749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01201016","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","acanthocarpa","Scleria acanthocarpa","Boeckeler","C. F. S. Muniz",NA,"1075","1967","12","South America","Brazil","Pará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452170' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201016","NY01201016_01","M. Silva","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00939359","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","acanthocarpa","Scleria acanthocarpa","Boeckeler","T. M. Koyama",NA,"6549","1964","10","South America","Brazil","Mato Grosso",NA,"Ca. 1 km. N.E. of Garapú.","-52.57","-13.18","wood sample","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973207' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939359","NY00939359_01","H. S. Irwin","01","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00939360","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","acanthocarpa","Scleria acanthocarpa","Boeckeler","T. M. Koyama",NA,"23","1964","12","South America","Brazil","Distrito Federal","Brasília","Rodovia Brasília-Uruaça.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939360","NY00939360_01","R. P. Belém","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00939358","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","acanthocarpa","Scleria acanthocarpa","Boeckeler",NA,NA,"16249","1966","05","South America","Brazil","Mato Grosso",NA,"Rio Turvo, ca. 210 km. N. of Xavantina. Serra do Roncador.","-51.83","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939358","NY00939358_01","H. S. Irwin","29","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:52:17-03","EAO","IAN","139032","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Scleria","acanthocarpa","Scleria acanthocarpa","Boeck.","Koyama, T",NA,"6144","1964","09","Southern America","Brasil","Distrito Federal",NA,NA,NA,NA,NA,NA,"IAN139032",NA,"Irwin, HS; Soderstrom, TR","12",NA,NA,"1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:14:56-03","NBC","NL-BOTANY","U.1286934","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Scleria","acanthocarpa","Scleria acanthocarpa","Boeckeler",NA,NA,NA,"1964","10","Southern America","Brazil",NA,NA,"Serra do Caiapó, Goiás. 20 km south of Caiaponia, road to Jatai. Beside small creek.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1286934 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1286934","NL-U1286934","Prance GT; Silva NT","19",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:00:08-03","UNICAMP","UEC","40395","S","Plantae","Liliopsida",NA,"Cyperaceae","Scleria","acanthocarpa","Scleria acanthocarpa","Boeck.","Koyama, T",NA,"17458","1966","06",NA,"Brazil","Mato Grosso",NA,"Rio Araguaia, Gallery forest, ca. 70 km. S. of Xavantina, Mato Grosso.",NA,NA,NA,"Caespitose, the culms to ca. 3 m. tall.","UEC098065","UEC098065","Irwin, HS; Souza, R; Reis dos Santos, R; Grear Jr, JW","19","500","500","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:00:08-03","UNICAMP","UEC","16618","S","Plantae","Liliopsida",NA,"Cyperaceae","Scleria","acanthocarpa","Scleria acanthocarpa","Boeck.","Shepherd, GJ",NA,"D.59688","1976","07",NA,"Brazil","Minas Gerais","Ouro Preto","Between Itabirita and B. Horizonte road., At Km. 16. Campo Rupestre, in moist gully","-43.5080986022949","-20.2875003814697",NA,"Tufted perennial. Stems 3-angled.","UEC098066","UEC098066","Davis, PH; Shepherd, GJ","31","1200","1200","1978",NA,"11","44599","auto",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:22:36-03","MBM","MBM","166447","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","acanthocarpa","Scleria acanthocarpa","Boeck.",NA,NA,"10236","1992","04","Southern America","Peru",NA,NA,NA,NA,NA,NA,NA,"MBM166447","MBM166447","Rimachi, M. .Y.","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
