"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2020-09-23 10:42:48-03","E","E","178339","PreservedSpecimen","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis","isotype","Glaziou, M.A.","3734","E. Tropical South America","BR","Orgnes","herbarium specimen of unspecif","BGBASE:185021","<a href=http://data.rbge.org.uk/herb/E00178339 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00178339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1016802","PreservedSpecimen","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis",NA,"O. dos S. Ribas","5781","South America","Brazil","Serra da Bocaina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193397' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016802","Magnoliophyta","Proteales","(Vell.) I.M.Johnst.","G. G. Hatschbach","2004","01","16","Paraná","Bocaiúva do Sul","-49.115","-25.2061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","626237","PreservedSpecimen","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis",NA,"G. G. Hatschbach","13145","South America","Brazil","Passa Vinte.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626237","Magnoliophyta","Proteales","(Vell.) I.M.Johnst.","G. G. Hatschbach","1965","11","18","Paraná","Bocaiúva do Sul","-49.115","-25.2061","NY00626237_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","885044","PreservedSpecimen","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis",NA,"L. R. Landrum","4055","South America","Brazil","Rio Branco do Sul, along road to Cerro Azul","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885044","Magnoliophyta","Proteales","(Vell.) I.M.Johnst.","G. T. Prance","1982","01","05","Paraná",NA,"-49.33","-25",NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626238","PreservedSpecimen","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis",NA,"G. G. Hatschbach","13145","South America","Brazil","Passa Vinte.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626238","Magnoliophyta","Proteales","(Vell.) I.M.Johnst.","G. G. Hatschbach","1965","11","18","Paraná","Bocaiúva do Sul","-49.115","-25.2061","NY00626238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","626245","PreservedSpecimen","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis",NA,"O. dos S. Ribas","1991","South America","Brazil","Serra de Santana.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=235934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626245","Magnoliophyta","Proteales","(Vell.) I.M.Johnst.","G. G. Hatschbach","1996","01","30","Paraná","Bocaiúva do Sul","-49.115","-25.2061","NY00626245_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:25:43-03","PUCPR","HUCP","16366","S","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis",NA,"Ribas, OS","5781",NA,"Brasil","Serra da Bocaina",NA,NA,NA,"HUCP00017143","Eudicotiledonea",NA,"(Vell.) I.M. Johnst.","Hatschbach, GG","2004","01","16","Paraná","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672","HUCP00017143",NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:21:20-03","NBC","NL-BOTANY","L 0039450","PreservedSpecimen","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis","type","Sello F",NA,"Southern America","Brazil","Brasilia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200039450 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0039450",NA,"Proteales","(Vell.) I.M.Johnst.","Sleumer HO",NA,NA,NA,NA,NA,NA,NA,"NL-L0039450",NA,NA,NA,NA,"Magnoliopsidae","908177553",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:21:20-03","NBC","NL-BOTANY","L.1638882","PreservedSpecimen","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis",NA,"Hatschbach GG",NA,"Southern America","Brazil","Est. Parana (Brasil), Mun. Bocaiuva do Sul, Serra do Araçaeiro*.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1638882 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1638882",NA,"Proteales","(Vell.) I.M.Johnst.",NA,"1960","12","20",NA,NA,NA,NA,"NL-L1638882",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:21:20-03","NBC","NL-BOTANY","L.1638883","PreservedSpecimen","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis villanovae",NA,"Irwin HS; Harley RM; Onishi E",NA,"Southern America","Brazil","Plants of the Planalto do Brasil, Estado de Minas Gerais, Serra do Espinhaço. Cerrado, sedge meadow, and gallery forest, lower slopes of Serra da Caraça, ca. 10km W. of Barão de Cocais.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1638883 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1638883",NA,"Proteales","Sleumer",NA,"1971","01","23",NA,NA,NA,NA,"NL-L1638883",NA,NA,NA,NA,"Magnoliopsidae",NA,"villanovae",NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:21:20-03","NBC","NL-BOTANY","L.1638884","PreservedSpecimen","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis villanovae",NA,"Schwacke CAW",NA,"Southern America","Brazil","Brasil: Minas Gerais: Serra de Ouro Preto. Perianthium album.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1638884 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1638884",NA,"Proteales","Sleumer",NA,"1894","02","01",NA,NA,NA,NA,"NL-L1638884",NA,NA,NA,NA,"Magnoliopsidae",NA,"villanovae",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:21:20-03","NBC","NL-BOTANY","L.1638885","PreservedSpecimen","Plantae","Proteaceae","Euplassa","legalis","Euplassa legalis villanovae",NA,"Glaziou AFM",NA,"Southern America","Brazil","Brasil: Rio de Janeiro, Villa nova, pres Porto das Caxias.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1638885 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1638885",NA,"Proteales","Sleumer",NA,"1874","05","07",NA,NA,NA,NA,"NL-L1638885",NA,NA,NA,NA,"Magnoliopsidae",NA,"villanovae",NA,NA,NA,NA,NA,NA,NA
