"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:34:00-03","UNESC","CRI","2086","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","R. Klein","1964","R. Klein","1964","03","01","Brasil","Santa Catarina","São Miguel Do Oeste","Paraíso, São Miguel do Oeste.","-53.516667","-26.724444","53º31'0''W","26º43'28''S","700","700","Habitat: capoeira","CRI007151","CRI007151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:00-03","UNESC","CRI","3058","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","L. B. Smith","1977","R. M. Klein","1964","03","01","Brasil","Santa Catarina","São Miguel Do Oeste",NA,"-53.511389","-26.72","53º30'41''W","26º43'12''S",NA,NA,NA,"CRI007154","CRI007154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:40-03","E","E","221702","PreservedSpecimen","Plantae","Gramineae","Pennisetum","latifolium","Pennisetum latifolium",NA,NA,NA,"Steinbach, Jose","1929","02","02","BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00221702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221702",NA,"9014","W. Tropical South America","herbarium specimen of unspecif","BGBASE:232203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","772463","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","G. Davidse",NA,"G. Davidse","1976","03","09","Brazil","Paraná",NA,"Near Boqueirao, just S of Curitiba",NA,NA,NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772463","NY00772463_01","11000","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","772465","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.",NA,NA,"M. A. Chase","1925","04","19","Brazil","Minas Gerais",NA,"East of Aroponga. Serra da Gramma",NA,NA,NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772465","NY00772465_01","9544","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-28 15:20:00-03","NY","NYBG","772467","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium",NA,"O. Morrone",NA,"F. O. Zuloaga","1996","04","14","Argentina","Misiones","Guaraní","Ruta Prov. 21, a 26 km de Paraíso","-54.13","-26.87",NA,NA,"340","340","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150324' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772467",NA,"5492","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 02:58:00-03","NY","NYBG","772466","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium",NA,NA,NA,"E. Asplund","1939","07","26","Ecuador","Tungurahua",NA,"Valley of Rio Pastaza, La Merced",NA,NA,NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150329' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772466",NA,"7863","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","772464","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","J. R. Swallen",NA,"R. Reitz","1959","02","19","Brazil","Santa Catarina",NA,"Serra Rio do Rastro, Lauro Müller",NA,NA,NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772464","NY00772464_01","8432","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","772461","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","J. C. Lindeman",NA,"J. C. Lindeman","1966","03","06","Brazil","Paraná",NA,"Bariguí near Curitiba",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772461","NY00772461_01","535","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","772462","PreservedSpecimen","Plantae","Poaceae","Pennisetum","latifolium","Pennisetum latifolium","Spreng.","E. L. Ekman",NA,"P. K. H. Dusén","1910","03","25","Brazil","Paraná",NA,"Legru",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00772462","NY00772462_01","9424","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
