especie,nomes
Piper hispidum,Piper hispidum
Piper hispidum,Piper hispidum var. trachydermum
Piper hispidum,Piper hispidum var. magnifolium
Piper hispidum,Piper hirsutum
Piper hispidum,Piper bullatum
Piper hispidum,Piper asperifolium
Piper hispidum,Piper trachydermum
Piper hispidum,Artanthe asperifolia
Piper hispidum,Artanthe olfersiana
