especie,nomes
Hippeastrum vittatum,Hippeastrum vittatum
Hippeastrum vittatum,Amaryllis vittata subsp. guarapuavae
Hippeastrum vittatum,Amaryllis vittata var. tweediana
Hippeastrum vittatum,Amaryllis vittata var. major
Hippeastrum vittatum,Amaryllis vittata var. harrisoniae
Hippeastrum vittatum,Hippeastrum ambiguum var. longiflorum
Hippeastrum vittatum,Hippeastrum vittatum var. latifolium
Hippeastrum vittatum,Hippeastrum guarapuavicum
Hippeastrum vittatum,Amaryllis lineata
Hippeastrum vittatum,Amaryllis vittata
Hippeastrum vittatum,Amaryllis superba
Hippeastrum vittatum,Hippeastrum ambiguum
Hippeastrum vittatum,Hippeastrum tweedianum
Hippeastrum vittatum,Hippeastrum vittatum var. harrisonianum
Hippeastrum vittatum,Amaryllis ambigua
Hippeastrum vittatum,Amaryllis guarapuavica
Hippeastrum vittatum,Hippeastrum arechavaletae
Hippeastrum vittatum,Hippeastrum harrisoni
Hippeastrum vittatum,Hippeastrum ambiguum var. tweedianum
Hippeastrum vittatum,Chonais vittata
Hippeastrum vittatum,Amaryllis harrisonii
