especie,nomes
Eugenia subterminalis,Eugenia subterminalis
Eugenia subterminalis,Calycorectes psidiiflorus var. schultzianus
Eugenia subterminalis,Eugenia psidiiflora var. riedelinana
Eugenia subterminalis,Eugenia psidiiflora var. triflora
Eugenia subterminalis,Eugenia belemii
Eugenia subterminalis,Calycorectes belemii
Eugenia subterminalis,Calycorectes paraguayensis
Eugenia subterminalis,Calycorectes fluminensis
Eugenia subterminalis,Eugenia psidiiflora
Eugenia subterminalis,Calycorectes striatulus
Eugenia subterminalis,Calycorectes riedelianus
Eugenia subterminalis,Calycorectes legrandii
Eugenia subterminalis,Eugenia fontellae
Eugenia subterminalis,Eugenia legrandii
Eugenia subterminalis,Calycorectes psidiiflorus
Eugenia subterminalis,Calycorectes paranaensis
Eugenia subterminalis,Calycorectes cucullatus
Eugenia subterminalis,Hexachlamys legrandii
Eugenia subterminalis,Eugenia paranaensis
Eugenia subterminalis,Calycorectes psidiiflorus var. legrandii
Eugenia subterminalis,Calycorectes psidiiflorus var. triflorus
Eugenia subterminalis,Calycorectes schultzianus
Eugenia subterminalis,Eugenia psidiiflora var. schultziana
Eugenia subterminalis,Stenocalyx rufescens
