especie,nomes
Acalypha brasiliensis,Acalypha brasiliensis
Acalypha brasiliensis,Acalypha brasiliensis var. maxima
Acalypha brasiliensis,Acalypha brasiliensis var. glabrata
Acalypha brasiliensis,Acalypha brasiliensis var. asterotricha
Acalypha brasiliensis,Acalypha brasiliensis var. angustifolia
Acalypha brasiliensis,Acalypha brasiliensis var. longipes
Acalypha brasiliensis,Acalypha brasiliensis var. brevipes
Acalypha brasiliensis,Acalypha brasiliensis var. obtusa
Acalypha brasiliensis,Acalypha fragilis
Acalypha brasiliensis,Acalypha noronhae
Acalypha brasiliensis,Acalypha subsana
Acalypha brasiliensis,Acalypha brasiliensis var. cordata
Acalypha brasiliensis,Ricinocarpus brasiliensis
