especie,nomes
Maxillaria pumila,Maxillaria pumila
Maxillaria pumila,Maxillaria minuta var. minor
Maxillaria pumila,Maxillaria minuta
Maxillaria pumila,Christensonella pumila
Maxillaria pumila,Christensonella minuta
Maxillaria pumila,Maxillaria spannagelii
Maxillaria pumila,Maxillaria pusilla
Maxillaria pumila,Maxillaria plebeja
Maxillaria pumila,Maxillaria funerea
Maxillaria pumila,Maxillaria parva
Maxillaria pumila,Maxillaria plebeia
Maxillaria pumila,Christensonella plebeia
Maxillaria pumila,Christensonella plebeja
