especie,nomes
Pentodon pentandrus,Pentodon pentandrus
Pentodon pentandrus,Hedyotis pentandra
Pentodon pentandrus,Hedyotis macrophylla
Pentodon pentandrus,Oldenlandia halaei
Pentodon pentandrus,Oldenlandia laxiflora
Pentodon pentandrus,Oldenlandia succulenta
Pentodon pentandrus,Oldenlandia macrophylla
Pentodon pentandrus,Oldenlandia halei
Pentodon pentandrus,Pentodon abyssinicus
Pentodon pentandrus,Pentodon halei
Pentodon pentandrus,Pentas pentandra
Pentodon pentandrus,Pentas thonningii
Pentodon pentandrus,Hedyotis halei
Pentodon pentandrus,Oldenlandia pentandra
Pentodon pentandrus,Hedyotis laxiflora
