especie,nomes
Cyperus eragrostis,Cyperus eragrostis
Cyperus eragrostis,Cyperus declinatus var. limbatus
Cyperus eragrostis,Cyperus eragrostis var. compactus
Cyperus eragrostis,Cyperus vegetus var. compactus
Cyperus eragrostis,Cyperus vegetus var. limbata
Cyperus eragrostis,Cyperus vegetus var. triangularis
Cyperus eragrostis,Cyperus vegetus var. obtusangulus
Cyperus eragrostis,Cyperus declinatus
Cyperus eragrostis,Cyperus monandrus
Cyperus eragrostis,Cyperus ochrocephalus
Cyperus eragrostis,Cyperus prionotropis
Cyperus eragrostis,Cyperus serrulatus
Cyperus eragrostis,Cyperus vegetus
Cyperus eragrostis,Chlorocyperus eragrostis
Cyperus eragrostis,Cyperus vegetus var. trigonus
