especie,nomes
Psidium guajava,Psidium guajava
Psidium guajava,Psidium pumilum
Psidium guajava,Psidium pyriferum var. glabrum
Psidium guajava,Psidium pumilum var. guadalupense
Psidium guajava,Syzygium ellipticum
Psidium guajava,Guajava pumila
Psidium guajava,Guajava pyrifera
Psidium guajava,Myrtus guajava
Psidium guajava,Psidium aromaticum
Psidium guajava,Psidium angustifolium
Psidium guajava,Psidium cujavus
Psidium guajava,Psidium cujavillus
Psidium guajava,Psidium igatemyense
Psidium guajava,Psidium intermedium
Psidium guajava,Psidium pyriferum
Psidium guajava,Psidium sapidissimum
Psidium guajava,Psidium vulgare
Psidium guajava,Psidium pomiferum
Psidium guajava,Psidium prostratum
Psidium guajava,Psidium fragrans
Psidium guajava,Psidium guayava
Psidium guajava,Psidium guajava var. cujavillum
Psidium guajava,Psidium guajava var. minor
