especie,nomes
Maprounea guianensis,Maprounea guianensis
Maprounea guianensis,Maprounea guianensis var. nervosa
Maprounea guianensis,Maprounea guianensis var. genuina
Maprounea guianensis,Maprounea guianensis var. undulata
Maprounea guianensis,Maprounea guianensis var. guianensis
Maprounea guianensis,Maprounea guyanensis var. genuina
Maprounea guianensis,Maprounea guyanensis var. nervosa
Maprounea guianensis,Maprounea guyanensis var. undulata
Maprounea guianensis,Aegopricum betulinum
Maprounea guianensis,Excoecaria guianensis
Maprounea guianensis,Maprounea guyanensis
Maprounea guianensis,Maprounea guyanensis var. obtusata
Maprounea guianensis,Stillingia guianensis
