"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","relationshipType","fieldNumber","individualCount","typeStatus","sex"
"1","2020-09-23 10:36:19-03","E","E","111","PreservedSpecimen","Plantae","Araceae","Lemna","valdiviana","Lemna valdiviana","Briquet, G.","8","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:120057","<a href=http://data.rbge.org.uk/herb/E00111 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","439583","PreservedSpecimen","Plantae","Araceae","Lemna","valdiviana","Lemna valdiviana","R. Reitz","7891","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439583","Magnoliophyta","Alismatales","Phil.","L. B. Smith","1958","12","13","Santa Catarina","Sao Joaquim","Fazenda da Laranja, Bom Jardim, S. Joaquim","-49.9317","-28.2942","1400","1400","NY00439583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","439586","PreservedSpecimen","Plantae","Araceae","Lemna","valdiviana","Lemna valdiviana","G. Agostini","1630","South America","Venezuela","sheet",NA,"Sampled for pollen from Packet. FL TECH, 1999 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439586","Magnoliophyta","Alismatales","Phil.",NA,"1973","04","17","Delta Amacuro",NA,"Camino entre Tucupita (62° 03'O - 9°04'N) y Los Güires (61°52'O - 9°14'N)","-61.958","9.15","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","439582","PreservedSpecimen","Plantae","Araceae","Lemna","valdiviana","Lemna valdiviana","A. Dunaiski Jr.","260","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439582","Magnoliophyta","Alismatales","Phil.","O. A. Guimarães","1992","07","12","Santa Catarina","Joinville","Itinga","-48.8456","-26.3044",NA,NA,"NY00439582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","476222","PreservedSpecimen","Plantae","Araceae","Lemna","valdiviana","Lemna valdiviana abbreviata","A. Bornmüller","502","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476222","Magnoliophyta","Alismatales","Hegelm.",NA,"1905","02","28","Rio Grande do Sul",NA,"Neu-Württemberg, stadtplate",NA,NA,NA,NA,"NY00476222_01","abbreviata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","439584","PreservedSpecimen","Plantae","Araceae","Lemna","valdiviana","Lemna valdiviana","E. Asplund","628","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439584","Magnoliophyta","Alismatales","Phil.",NA,"1920","10","29","La Paz","Pedro Domingo Murillo",NA,NA,NA,"3700","3700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","439585","PreservedSpecimen","Plantae","Araceae","Lemna","valdiviana","Lemna valdiviana","J. C. Betancur","99","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439585","Magnoliophyta","Alismatales","Phil.","R. R. Haynes","1986","10","01","Antioquia",NA,"Carretera Arboletes-Turbo, km 24",NA,NA,"80","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","476222","PreservedSpecimen","Plantae","Araceae","Lemna","valdiviana","Lemna valdiviana abbreviata","A. Bornmüller","502","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=22991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476222","Magnoliophyta","Alismatales","Hegelm.",NA,"1905","02","28","Rio Grande do Sul",NA,"Neu-Württemberg, stadtplate",NA,NA,NA,NA,"NY00476222_01","abbreviata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","270","PreservedSpecimen","Plantae","Araceae","Lemna","valdiviana","Lemna valdiviana","Freitas, R. N.","30",NA,"Brasil",NA,NA,"Aquática, flutuante livre, frondes flutuantes, uma nervura na linha mediana, película não cilindrica não alada na raíz. <ll>dwc_commonname:</ll> Lentilha d'água","HDELTA000270",NA,NA,"Phil.",NA,"2011","09","09","Piauí","Parnaíba","Fazendinha","-41.787778","-2.895389",NA,NA,NA,NA,"41°47'16,00''W","02°53'43,40''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","129","PreservedSpecimen","Plantae","Araceae","Lemna","valdiviana","Lemna valdiviana","Costa, M. C. A.","349",NA,"Brasil",NA,NA,"Flutuante Livre <ll>dwc_commonname:</ll> Lentilha d'água","HDELTA000129",NA,NA,"Phil.","Costa, M. C. A.","2009","08","01","Piauí","Parnaíba",NA,"-41.7766990661621","-2.90472006797791",NA,NA,NA,NA,NA,NA,"25571","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
