"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","fieldNumber","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","01459817","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","tenuiflora","Eugenia tenuiflora","Mazine","isotype","G. T. Prance","3222","1966","11","23","South America","Brazil","Amazonas","Road Humaitá to Lábrea, km 42. 2km wet of rio Ipixuna","-63.3627543","-7.508793","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1334264' target='other'> <mi>dwc_moreinfo</mi></a>","NY01459817","NY01459817_01 NY01459817_02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 11:09:35-03","UNESP-IBB","BOTU","16851","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","tenuiflora","Eugenia tenuiflora","Mazine",NA,"Janssen, A.","217","1980","02","22",NA,"Brasil","Amazonas",NA,"-63.166667","-7.516667",NA,NA,"BOTU016851",NA,"Faria Jr., J.E.Q.","2010","12","Humaitá","63°10'w","7°31's",NA,NA,NA
"3","2021-02-08 11:09:35-03","UNESP-IBB","BOTU","16847","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","tenuiflora","Eugenia tenuiflora","Mazine",NA,"Janssen, A.","416","1980","05","22",NA,"Brasil","Amazonas",NA,"-63.166667","-7.516667",NA,NA,"BOTU016847",NA,"Faria Jr., J.E.Q.","2010","12","Humaitá","63°10'w","7°31's",NA,NA,NA
"4","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","16849","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","tenuiflora","Eugenia tenuiflora","Mazine",NA,"Janssen, A.","83","1979","03","24",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,"BOTU016849",NA,"Faria Jr., J.E.Q.","2010","12","Humaitá","9999","9999",NA,NA,NA
"5","2020-11-04 11:14:41-03","ESALQ","ESA","98289","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","tenuiflora","Eugenia tenuiflora",NA,NA,"Clark, J.L.","4190.0","1997","03","25",NA,"Equador",NA,NA,NA,NA,NA,NA,"ESA098289",NA,"Mazine, F.F.",NA,NA,"Pedernales Cantón",NA,NA,NA,NA,NA
"6","2016-11-28 17:24:55-02","MNHN","RECOLNAT_MNHN_P","P05321195","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","tenuiflora","Eugenia tenuiflora","Mazine",NA,"Glaziou, A.",NA,"1869","2","3",NA,"Brasil","Rio de Janeiro","Brésil (Rio Jan.) Floresta de Tijuca.","-43.2075004577637","-22.9027996063232","hb","Herbier de A. Glaziou donné par Mme. Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05321195' target='other'> <mi>dwc_moreinfo</mi></a>","P05321195","P05321195_01",NA,NA,NA,"Rio de Janeiro",NA,NA,"3001","57442","auto"
"7","2015-09-04 22:55:37-03","MNHN","RECOLNAT_MNHN_P","P05321194","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","tenuiflora","Eugenia tenuiflora","Mazine",NA,"Glaziou, A.",NA,"1869","2","3",NA,"Brasil","Rio de Janeiro","Floresta daTijuca","-43.2075004577637","-22.9027996063232","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05321194' target='other'> <mi>dwc_moreinfo</mi></a>","P05321194","P05321194_01",NA,NA,NA,"Rio de Janeiro",NA,NA,"3001","57442","auto"
"8","2021-01-10 20:47:02-03","INPA","INPA","95439x","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Eugenia","tenuiflora","Eugenia tenuiflora","Mazine",NA,"Janssen, AS","217","1980","02","22","Southern America","Brasil","Amazonas","Humaitá, Campo I, 500 m ao norte da BR 230, km 2.","-63.166667","-7.516667",NA,NA,"INPA095439x",NA,"Faria jr.; J.E.Q., JE","2010","12","Humaitá","-63.166667","-7.516667",NA,NA,NA
"9","2020-08-31 09:07:47-03","INPA","INPA","274879","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Eugenia","tenuiflora","Eugenia tenuiflora","Mazine",NA,"Souza, MC de","186","2002","07","23","Southern America","Brasil","Amazonas","Reserva de Desenvolvimento Sustentável de Mamirauá","-64.7114028930664","-3.35417008399963",NA,NA,"INPA0274879",NA,"Sobral, MEG; Souza, MAD de","2019","04","Tefé",NA,NA,NA,"340205","auto"
"10","2020-08-31 09:07:47-03","INPA","INPA","18799","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Eugenia","tenuiflora","Eugenia tenuiflora","Mazine","isotype","Prance, GT","3222","1966","11","23","Southern America","Brasil","Amazonas","Humaitá - Labrea km 42, Road Humaitá to Lábrea, km 42. 2km wet of rio Ipixuna","-63.362754","-7.508793",NA,NA,"INPA0018799","INPA0018799 INPA0018799_e INPA0018799_nd","Mazine, FF","2009",NA,"Humaitá","-63.362754","-7.508793",NA,NA,NA
