"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:49-03","UNESC","CRI","1782","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","Daniel B. Falkenberg","V. Citadini-Zanette; R. dos Santos & A. J. de Aguiar","1759","1993","01","06","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: arvoreta","CRI005682","CRI005682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:49-03","UNESC","CRI","8614","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","Vanilde C. Zanette","Clair M. Martinello",NA,"2001","04","20","Brasil","Santa Catarina","Criciúma","Mata da SATC e da UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI005488","CRI005488","2001","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","11739","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.",NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick",NA,"2009","08","04","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30",NA,"CRI005497","CRI005497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:42-03","UNESC","CRI","3228","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1852","1993","07","21","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI005684","CRI005684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:49-03","UNESC","CRI","6297","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","Vanilde Citadini- Zanette","Vanilda Dagostim",NA,"1997","11","25","Brasil","Santa Catarina","Criciúma","Morro Estevão.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","Habito: árvore","CRI005688","CRI005688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:41-03","UNESC","CRI","11943","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","Vanilde C. Zanette","Aline Votri Guislon; Guilherme Alves Elias; Peterson Teodoro Padilha & Robson dos Santos",NA,"2016","05","04","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450",NA,"CRI010089","CRI010089","2016","05","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:49-03","UNESC","CRI","8822","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","Robson dos Santos","Jacira; Robson dos Santos",NA,"1998","10","15","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","58","58",NA,"CRI005487","CRI005487","1998","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:42-03","UNESC","CRI","7570","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","Marcelo R. Pasetto","Marcelo Romagna Pasetto",NA,"2007","12","05","Brasil","Santa Catarina","Siderópolis","Jordão/São Pedro.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","112","112",NA,"CRI005669","CRI005669","2007","12","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:47-03","UNESC","CRI","11428","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","R.M. Klein","R.M. Klein","7225","1967","02","15","Brasil","Santa Catarina","Florianópolis","Morro Costa da Lagoa, Ilha de Santa Catarina.","-48.467222","-27.510833","48º28'2''W","27º30'39''S","250","250","Habitat: mata Habito: arvoreta","CRI005493","CRI005493","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:47-03","UNESC","CRI","11745","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.",NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick",NA,"2009","08","04","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30",NA,"CRI005498","CRI005498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:42-03","UNESC","CRI","451","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","Marcos Sobral","Vanilde Citadini-Zanette; Jairo José Zocche, Aurélio José de Aguiar & Jairo Viana de Oliveira Jr.","868","1990","07","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI005671","CRI005671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:49-03","UNESC","CRI","1777","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","V. C. Zanette","V. Citadini-Zanette; C. M. Martinello & Z. P. Topanotti","1754","1993","01","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habitat: interior da mata Habito: arvoreta","CRI005680","CRI005680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:41-03","UNESC","CRI","1011","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","Kikio Yamamoto","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1289","1991","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI005483","CRI005483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:33:49-03","UNESC","CRI","1767","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","parviflora","Ouratea parviflora","(A.DC.) Baill.","V. C. Zanette","V. Citadini-Zanette; C. M. Martinello & R. dos Santos","1744","1993","03","20","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: árvore","CRI005486","CRI005486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
