"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:42:02-03","E","E","360245","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","sellowii","Ouratea sellowii","Riedel","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:385908","<a href=http://data.rbge.org.uk/herb/E00360245 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00360245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:02-03","E","E","360246","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","sellowii","Ouratea sellowii","Sellow, F.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:385907","<a href=http://data.rbge.org.uk/herb/E00360246 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00360246","isotype","337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1128086","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","sellowii","Ouratea sellowii","G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275488' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128086",NA,"20003","Magnoliophyta","Malpighiales","Engl.","K. Yamamoto","1968","10","11","Paraná","Arapoti","Rio Dos Perdizes","-49.8267","-24.1578","NY01128086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1128135","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","sellowii","Ouratea sellowii","L. Riedel","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275613' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128135",NA,"s.n.","Magnoliophyta","Malpighiales","Engl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY01128135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1128089","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","sellowii","Ouratea sellowii","A. S. Janssen","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275495' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128089",NA,"233a","Magnoliophyta","Malpighiales","Engl.","K. Yamamoto","1914","04","29","Paraná",NA,"Villa Velha","-50.012929","-25.234872","NY01128089_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1128084","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","sellowii","Ouratea sellowii","P. K. H. Dusén","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275486' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128084",NA,"11744","Magnoliophyta","Malpighiales","Engl.","K. Yamamoto","1911","04","17","Paraná",NA,"Jaguariahyva","-49.713647","-24.340602","NY01128084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1128088","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","sellowii","Ouratea sellowii","G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275493' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128088",NA,"7768","Magnoliophyta","Malpighiales","Engl.","K. Yamamoto","1971","02","26","Paraná","Arapoti","Fda. do Tigre","-49.8267","-24.1581","NY01128088_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1128085","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","sellowii","Ouratea sellowii","G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275487' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128085",NA,"20054","Magnoliophyta","Malpighiales","Engl.","K. Yamamoto","1968","10","13","Paraná","Jaguariaiva","Fda. Cajuru","-49.7058","-24.2511","NY01128085_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1128090","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","sellowii","Ouratea sellowii","F. C. Hoehne","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275497' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128090",NA,"28810","Magnoliophyta","Malpighiales","Engl.","K. Yamamoto","1932","03","11","São Paulo",NA,"Jardim Botanico","-46.618358","-23.646109","NY01128090_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1128087","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","sellowii","Ouratea sellowii","P. K. H. Dusén","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275490' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128087",NA,"15132","Magnoliophyta","Malpighiales","Engl.","K. Yamamoto","1914","06","08","Paraná","Jaguariaiva",NA,"-49.7057991027832","-24.2511005401611","NY01128087_01","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
