"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","class","order","scientificNameAuthorship","year","month","day","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-09-23 10:36:01-03","E","E","335091","PreservedSpecimen","Plantae","Amaryllidaceae","Zephyranthes","candida","Zephyranthes candida","Christison, David (Dr.)","Temperate South America","AR","Provincia de Buenos Aires","Buenos Ayres. Río de la Plata","herbarium specimen of unspecif","BGBASE:373458","<a href=http://data.rbge.org.uk/herb/E00335091 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:01-03","E","E","335092","PreservedSpecimen","Plantae","Amaryllidaceae","Zephyranthes","candida","Zephyranthes candida","Christison, David (Dr.)","Temperate South America","UY",NA,"Banda Oriental. Río Negro","herbarium specimen of unspecif","BGBASE:373459","<a href=http://data.rbge.org.uk/herb/E00335092 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00335092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:45:43-03","NBC","NL-BOTANY","L.1470300","PreservedSpecimen","Plantae","Amaryllidaceae","Zephyranthes","candida","Zephyranthes candida","Vervoorst F","Southern America","Argentina",NA,"Buenos Aires, Anchorena (Rio de la Plata.).",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1470300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1470300","Magnoliopsidae","Asparagales","(Lindl.) Herb.","1957","03","01","NL-L1470300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:45:43-03","NBC","NL-BOTANY","U.1065691","PreservedSpecimen","Plantae","Amaryllidaceae","Zephyranthes","candida","Zephyranthes candida","Rodrigo AP","Southern America","Argentina",NA,"Flora de La Provincia de Buenos Aires, Republica Argentina, Punta Lara, Partido La Plata.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1065691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1065691","Magnoliopsidae","Asparagales","(Lindl.) Herb.","1944","04","04","NL-U1065691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 10:59:02-03","ESALQ","ESA","17041","PreservedSpecimen","Plantae","Amaryllidaceae","Zephyranthes","candida","Zephyranthes candida","Souza, V.C. et al.",NA,"Brasil","São Paulo",NA,NA,NA,NA,"ESA017041",NA,NA,"Herb.","1993","02","13","ESA017041","Magnoliophyta","Dutilh, J.","2005","01","01","2249.0","Bom Sucesso de Itararé","-49.1399993896484","-24.3099994659424","14955","auto",NA,NA,NA,NA,NA,NA
"6","2020-11-04 10:59:02-03","ESALQ","ESA","11978","PreservedSpecimen","Plantae","Amaryllidaceae","Zephyranthes","candida","Zephyranthes candida","Souza, V.C. et al.",NA,"Brasil","São Paulo",NA,NA,NA,NA,"ESA011978",NA,NA,"(Lindl.) Herb.","1993","09","09","ESA011978","Magnoliophyta","Dutilh, J.H.A.","2005","01","01","4286.0","Itararé","-49.3400001525879","-24.1100006103516","27729","auto",NA,NA,NA,NA,NA,NA
"7","2019-07-26 11:39:16-03","IPA","IPA","30750","S","Plantae","Amaryllidaceae","Zephyranthes","candida","Zephyranthes candida","Thomas, R.D.; Carroll, N.; Carroll, N.","Northern America","USA",NA,"Sabine, Lot beside Zwolle State Bank and U.S. 171 in Zwolle, sec. 31",NA,NA,NA,"IPA0030750",NA,NA,"(Lindl.) Herb.","1980","10","04",NA,"Plantae",NA,NA,NA,NA,"73881",NA,"-4","18",NA,NA,"-4","18",NA,NA,NA,NA
"8","2019-08-27 13:26:20-03","IAP","PACA-AGP","27872","PreservedSpecimen","Plantae","Amaryllidaceae","Zephyranthes","candida","Zephyranthes candida","E. Friderichs",NA,"Brasil","SP",NA,NA,NA,"Habitat: in graminosis Fenofase: flor","PACA027872","Liliatae","Liliales","(Lindl.) Herb.","1944","01",NA,NA,"Magnoliophyta","Ravenna","1968",NA,NA,NA,"Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:30:02-03","UFJF","CESJ","2466","PreservedSpecimen","Plantae","Amaryllidaceae","Zephyranthes","candida","Zephyranthes candida","s.col.",NA,"?",NA,NA,NA,NA,"N. Vulgar: carapitaia, açucena-do-rio, cebola-luana.&nf;Flores brancas, de janeiro a março. Origem: sul do Brasil, Argentina. Cultivada na Europa.","CESJ002466",NA,NA,"(Lindl.) Herb.",NA,NA,NA,"CESJ002466","Angiosperma",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:18:54-03","UNICAMP","UEC","131339","S","Plantae","Amaryllidaceae","Zephyranthes","candida","Zephyranthes candida","Souza, VC; Sakuragui, CM; Scaramuzza, CAMR; Fina, BG",NA,"Brazil","São Paulo","Brasil- Bom Sucesso- SP- Arredores de Itararé.",NA,NA,"Erva bulbosa, tépalas alvas com base verde, filetes verdes, anteras amarelas. Área de pasto.","UEC111296",NA,NA,"(Lindl.) Herb.","1993","02","13","UEC111296","Liliopsida","Dutilh, JHA","2013","07",NA,"2249","Bom Sucesso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
