"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","class","verbatimLongitude","verbatimLatitude","typeStatus","identifiedBy"
"1","2021-03-15 16:37:00-03","NY","NYBG","880156","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","S. J. da Silva Neto","1877","2005","06","29","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Início da trilha Maromba-Planalto (por Mauá)","-44.5633010864258","-22.4960994720459","19648","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880156","NY00880156_01","auto",NA,NA,NA,NA,NA
"2","2019-12-18 15:50:57-03","UFOP","OUPR","33421","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","Silva Neto, S.J.; Silva, W. da","1877","2005","06","29",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Início da trilha Maromba-Planalto (por Mauá).","-44.5633010864258","-22.4960994720459","19648",NA,"Árvore semi-ciófila, ca. 8m de alttura, flores breve discolores cartáceas, frutos imaturos verdes. &nf;Proj.: Programa Mata Atlântica - Petrobrás / Macarthur Foundation",NA,NA,"auto",NA,NA,NA,NA,NA
"3","2020-12-11 11:40:54-03","UFMG","BHCB","164615","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","Silva Neto, SJ; Silva, W da","1877","2005","06","29","Southern America","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Início da trilha Maromba-Planalto (por Mauá)","-44.5633010864258","-22.4960994720459","19648",NA,"Árvore semi-ciófila, ca. 8 metros de altura; flores breve discolores cartáceas; frutos imaturos verdes.","BHCB009823",NA,"auto",NA,NA,NA,NA,NA
"4","2020-07-10 09:49:08-03","MBML","MBML-HERBARIO","42269",NA,"Plantae",NA,NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","S. J. Silva Neto; W. da Silva","1877","2005","06","29",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Inicio da trilha Maromba-Planalto (por Mauá)","-44.5633010864258","-22.4960994720459","19648",NA,"Árvore semi-ciófila, ca 8m alt., flores breve discolores cartáceas, frutos imaturos verdes","MBML042269",NA,"auto",NA,NA,NA,NA,NA
"5","2019-11-13 11:30:11-03","USP","SPF","205789","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","Silva-Neto, SJ","1877","2005","06","29",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Início da trilha Maromba-Planalto (por Mauá).","-44.5633010864258","-22.4960994720459","19648",NA,NA,"SPF00205789",NA,"auto",NA,NA,NA,NA,NA
"6","2019-10-07 09:14:31-03","UEFS","HUEFS","179595","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","Silva Neto, S.J.","1877","2005","06","29",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Início da trilha Maromba-Planalto (por Mauá)","-44.5633010864258","-22.4960994720459","19648",NA,NA,"HUEFS0179595",NA,"auto","Asteranae",NA,NA,NA,NA
"7","2019-10-07 09:14:31-03","UEFS","HUEFS","1952","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Rubiaceae","Ixora","schottiana","Ixora schottiana","Müll.Arg.","Noblick, L.R.","2495","1982","12","15",NA,"Brasil","Bahia","Camaçari",NA,"-38.3","-12.483333",NA,NA,NA,"HUEFS0001952",NA,NA,"Asteranae","38W18'","12S29'",NA,NA
"8","2019-09-04 18:48:56-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Ixora","obscura","Ixora obscura",NA,"F. Sellow","6018",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"Type [status unknown]",NA
"9","2019-01-23 11:15:02-02","F","FMNH-SEEDPLANTS","V0069605F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Ixora","obscura","Ixora obscura",NA,"F. Sellow","6018",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0069605F","V0069605F_01",NA,"Dicotyledoneae",NA,NA,"Isotype",NA
"10","2019-01-23 10:06:34-02","F","FMNH-SEEDPLANTS","V0069608F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Ixora","schottiana","Ixora schottiana",NA,"H. W. Schott","889",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0069608F","V0069608F_01",NA,"Dicotyledoneae",NA,NA,"Isosyntype",NA
