"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","547666","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","J. Renz","T. C. Plowman","9095","1980","02","24","South America","Brazil","Pará","Conceição do Araguaia","2 km west of town along highway PA-287","-49.3","-8.25","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547666","NY00547666_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1032890","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.",NA,"J. J. Wurdack","B-57","1946","08","11","South America","Brazil","Rio Grande do Norte",NA,"between Parnamirim airfield and Rio Cajupiranga south of Natal.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032890","NY01032890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1031789","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","G. F. J. Pabst","H. S. Irwin","21375","1968","03","18","South America","Brazil","Tocantins","Guaraí","10 km S. of Guará.","-48.52","-8.93","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187299' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031789","NY01031789_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547667","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","E. A. Christenson","S. A. Mori","14189","1981","05","29","South America","Brazil","Bahia","Entre Rios","23 km from Subauma on road to Entre Rios","-37.9461068","-12.206928",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547667","NY00547667_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:28:42-03","UFBA","ALCB","00476","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Krzl.","Batista, JAN","Chaves, A","s/n",NA,NA,NA,"Southern America","Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,"em mangueiras velhas.","ALCB007116","ALCB007116","2006","02","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:31-03","ESALQ","ESA","32945","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Krzl.","Forster, W.","Souza, J.P. et al.","505.0","1996","04","27",NA,"Brasil","São Paulo","Itutinga",NA,NA,NA,NA,NA,NA,NA,"ESA032945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:17:31-03","ESALQ","ESA","86422","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kr.",NA,"Bopp, L.T.",NA,"2003","01","01",NA,"Brasil","São Paulo","Luís Antônio",NA,"-47.7000007629395","-21.5499992370605",NA,NA,NA,NA,"ESA086422","ESA086422",NA,NA,NA,"26872","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-19 10:24:32-03","CPAP","CPAP","7641","PreserverdSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl. ex Cogn.","P. J. Cribb","Pott, A.","5591","1990","04","24",NA,"Brasil","MS","Corumbá","Fazenda São Paulo, beira caminho fazenda Rancharia a fazenda Figueiral, Sub-região da Nhecolândia, Pantanal","-55.583333","-18.55","140","140",NA,"Erva ereta. FLOR: amarela. FRUTO: . INTERESSE: Ornamental. FREQUÊNCIA: Rara. AMBIENTE: Campo alagável de Paspalum carinatum e Curatella. SUBSTRATO: solo arenoso fértil. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"55°35' W","18°33' S",NA,NA,NA,NA,NA
"9","2015-07-02 14:03:30-03","JBP","HPL","5867","S","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl. ex Cogn.","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","1341","2000","04","06",NA,"Brasil","MG","Uberaba","Coletado na Fazenda 3 Coringa.","-47.9319","-19.7483",NA,NA,NA,NA,NA,NA,"2000","04","06","73879","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:46:53-03","UFMS","CGMS","14219","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","glazioviana","Habenaria glazioviana","Kraenzl.","A. Pott","A. Sciamarelli; A. Cavalcante; C.S.C Arruda; F.G. Kuhn","1814","2004","04","18",NA,"Brasil","Goiás","Itajá",NA,"-51.0861111","-19.3136111",NA,NA,NA,"Flor amarela. Planta apresentandoFloração. Heliófita. Higrófita. Hidrófita. Habitat: Borda e interior de mata. Relevo ondulado sem drenagem. Habito: Erva.","CGMS1043681",NA,"2006","02","17",NA,NA,"-51,0861111","-19,3136111",NA,NA,NA,NA,NA
