"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:25:42-03","UNESC","CRI","12101","PreservedSpecimen","Plantae","Olacaceae","Heisteria","silvianii","Heisteria silvianii","Schwacke","Verdi, M","2010","01","31","Verdi, M.; Klettenberg, D.H. & Klemz, G.","3498","2010","01","30","Brasil","Santa Catarina","Treviso","Nova Brasília.","-49.498611","-28.443611","49º29'55''W","28º26'37''S","555","555","Florística IFFSC 74 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbórea; flor cálice bordô","CRI010279","CRI010279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:49-03","UNESC","CRI","1441","PreservedSpecimen","Plantae","Olacaceae","Heisteria","silvianii","Heisteria silvianii","Schwacke","L. C. Schimmelpfeng",NA,NA,NA,"R. R. B. Negrelle; C. Londero","539","1992","11","06","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI005617","CRI005617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:42-03","UNESC","CRI","11958","PreservedSpecimen","Plantae","Olacaceae","Heisteria","silvianii","Heisteria silvianii","Schwacke","Aline Votri Guislon","2016","09","29","Aline Votri Guislon; Altamir Rocha Antunes; Robson dos Santos & Peterson Teodoro Padilha",NA,"2013","01","14","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450",NA,"CRI010104","CRI010104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:42-03","UNESC","CRI","13871","PreservedSpecimen","Plantae","Olacaceae","Heisteria","silvianii","Heisteria silvianii","Schwacke","Alexandre Medeiros","2018","12","17","Alexandre Medeiros","958","2018","12","17","Brasil","Santa Catarina","Balneário Camboriú","Pinhonat APA Costa Branca","-48.579722","-27.018056","48º34'47''W","27º1'5''S",NA,NA,"Fruto vermelho/ amarelo Habitat: Terrestre Habito: Arbóreo","CRI012482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:49-03","UNESC","CRI","11148","PreservedSpecimen","Plantae","Olacaceae","Heisteria","silvianii","Heisteria silvianii","Schwacke","San Zatta Custódio","2012","09","25","Karoline Felix; Robson dos Santos & Peterson T. Padilha",NA,"2012","09","05","Brasil","Santa Catarina","Criciúma","morro do céu.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI005614","CRI005614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:49-03","UNESC","CRI","1765","PreservedSpecimen","Plantae","Olacaceae","Heisteria","silvianii","Heisteria silvianii","Schwacke","M. Sobral",NA,NA,NA,"V. Citadini-Zanette; C. M. Martinello & Z. P. Topanotti","1742","1993","02","02","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: árvore","CRI005620","CRI005620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:42-03","UNESC","CRI","11280","PreservedSpecimen","Plantae","Olacaceae","Heisteria","silvianii","Heisteria silvianii","Schwacke","M. Verdi","2011","01","20","M. Verdi; S. Dreveck","5808","2010","10","14","Brasil",NA,"Brasil","Braço Esquerdo - APA Rio Vermelho/Humbold.","-49.236667","-26.366944","49º14'12''W","26º22'1''S","334","334","Floresta Ombrófila Densa","CRI005616","CRI005616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:49-03","UNESC","CRI","8854","PreservedSpecimen","Plantae","Olacaceae","Heisteria","silvianii","Heisteria silvianii","Schwacke","Zenaide P. Topanotti","1998",NA,NA,"Zenaide P. Topanotti",NA,"1998","12","30","Brasil","Santa Catarina","Criciúma","Sítio de João Dagostim, Bairro Quarta Linha.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI005618","CRI005618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:49-03","UNESC","CRI","5108","PreservedSpecimen","Plantae","Olacaceae","Heisteria","silvianii","Heisteria silvianii","Schwacke","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; V. P. Boff",NA,"1996","09","20","Brasil","Santa Catarina","Urussanga","Santana.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","38","38","Habito: arbórea","CRI005615","CRI005615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:42-03","UNESC","CRI","12100","PreservedSpecimen","Plantae","Olacaceae","Heisteria","silvianii","Heisteria silvianii","Schwacke","Stival-Santos, A","2009","10","07","Stival-Santos, A.; Legal, E. & Silveira, S.","978","2009","10","07","Brasil","Santa Catarina","Gaspar","Gaspar Alto, Rua Hésio Silveira de Souza.","-49.050833","-27.000556","49º3'3''W","27º0'2''S","215","215","Florística IFFSC 637 (Arbórea) Habitat: Floresta Ombrófila Densa Submontana; Estágio Avançado Habito: árvore; flor botões florais verdes","CRI010278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
