"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","verbatimLongitude","verbatimLatitude","class","order","typeStatus"
"1","2020-11-04 12:17:40-03","ESALQ","ESA","85179","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schtdl.","Rando, J.G. & Souza, V.C.","Dombrowski, L.T.","5622.0","1974","12","13","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","ESA085179","ESA085179","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:40-03","ESALQ","ESA","36347","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schtdl.","Souza, V.C.","Ribas, O.S. et al.","1227.0","1996","02","11","Brasil","Santa Catarina","Curitibanos","-50.584400177002","-27.2828006744385","25987","ESA036347","ESA036347","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:40-03","ESALQ","ESA","82724","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schltdl.","Souza, V.C.","Hatschbach, G. et al.","72481.0","2001","11","09","Brasil","Santa Catarina","Urubici","-49.5917015075684","-28.0149993896484","30102","ESA082724","ESA082724","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:40-03","ESALQ","ESA","104718","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina",NA,"Souza, V.C.","Pinho-Ferreira, M.A.M.","537.0","2006","04","06","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","ESA104718","ESA104718","auto","2006","04","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:17:40-03","ESALQ","ESA","104642","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina",NA,NA,"Romão, G.O.","1334.0","2006","04","10","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","ESA104642","ESA104642","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:40-03","ESALQ","ESA","62507","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schtdl.","Souza, V.C.","Barbosa, E. ; Ribas, O. S.","106.0","1999","05","24","Brasil","Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465","55154","ESA062507","ESA062507","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:17:40-03","ESALQ","ESA","68534","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schltdl.","Souza, V.C.","Cordeiro, J. et al.","1594.0","1999","11","13","Brasil","Paraná","Lapa","-49.7158012390137","-25.7696990966797","49965","ESA068534","ESA068534","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:17:40-03","ESALQ","ESA","62509","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schtdl.","Souza, V.C.","Hatschbach, G. et al.","68685.0","1998","11","15","Brasil","Paraná","Palmas","-51.9906005859375","-26.4841995239258","46666","ESA062509","ESA062509","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:17:40-03","ESALQ","ESA","35565","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schtdl.","Souza, V.C.","Hatschbach, G. et al.","64023.0","1995","12","06","Brasil","Paraná","Rio Branco do Sul","-49.3142013549805","-25.1900005340576","37352","ESA035565","ESA035565","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:17:40-03","ESALQ","ESA","68537","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schtdl.","Souza, V.C.","Hatschbach, G. et al.","71721.0","2000","12","09","Brasil","Santa Catarina","São Joaquim","-49.9317016601562","-28.2938995361328","48290","ESA068537","ESA068537","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:37:26-03","UNICAMP","UEC","14563","S","Plantae","Magnoliopsida","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schltdl.","Souza, VC","Davis, PH; Cruz, ND; Felippe, GM; Kinoshita, JH; Shepherd, GJ; Semir, J","2919A","1976","09","28","Brazil","São Paulo",NA,NA,NA,NA,"UEC081837","UEC081837",NA,"1989","07","11","Rod. Dom Pedro I, Km 175 perto de Sta Isabel.","680","680","Flores lilas clara.; Mata na beira da estrada.",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:38:55-03","MBM","MBM","237029","PreservedSpecimen","Plantae",NA,"Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schltdl.","Souza, V.C.","Barboza, E.; Ribas, O.S.; Ribas, O.S.","106",NA,NA,NA,"Brazil","Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465","55154","MBM237029","MBM237029","auto",NA,NA,NA,"Morro Camacuã",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"13","2020-12-21 16:38:55-03","MBM","MBM","191668","PreservedSpecimen","Plantae",NA,"Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schltdl.","Souza, V.C.","Ribas, O.S.; Cordeiro, J.; Poliquesi, C.B.; Cordeiro, J.; Poliquesi, C.B.","1227",NA,NA,NA,"Brazil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","MBM191668","MBM191668","auto",NA,NA,NA,"Caraguatá dos Bastos",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"14","2020-12-21 16:38:55-03","MBM","MBM","232422","PreservedSpecimen","Plantae",NA,"Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schltdl.","Souza, V.C.","Hatschbach, G.; Spichiger, R.; Loizeau, P.A.; Spichiger, R.; Loizeau, P.A.","68685",NA,NA,NA,"Brazil","Paraná","Palmas","-51.9906005859375","-26.4841995239258","46666","MBM232422","MBM232422","auto",NA,NA,NA,"Horizonte",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"15","2020-12-21 16:38:55-03","MBM","MBM","399961","PreservedSpecimen","Plantae",NA,"Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schltdl.","Lozano, E.D.","Lozano, E.D.; Bolson, M.; Maia, F.R.; Bolson, M.; Maia, F.R.","2728","2014","09","02","Brazil","Paraná","Balsa Nova","-49.638833","-25.471917",NA,"MBM399961","MBM399961",NA,"2015",NA,NA,"São Luiz do Purunã, próximo ao mirante do Cristo",NA,NA,"Herbacea, 40 cm, flores roxas.; Campos Gerais, campo limpo.","Southern America","-49.638833","-25.471917",NA,NA,NA
"16","2020-12-21 16:38:55-03","MBM","MBM","186051","PreservedSpecimen","Plantae",NA,"Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schltdl.","Souza, V.C.","Hatschbach, G.; Landrum, L.R.; Deodato, F.; Landrum, L.R.; Deodato, F.","64023",NA,NA,NA,"Brazil","Paraná","Rio Branco do Sul","-49.3142013549805","-25.1900005340576","37352","MBM186051","MBM186051","auto",NA,NA,NA,"Quebrada Funda",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"17","2021-02-11 17:21:44-03","UFPR","UPCB","36223","PreservedSpecimen","Plantae",NA,"Scrophulariaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schlecht.","Souza, V.C.","Hatschbach, G.","68685","1998","11","15","Brasil","Paraná","Palmas","-51.9906005859375","-26.4841995239258","46666",NA,NA,"auto","1999","01","01","Horizonte",NA,NA,"Ereta, flor lilás. Campo limpo, solo rochoso..",NA,NA,NA,NA,NA,NA
"18","2021-02-25 10:12:35-03","CVRD","CVRD","7419","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schltdl.","G.O. Romão & V.C. Souza","Folli, D.A.","4308","2002","08","01","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096","48094","CVRD007419","CVRD007419","auto","2006","04","12",NA,NA,NA,"<ll>dwc_commonname:</ll> Socoró","América do Sul",NA,NA,"Magnoliopsida","Lamiales",NA
"19","2021-02-25 10:12:35-03","CVRD","CVRD","12366","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Buchnera","amethystina","Buchnera amethystina","Cham. & Schltdl.","Geovane S. Siqueira","Siqueira, G.S.","296","2009","07","17","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096","48094","CVRD012366",NA,"auto","2009","07","23",NA,NA,NA,"<ll>dwc_commonname:</ll> Socoró","América do Sul",NA,NA,"Magnoliopsida","Lamiales",NA
