"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","2063214","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","J. M. A. Braga","2857","1995","09","27","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Planalto, Agulhas Negras.","-44.65833","-22.35833","2500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364804' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063214","NY02063214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","781907","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","P. K. H. Dusén","1167","1902","06","18","South America","Brazil",NA,NA,"Serra do Itatiaia","-44.61526","-22.368371","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781907","NY00781907_01","G. Heiden","2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","787527","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","A. C. Brade","16505","1940","07","31","South America","Brazil","Rio de Janeiro",NA,"Flora da Serra dos Orgaos. Pedra Assú.","-43.065577","-22.483289","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787527","NY00787527_01","G. Heiden","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","787524","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","A. C. Brade","14589","1935","05","27","South America","Brazil","Rio de Janeiro","Itatiaia","Agulhas Negras.","-44.658333","-22.384444","2800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787524","NY00787524_01","G. Heiden","2800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","787528","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","A. C. Brade","20286","1950","05",NA,"South America","Brazil","Rio de Janeiro","Itatiaia",NA,"-44.5631","-22.4961","2600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787528","NY00787528_01","G. Heiden","2600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00854963","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","A. C. Brade","16917","1941","09","11","South America","Brazil","Minas Gerais",NA,"Serra do Caparaó",NA,NA,"2200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854963","NY00854963_01","G. Heiden","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00998340","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","G. Eiten","7682","1966","07","31","South America","Brazil","Rio de Janeiro","Resende","Itatiáia National Park, South face of Mt. Itatiáia. Several km from television relay tower towards Macieiras, at head of valley of Rio Itatiáia.","-44.4467","-22.4692","1870","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00998340","NY00998340_01","G. Heiden","1870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","787513","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","E. Pereira","94","1953","07","16","South America","Brazil","Rio de Janeiro",NA,"Parque Nac. Itatiaia, Agulhas Negras.","-44.658333","-22.384444",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=50448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787513","NY00787513_01","G. Heiden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:18:59-03","UFRJ","RFA","18412","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","Cézio Pereira","777","1977","08","12",NA,"Brasil","Rio de Janeiro","Itatiaia","Estrada para o Planalto.","-44.5633010864258","-22.4960994720459","2350",NA,"2350","RFA15517",NA,"G. Heiden","2350","2007","06","01","19648","auto",NA,NA,NA,NA,NA
"10","2021-03-02 16:28:35-03","CPAN-UFMS","COR","8929","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","Barbosa, E.; Ribas, O. S. & Costa, E. F.","682","2001","10","23",NA,"Brasil","Paraná","Campina Grande do Sul","Serra Capivari Grande","-49.0553016662598","-25.3055992126465","35",NA,"Arbusto com 1,5m de altura; capítulo alvacento Habito: Arbusto",NA,NA,"G. Heiden","35","2016","04","26","55154","auto",NA,NA,NA,NA,NA
"11","2021-01-19 13:57:06-03","MN","R","11568","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","Glaziou, A.F.M.","11111","1879","09","07",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000011568","R000011568_001","Heiden, G.",NA,"2007","11","12",NA,NA,NA,NA,NA,NA,NA
"12","2021-01-19 13:57:06-03","MN","R","231103","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","Maia, V.C.; Mascarenhas, B.",NA,"2015","10","05",NA,"Brasil","Rio de Janeiro","Itatiaia","PARNA do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,"R010031961",NA,"R. Moura",NA,"2016",NA,NA,"19648","auto",NA,NA,NA,NA,NA
"13","2021-01-18 16:30:54-03","MN","R","222735","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","Souza-Souza, R.M.B. ; Holanda, V.H. & Esteves, R.L.","49","2013","07","16",NA,"Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia","-44.8699989318848","-22.283899307251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26914","auto",NA,NA,NA,NA,NA
"14","2021-01-18 16:30:54-03","MN","R","222737","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","grandimucronata","Baccharis grandimucronata","Malag.","Souza-Souza, R.M.B. ; Holanda, V.H. & Esteves, R.L.","43","2013","07","16",NA,"Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia","-44.8699989318848","-22.283899307251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26914","auto",NA,NA,NA,NA,NA
