"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","continentOcean","verbatimLongitude","verbatimLatitude","individualCount"
"1","2019-08-27 13:27:57-03","IAP","PACA-AGP","91634","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Smallanthus","riograndensis","Smallanthus riograndensis","Mondin","sem det.","Paratipo","Mondin, C.","2922","2003","01","31","Brasil","RS","São Francisco de Paula","Tainhas, Aratinga, a 8 Km da vila, em direção à Terra de Areia","-50.5835990905762","-29.4480991363525","76715","PARATYPUS. Erva com até 3m de altura, em local úmido. Capítulos amarelo-claros. HASU 15203. Hábito: erva","PACA091634","PACA091634","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:27:57-03","IAP","PACA-AGP","91635","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Smallanthus","riograndensis","Smallanthus riograndensis","Mondin","C. Mondin","Isotipo","Mondin, C.","2653","2002","04","27","Brasil","RS","São Francisco de Paula","Tainhas-Serra do Pinto.","-50.5835990905762","-29.4480991363525","76715","Erva com ca. 1,5m de altura, na beira da estrada. Capítulos amarelos. HASU 14322. Hábito: erva","PACA091635","PACA091635","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-01-17 11:24:41-02","PUCRS","MPUC","12273","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Smallanthus","riograndensis","Smallanthus riograndensis","Mondin",NA,"ISOPARATYPUS",NA,NA,"2003","01","31","Brasil","RS","São Francisco de Paula","Tainhas, Aratinga, a 8 km da Vila, em direção à Terra de Areia","-50.5755556","-29.4205556",NA,"Em mata com araucaria, local úmido",NA,NA,NA,"2004","01","01","2922","South America","-50.5755556000","-29.4205556000","1"
"4","2019-01-17 11:24:41-02","PUCRS","MPUC","12274","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Smallanthus","riograndensis","Smallanthus riograndensis","Mondin",NA,"ISOTYPUS","A. Iob",NA,"2002","04","27","Brasil","RS","São Francisco de Paula","Tainhas, Serra do Pinto","-50.5755556","-29.4205556",NA,"Na beira da estrada",NA,NA,NA,"2004","01","01","2653","South America","-50.5755556000","-29.4205556000","1"
"5","2020-05-14 15:49:51-03","FUVATES","HVAT","5833","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Smallanthus","riograndensis","Smallanthus riograndensis","Mondin","F. Bruxel",NA,"L.J. de Vargas",NA,"2019","03","14","Brasil","Rio Grande do Sul","Forquetinha","Zona Urbana. Mata ciliar do arroio Forquetinha.","-52.096944","-29.376111",NA,"Arbusto","HVAT00005833",NA,NA,"2019","10","30",NA,NA,"52º5'49''W","29º22'34''S",NA
"6","2021-02-08 12:37:04-03","UFRGS","ICN","137591","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Smallanthus","riograndensis","Smallanthus riograndensis","Mondin",NA,"Paratypus","Mondin, CA","2922","2003","01","31","Brasil","RS","São Francisco de Paula","Tainhas Aratinga a 8 km da vila em direção à Terra de Areia","-50.5835990905762","-29.4480991363525","76715","Doação do Herbário HASU; Erva com até 3 m de altura. Capítulos amarelo-claros.; Em local úmido.","ICN00000402","ICN00000402 ICN00000402_1","auto",NA,NA,NA,NA,"América do Sul",NA,NA,NA
"7","2021-02-08 12:37:04-03","UFRGS","ICN","137590","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Smallanthus","riograndensis","Smallanthus riograndensis","Mondin",NA,"Holotypus","Mondin, CA; Iob, A","2653","2002","04","27","Brasil","RS","São Francisco de Paula","Tainhas Serra do Pinto","-50.5835990905762","-29.4480991363525","76715","Doação do Herbário HASU; Erva com cerca de 1,5 m de altura. Capítulos amarelos.; Na beira da estrada.","ICN00000095","ICN00000095 ICN00000095_1","auto",NA,NA,NA,NA,"América do Sul",NA,NA,NA
"8","2021-02-08 12:37:04-03","UFRGS","ICN","137590a","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Smallanthus","riograndensis","Smallanthus riograndensis","Mondin",NA,"Isotypus","Mondin, C; Iob, A","2653","2002","04","27","Brasil","MG","São Francisco de Paula","Tainhas, Serra do Pinto","-44.9852981567383","-20.7099990844727","15684","doação herbário HASU.; erva com ca. 1,5 metros de altura. Capítulos amarelos; na beira da estrada","ICN00000094","ICN00000094","auto",NA,NA,NA,NA,"América do Sul",NA,NA,NA
"9","2021-02-08 12:37:04-03","UFRGS","ICN","137589","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Smallanthus","riograndensis","Smallanthus riograndensis","Mondin",NA,"Paratypus","Mondin, CA; Iob, A","2654","2002","04","27","Brasil","RS","São Francisco de Paula","Tainhas Serra do Pinto","-50.5835990905762","-29.4480991363525","76715","Doação do Herbário HASU; Erva com cerca de 1m de altura. Capítulos amarelos.; Em local sombreado e úmido, na beira da estrada.","ICN00000096","ICN00000096 ICN00000096_1","auto",NA,NA,NA,NA,"América do Sul",NA,NA,NA
"10","2019-10-04 16:06:44-03","MCN-FZBRS","HAS","93145","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Asteraceae","Smallanthus","riograndensis","Smallanthus riograndensis","Mondin",NA,"Isoparatypus","Mondin, C.","2922","2003","01",NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","Tainhas, Aratinga, a 8Km da vila, em direção à Terra de Areia","-50.5835990905762","-29.4480991363525","76715","Erva com até 3 metros de altura, em local úmido. Capítulos amarelo-claros. HASU 15203","HAS0093145","HAS0093145","auto",NA,NA,NA,NA,NA,NA,NA,NA
