"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","typeStatus","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1144737","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Staelia","hatschbachii","Staelia hatschbachii","J.H.Kirkbr.","D. C. Zappi","CFCR12858","1990","06","13","South America","Brazil","Minas Gerais","Grão Mogol","Grao-Mogol: Vale do Córrego Escurona.","-42.97","-16.6","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298545' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144737","NY01144737_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1034080","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Staelia","hatschbachii","Staelia hatschbachii","J.H.Kirkbr.","H. S. Irwin","23381","1969","02","16","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 8 km west of Grão Mogol","-42.8944","-16.56475","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230115' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034080","NY01034080_01","J. H. Kirkbride Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:48:22-03","EAO","IAN","131078","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Staelia","hatschbachii","Staelia hatschbachii","J.H.Kirkbr.","Irwin, HS; Santos, RR dos; Souza, R; Fonsêca, SF da","23381","1969","02","16","Southern America","Brasil","Minas Gerais",NA,"Cerrado, interpersed with wet rocky campo, ca.8km West of Grao Mogol. Elev. 950m",NA,NA,"950","950",NA,NA,"IAN131078",NA,"Kirkbride Jr, JH","1984","isoparatipo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:40:21-03","UNICAMP","UEC","207000","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Staelia","hatschbachii","Staelia hatschbachii","J.H.Kirkbr.","Carmo, JAM; Scatigna, AV","449","2016","01","23",NA,"Brazil","Minas Gerais","Botumirim","Areal próximo a talhão de eucalipto","-42.8875","-16.9",NA,NA,NA,"Subarbusto, ca. 15 cm, corola, estames e estilete brancos; Areal","UEC181365","UEC181365",NA,NA,NA,"-42.8875","-16.9",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:40:21-03","UNICAMP","UEC","207038","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Staelia","hatschbachii","Staelia hatschbachii","J.H.Kirkbr.","Carmo, JAM; Scatigna, AV","447","2016","01","23",NA,"Brazil","Minas Gerais","Botumirim","Areal próximo a talhão de eucalipto","-42.8875","-16.9",NA,NA,NA,"Subarbusto rasteiro, corola, estames e estilete brancos; Areal","UEC181359","UEC181359",NA,NA,NA,"-42.8875","-16.9",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:40:21-03","UNICAMP","UEC","207039","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Staelia","hatschbachii","Staelia hatschbachii","J.H.Kirkbr.","Carmo, JAM; Scatigna, AV","424","2016","01","21",NA,"Brazil","Minas Gerais","Cristália",NA,"-42.902222","-16.595833",NA,NA,NA,"Subarbusto rasteiro, corola, estames e estilete brancos; Solo arenoso, próximo a afloramento rochoso","UEC181360","UEC181360",NA,NA,NA,"-42.902222","-16.595833",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:40:21-03","UNICAMP","UEC","45990","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Staelia","hatschbachii","Staelia hatschbachii","J.H.Kirkbr.","Semir, J; et al.","s.n.","1986","02","26",NA,"Brazil","Minas Gerais","Grão Mogol","vale do rio itacambiruçu, entre fazenda jambeiro e estrada para cristália","-42.913056","-16.556278",NA,NA,NA,"planta em solo arenoso. flores brancas","UEC112502","UEC112502","Carmo, JAM","2016",NA,"-42.913056","-16.556278","07",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:40:21-03","UNICAMP","UEC","207033","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Staelia","hatschbachii","Staelia hatschbachii","J.H.Kirkbr.","Carmo, JAM; Scatigna, AV","302","2015","01","17",NA,"Brazil","Minas Gerais","Grão Mogol","Areal antes da ponte de acesso à cidade","-43.894167","-16.591944",NA,NA,NA,"Subarbusto rasteiro, corola, estames e estilete brancos; Areal","UEC181354","UEC181354","Carmo, JAM","2015",NA,"-43.894167","-16.591944","01","17",NA,NA,NA,NA,NA
"9","2020-12-21 16:44:04-03","MBM","MBM","416208","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Staelia","hatschbachii","Staelia hatschbachii","J.H. Kirkbr.","Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","5852","2018","11","14","Southern America","Brazil","Minas Gerais","Cristália","Rio Itacambiruçu","-42.906389","-16.601111","678","678",NA,"Erva com 10 cm de altura; flor branca. Crescendo sobre a areia, próximo a córrego.; Campo rupestre com elementos de Caatinga.","MBM416208",NA,"Brotto, M.L.","2018",NA,"-42.906389","-16.601111","12","19",NA,NA,NA,NA,NA
"10","2020-12-21 16:44:04-03","MBM","MBM","390193","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Staelia","hatschbachii","Staelia hatschbachii","J.H. Kirkbr.","Mota, N.F.O.; Fraga, C.M.; Fraga, C.M.","2276","2011","07","05","Southern America","Brazil","Minas Gerais","Grão Mogol","Jambreiro, Margem direita da BR-251","-42.8897018432617","-16.5594005584717","687","687",NA,"Syb-arbusto, parte coberta por areia fina de quartzo. Cálice verde e corola branca.; Área de extração de quartzito.","MBM390193","MBM390193","Salas","2012",NA,NA,NA,NA,NA,"67219","auto",NA,NA,NA
