"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","stateProvince","coordinatePrecision","geoFlag","class","typeStatus","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:25:30-03","UNESC","CRI","9590","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","A. A. de Oliveira","2011","01","17","A. Korte; A. Kniess","4627","2010","10","20","Brasil","Brasil","Rio da Nova Descoberta.","-48.780833","-27.81","48º46'51''W","27º48'36''S","558","558","Floresta Ombrófila Densa","CRI004171","CRI004171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","83564","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata",NA,NA,NA,NA,NA,"Silva, J.M. & Cordeiro, J.","1498","1995","10","15","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083564 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083564",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:92515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:32-03","E","E","283810","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata",NA,NA,NA,NA,NA,"Ribas, O.S., Silva, J.M., Barbosa, E.","949","1996","01","10","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00283810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283810",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:295414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","520603","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"R. Reitz","10717","1961","01","24","Brazil","Sao José","Serra da Boa Vista","-48.6272","-27.6156",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520603","NY00520603_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02098957","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","M. Reginato",NA,NA,NA,"F. Almeda","9768","2009","03","10","Brazil","Teresópolis","Parque Nacional da Serra dos Orgãos. Trail to Pedra do Sino.","-43.01992","-22.45278",NA,NA,"1626","2000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500291' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098957","NY02098957_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","520608","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"F. R. Fosberg","43354","1962","10","28","Brazil","Ribeirao Pires","Serra do Moji,0.5 to 1 km west of Paranapiacaba, above Santos, Alto da Serra","-46.4097","-23.71",NA,NA,"760","840","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520608","NY00520608_01","South America","sheet",NA,"Magnoliophyta","Myrtales","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","520613","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"O. dos S. Ribas","435","1992","01","10","Brazil","Campo Alegre","Rodeio Grande, subida para Serra do Quiri","-49.2656","-26.1925",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520613","NY00520613_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02680512","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.",NA,NA,NA,NA,"E. P. Fernandez","25","2013","09","03","Brazil","Piquete","Pico dos Marins-APA Serra da Mantiqueira. Trilha de acesso ao cume do Pico dos Marins, entre os municípios de Piquete e Marmelópolis (MG).","-45.14","-22.5019",NA,NA,"1900","2100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2947876' target='other'> <mi>dwc_moreinfo</mi></a>","NY02680512","NY02680512_01","South America","sheet",NA,"Magnoliophyta","Myrtales","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","520609","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","17855","1967","11","15","Brazil","Campina Grande do Sul","Pico Caratuva","-48.829656","-25.241299",NA,NA,"1700","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520609","NY00520609_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","520600","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"R. Reitz","5383","1953","02","02","Brazil","Sao José","Serra da Boa Vista, S. José","-48.6272","-27.6156",NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520600","NY00520600_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1281728","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.","T. Rolim",NA,NA,NA,"T. Rolim","397","2011","02","03","Brazil",NA,"Parque Estadual do Itacolomi-PEI, base do Itacolomi (CGA).",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1741415' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281728","NY01281728_01","South America","sheet",NA,"Magnoliophyta","Myrtales","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","03287742","PreservedSpecimen","Plantae","Melastomataceae","Leandra","quinquedentata","Leandra quinquedentata","(DC.) Cogn.",NA,NA,NA,NA,"M. Reginato","1516","2016","01","16","Brazil","Quatro Barras","Caminho do Itupava, antes da entrada do Pão de Loth","-25.404778","-49.009758",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581179' target='other'> <mi>dwc_moreinfo</mi></a>","NY03287742",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","Paraná",NA,NA,NA,NA,NA,NA,NA,NA
