"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:18-03","E","E","296670","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora","isotype","Martius","208","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:313896","<a href=http://data.rbge.org.uk/herb/E00296670 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:18-03","E","E","102313","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110622","<a href=http://data.rbge.org.uk/herb/E00102313 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102313","1998","08","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:18-03","E","E","161354","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"J.H.Kirkbride","4548","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169027","<a href=http://data.rbge.org.uk/herb/E00161354 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161354","1981","10","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:18-03","E","E","187578","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"Harley, R.M.",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:195342","<a href=http://data.rbge.org.uk/herb/E00187578 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00187578","1992","01","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:18-03","E","E","100018","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109507","<a href=http://data.rbge.org.uk/herb/E00100018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100018","1999","08","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1039222","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"G. Martinelli","16393","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482452' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039222","2009","04","13","Magnoliophyta","Malpighiales","Cambess.","R. Marquete","Goiás","Cavalcante","Parque Nacional da Chapada dos Veadeiros. RPPN Vale das Araras.","-47.4506","-13.8164","1151","NY01039222_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2150002","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"M. G. da Silva","2721","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304450' target='other'> <mi>dwc_moreinfo</mi></a>","NY02150002","1976","08","30","Magnoliophyta","Malpighiales","Cambess.",NA,"Pará","Itupiranga","Transamazônica, R. Tocantins, mata de castanhal.","-49.3267","-5.13472",NA,"NY02150002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2149957","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"W. A. Archer","7574","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304397' target='other'> <mi>dwc_moreinfo</mi></a>","NY02149957","1942","08","14","Magnoliophyta","Malpighiales","Cambess.",NA,"Pará","Belém","Road in front of I.A.N.","-48.4447503","-1.4380977",NA,"NY02149957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00897168","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"E. P. Heringer","2252","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897168","1979","10","09","Magnoliophyta","Malpighiales","Cambess.",NA,"Goiás","Alto Paraíso de Goiás",NA,"-47.5097","-14.1325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00897159","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"H. S. Irwin","9251","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897159","1965","10","16","Magnoliophyta","Malpighiales","Cambess.","H. O. Sleumer","Distrito Federal","Brasília","Ca. 5 km N. of Planaltina, on road to São Gabriela","-47.6667","-15.57151","1200","NY00897159_01","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00897078","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"G. Gardner","1524","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2561383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897078","1838","08",NA,"Magnoliophyta","Malpighiales","Cambess.",NA,"Ceará",NA,"Brasil. trop. Prov. Ceara.",NA,NA,NA,"NY00897078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","03044774","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"A. M. Miranda","3411","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3281610' target='other'> <mi>dwc_moreinfo</mi></a>","NY03044774","1999","05","24","Magnoliophyta","Malpighiales","Cambess.",NA,"Ceará","Crato","Floresta Nacional do Araripe.","-39.4092","-7.2344",NA,"NY03044774_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00897173","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"J. R. Pirani","1597","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897173","1987","02","04","Magnoliophyta","Malpighiales","Cambess.","S. T. Zmarzty","Goiás","Cristalina","Serra dos Cristais. Ca. 8 km da cidade, estrada para Paracatu.","-47.62","-16.77","1050","NY00897173_01","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00897212","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"G. Eiten","10702","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897212","1970","02","18","Magnoliophyta","Malpighiales","Cambess.","H. O. Sleumer","Maranhão","Loreto","Ilha de Balsas region between the Balsas & Parnaíba Rivers. 5 km. NW of community of Santa Bárbara. A few km. N of the Parnaíba River. Base of the canyon, Vão do Mundé.","-45.08","-7.47","300","NY00897212_01","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01411343","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"D. C. Daly","903","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1648900' target='other'> <mi>dwc_moreinfo</mi></a>","NY01411343","1980","11","13","Magnoliophyta","Malpighiales","Cambess.","J. W. Grimes","Pará",NA,"Partly burned-over campo. Estrada de São Caetano, 5 km NEof Vigia","-48.066667","-0.85",NA,"NY01411343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","2149993","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"P. A. C. L. Assunção","86","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304441' target='other'> <mi>dwc_moreinfo</mi></a>","NY02149993","1994","11","21","Magnoliophyta","Malpighiales","Cambess.",NA,"Amazonas",NA,"Estrada que dá acesso a Reserva Ducke.",NA,NA,NA,"NY02149993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2150015","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"B. V. Rabelo","2567","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304468' target='other'> <mi>dwc_moreinfo</mi></a>","NY02150015","1984","02","29","Magnoliophyta","Malpighiales","Cambess.",NA,"Amapá","Macapá","BR 156 km 103","-51.0664","-0.3669",NA,"NY02150015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","375246","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"R. Goodland","379","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375246","1966","05","19","Magnoliophyta","Malpighiales","Cambess.","H. O. Sleumer","São Paulo","Sao Simao","280 km N of Sao Paulo on Ribeirao Preto road, E side. Sao Simao","-47.5497","-21.47",NA,"NY00375246_01 NY00375246_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00897077","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"E. P. Heringer","5603","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897077","1980","11","03","Magnoliophyta","Malpighiales","Cambess.","E. P. Heringer","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9294","-15.7797",NA,"NY00897077_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00897068","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"H. S. Irwin","26340","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897068","1970","02","08","Magnoliophyta","Malpighiales","Cambess.","H. O. Sleumer","Minas Gerais","Paracatú","Serra da Tiririca, ca. 35 km N.W. of Paracatú","-47.1541","-17.05385","1000","NY00897068_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00897067","PreservedSpecimen","Plantae","Salicaceae","Casearia","grandiflora","Casearia grandiflora",NA,"H. S. Irwin","14153","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897067","1966","03","21","Magnoliophyta","Malpighiales","Cambess.","H. O. Sleumer","Distrito Federal","Brasília","Parque Municipal do Gama","-48.05","-16.03","1000","NY00897067_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
