"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus","relatedCatalogItem"
"1","2020-09-23 10:39:55-03","E","E","82987","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Hatschbach, G. & Barbosa, E.","59751","1993","11","29","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91405","<a href=http://data.rbge.org.uk/herb/E00082987 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","445943","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","A. F. M. Glaziou","18178","1891",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445943","Magnoliophyta","Malpighiales","(Casar.) Cuatrec.","Rio de Janeiro","NY00445943_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","445944","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","G. G. Hatschbach","59751","1993","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445944","Magnoliophyta","Malpighiales","(Casar.) Cuatrec.","Paraná","NY00445944_01","G. G. Hatschbach","Paranaguá","Pontal do Sul, 5-6 km Sudoeste","-48.4038","-25.6102579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-20 14:40:31-03","UPM","MACK","2374","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","R. P. S. Peña","113","2005","04","23",NA,"Brasil",NA,NA,NA,NA,NA,NA,"(Casar.) Cuatrec.","SP",NA,"R. J. F. Garcia","Itanhaém","Bairro Anchieta","-46.7799987792969","-24.1800003051758","2012","01","02","26998","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:25:17-03","PUCPR","HUCP","23038","S","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Bonaldi, R","592","2012","11","26",NA,"Brasil",NA,NA,NA,"HUCP00012153","Eudicotiledonea",NA,"(Casar.) Cuatrec.","Paraná","HUCP00012153","Bonaldi, R","Pontal do Paraná",NA,"-48.511100769043","-25.6735992431641",NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:17:36-03","UFBA","ALCB","032481","PreservedSpecimen","Plantae","Humiriaceae","Humiriastrum","dentatum","Humiriastrum dentatum","Hatschbach, G; Barbosa, E","59751","1993","11","29","Southern America","Brasil",NA,NA,"10,0m, flor creme.","ALCB042882","Dicotyledon",NA,"(Casar.) Cuatrec.","Paraná","ALCB042882","Hatschbach, G","Paranaguá","Pontal do Sul, 5,0-6,0km sudoeste","-48.5092010498047","-25.5200004577637","1994",NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:54:11-03","NBC","NL-BOTANY","L.1162531","PreservedSpecimen","Plantae","Humiriaceae","Sacoglottis","dentata","Sacoglottis dentata","Düsen P",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1162531 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1162531",NA,"Malpighiales","Urb.",NA,"NL-L1162531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:54:11-03","NBC","NL-BOTANY","L.2120726","PreservedSpecimen","Plantae","Humiriaceae","Sacoglottis","dentata","Sacoglottis dentata","Düsen P",NA,"1904","11","01","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2120726 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2120726",NA,"Malpighiales","Urb.",NA,"NL-L2120726",NA,NA,"Brésil: Pagi Rio de Janeiro - Manis.",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:54:11-03","NBC","NL-BOTANY","L.1162531","PreservedSpecimen","Plantae","Humiriaceae","Sacoglottis","dentata","Sacoglottis dentata","Düsen P",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1162531 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1162531",NA,"Malpighiales","Urb.",NA,"NL-L1162531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:54:11-03","NBC","NL-BOTANY","L.2120726","PreservedSpecimen","Plantae","Humiriaceae","Sacoglottis","dentata","Sacoglottis dentata","Düsen P",NA,"1904","11","01","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2120726 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2120726",NA,"Malpighiales","Urb.",NA,"NL-L2120726",NA,NA,"Brésil: Pagi Rio de Janeiro - Manis.",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
