"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","continentOcean","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","order","imagecode"
"1","2020-11-13 09:20:27-03","UFRJ","RFA","38291","PreservedSpecimen","Plantae","Orchidaceae","Baptistonia","truncata","Baptistonia truncata","(Pabst) Chiron & V.P.Castro","M. S. Wängler, F.F.A.V. Barberena","2012","03","30","M. S. Wängler; A. M. Paiva; V. S. Ferreira","979","2011","11","25","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Estrada da Água Fria. Corina.","-43.378333","-22.447778","43º22'42''W","22º26'52''S","Erva epífita, raízes brancas, finas; pseudobulbo alongado, verde escuro; duas folhas apicais, verde escuras; inflorescência basal,ca.10 flores; sépalas e pétalas brancas com listras marrons perpendiculares ao comprimento, labelo branco.","RFA38854",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:09-03","MN","R","221889","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","truncatum","Oncidium truncatum","Pabst","Menini Neto, L.","2004","01",NA,"Menini Neto, L.; Ferreira, F.M.","95","2003","12","21","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Universidade Federal de Juiz de Fora/Herbário CESJ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:40:57-03","UFJF","CESJ","71720","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","truncatum","Oncidium truncatum","Pabst","L. Menini Neto","2017","08","30","D.E.F. Barbosa; S.G. Furtado; L.V.V. Cruz; L.C. Pereira; L. Menini Neto","486","2017","08","30","Brasil","Minas Gerais","Alto Caparaó","Serra do Caparaó, Floresta semidecidual montana","-42.408611","-20.708611","-42.408611","-20.708611","Epífita entre 40cm e 3m. Frutos imaturos verdes.","CESJ071720","Angiosperma","América do Sul","1400","1400",NA,NA,NA,NA
"4","2019-11-21 14:40:57-03","UFJF","CESJ","67774","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","truncatum","Oncidium truncatum","Pabst","L. Menini Neto","2013",NA,NA,"D.E.F. Barbosa; G.A. Basilio","159","2013","12","08","Brasil","Minas Gerais","Lima Duarte","Conceição de Ibitipoca, Fazenda do Tanque, Floresta semidecidual montana","-43.913333","-21.698611","-43.913333","-21.698611","Epífita entre 2m e 4m. Flores com sépalas e pétalas brancas maculadas de castanho. Labelo branco com base amarela e castanho. Interior de mata.","CESJ067774","Angiosperma","América do Sul","1300","1300",NA,NA,NA,NA
"5","2020-07-02 18:55:45-03","UFJF","CESJ","48965","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","truncatum","Oncidium truncatum","Pabst","L. Menini Neto",NA,NA,NA,"L. Menini Neto; N.L. Abreu; F.S. Souza; C.N. Matozinhos","245","2006","07","27","Brasil","Minas Gerais","Rio Preto","Serra Negra, Afloramento antes da Cachoeira do Ninho da Égua.","-43.8278007507324","-22.0891990661621",NA,NA,"Erva epífita, em manchas de vegetação arbustiva, no afloramento rochoso. Pseudobulbo e folhas verde-escuros, pedúnculo vináceo, sépalas creme, com amplas máculas castanho-claras, pétalas creme com máculas transversais castanho-claras, labelo creme pintal","CESJ048965","Angiosperma","América do Sul",NA,NA,"20815","auto",NA,NA
"6","2021-03-01 16:20:10-03","UNICAMP","UEC","185815","S","Plantae","Orchidaceae","Gomesa","cuneata","Gomesa cuneata","(Scheidw.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2015",NA,NA,"Singer, RB","s.n.","1998","12",NA,"Brazil","Minas Gerais","Carrancas","Mata Triste.","-44.6425018310547","-21.4874992370605",NA,NA,"Cultivada na casa de vegetação da Unicamp.","UEC111000","Liliopsida",NA,NA,NA,"21143","auto",NA,NA
"7","2020-10-01 14:26:00-03","JBB","HEPH","22467","S","Plantae","Orchidaceae","Gomesa","truncata","Gomesa truncata","(Pabst) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2014",NA,NA,"Salles, AEH; et al.","4023","2004","11",NA,"Brasil","Minas Gerais","Araponga","Zona da Mata","-42.5208015441895","-20.6667003631592",NA,NA,"Cultivada no banco de germoplasma do Jardim Botânico de Brasília ORQ-2621",NA,"Monocotyledon","Southern America",NA,NA,"16385","auto","Asparagales",NA
"8","2020-12-11 11:44:47-03","UFMG","BHCB","120101","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","truncatum","Oncidium truncatum","Pabst",NA,"2014","04","29","Batista, JAN; Martins, CAN; Carvalho, BM de; Barbosa, AR","2420","2008","01","16","Brasil","Minas Gerais","Carrancas","Região da Pedreira do Guilherme.","-44.603278","-21.507333","-44.603278","-21.507333","Erva epífita; Em interior de mata seca associada a afloramento rochoso","BHCB001012","Monocotyledon","Southern America","1181","1181",NA,NA,NA,"BHCB001012"
"9","2019-11-13 16:04:59-03","UNISANTA","HUSC","11477","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","cuneata","Gomesa cuneata","(Scheidw.) M.W.Chase & N.H.Williams","Jader Caetano","2015",NA,NA,"Andrade, V.","s.n.","2015",NA,NA,"Brasil","Minas Gerais","São Thomé das Letras",NA,"-44.9852981567383","-21.7222003936768",NA,NA,"fotografada",NA,"Magnoliophyta",NA,NA,NA,"16076","auto",NA,NA
"10","2017-09-11 17:12:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Oncidium","cuneatum","Oncidium cuneatum","Scheidw.",NA,NA,NA,NA,"Pinel, N","s.n.",NA,NA,NA,"Brazil",NA,NA,"Habitat in arbobus ad cacumina Serra de Morro queimado",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
