"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","791283","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","D. J. N. Hind","D. J. N. Hind","H51335","1992","01","30","South America","Brazil","Bahia","Abaíra","Catolés de Cima. Perto de Catolés de Cima, abaixo cruz. Rio Agua Limpa","-41.88","-13.27","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791283","NY00791283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","791282","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","D. J. N. Hind","D. J. N. Hind","H50292","1991","12","23","South America","Brazil","Bahia","Abaíra","Subida da Forquilha da Serra","-41.88","-13.28","1400","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791282","NY00791282_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885543","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","J. B. A. Bringel","R. M. Harley","19904","1977","03","24","South America","Brazil","Bahia",NA,"Ca. 1 km S of small town of Mato Grosso on the road to Vila do Rio de Contas.","-41.82","-13.48","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885543","NY00885543_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","791281","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","D. J. N. Hind","R. M. Harley","H50387","1991","12","26","South America","Brazil","Bahia","Piata","Quebrada da Serra do Atalho","-41.83","-13.22","1600","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=268887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791281","NY00791281_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","885542","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","D. J. N. Hind","R. M. Harley","26502","1988","11","20","South America","Brazil","Bahia",NA,"Agua Quente. Pico das Almas. Vertente Norte. Vale ao noreste do Pico.","-41.98","-13.5","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885542","NY00885542_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","885544","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","J. B. A. Bringel","R. M. Harley","19936","1977","03","24","South America","Brazil","Bahia",NA,"Ca. 1 km S of small town of Mato Grosso on the road to Vila do Rio de Contas.","-41.82","-13.48","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885544","NY00885544_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00885545","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.",NA,"S. Atkins","CFCR14765","1994","03","03","South America","Brazil","Bahia","Rio de Contas","Pico das Almas. Ao longo da estrada, a ca. 2-3 km da Fazenda Morro Redondo, em direção à cidade.","-41.8114","-13.5792",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3182233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885545","NY00885545_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:21-03","UFBA","ALCB","92111","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","Alves, M","Abreu, IS","63","2009","09","24","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Estrada de Arapiranga para o rio da água suja","-42.353889","-13.974722","997","997",NA,"ca, 1,10 m, folhas discolores. Brácteas involucrais verdes, flores do raio amarelas, flores do disco amarelas.",NA,NA,"2015","02","-42.353889","-13.974722",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:10:21-03","UFBA","ALCB","127775","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","Alves, M","Roque, N; Alunos de Sistemática Evolução de Espermatófitas","4934","2017","03","11","Southern America","Brasil","Bahia","Piatã","Limite Norte da Serra do Tromba","-41.824167","-14.2","1350","1350",NA,"ca. 60 cm alt. Folhas discolores. Brácteas involucrais verdes, corola amarela.; Campo rupestre","ALCB044995","ALCB044995","2017","06","-41.824167","-14.2",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:10:21-03","UFBA","ALCB","93067","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","Alves, M","Guedes, ML; Gomes, FS; Guaré, F; Silveira, ER; et al.","16893","2009","12","18","Southern America","Brasil","Bahia","Catolés","Chapada Diamantina, 4,5km da estrada de Piatã para Catolês","-41.743611","-13.283611","978","978",NA,"com ramos tomentosos. Folhas cartáceas, discolores, tomentosas, levemente ásperas. Capítulos heteromorfos, flores amarelas.",NA,NA,"2015","02","-41.743611","-13.283611",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:10:21-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","Hind, DJN","Harley, RM; Stannard, B; Hind, DJN","PCD26502","1988","11","30","Southern America","Brasil","Bahia","Água Quente","Chapada Diamantina, Pico das Almas. Vertente norte. Vale ao noroeste do Pico","-41.983333","-13.5","1400","1400",NA,"até 1, 7 m de altura. Folhas discolores, verde-escuro na face adaxial, verde-claro na abaxial. Brácteas involucrais verdes, as mais externas discolores, as internas verdes com margens acastanhadas. Capítulos 3,5 - 4 cm de diâmetro. Flores do raio 11-",NA,NA,"1989","05","-41.983333","-13.5",NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:10:21-03","UFBA","ALCB","033872","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","Alves, M","Guedes, ML; Stannard, B; Harley, RM; Atkins, S; Saar, E; Passos Júnior, LA","PCD5047","1997","02","04","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Fazenda Fiuza","-41.873333","-13.459167","1130","1130",NA,"1,0 m. Folhas discolores, face adaxial verde, abaxial acinzentada. Brácteas involucrais verde-amarelado; flores do raio com corola amarelo-alaranjada; do disco laranja-escuro; anteras pretas, estigma marrom. Frequente.; Solo argiloso com seixos.",NA,NA,"2015","02","-41.873333","-13.459167",NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:10:21-03","UFBA","ALCB","104730","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","Alves, M","Ogasawara, HA; Baleeiro-Souza, PC; Ciqueira, GB; Watanabe, MTC","193","2012","02","26","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Distrito de Catolés, subida p/ Serra do Barbado","-41.890556","-13.285556","1249","1249",NA,"c. 70 cm alt. Folhas discolores; brácteas involucrais verde claros de ápice verde escuro; corola e estiletes amarelos; anteras negras.",NA,NA,"2012","09","-41.890556","-13.285556",NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:10:21-03","UFBA","ALCB","114681","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","Moura, L","Guedes, ML; Alunos de Botânica BIOC05","21945","2014","06","14","Southern America","Brasil","Bahia","Piatã","Caminho para Inúbia.","-42.002222","-13.106667","1162","1162",NA,"Folhas cartáceas, concolores. Inflorescência capítulos com flores do raio e disco amarelo-ouro.",NA,NA,"2014","06","-42.002222","-13.106667",NA,NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:10:21-03","UFBA","ALCB","122656","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","episcopale","Dimerostemma episcopale","(H.Rob.) H.Rob.","Alves, M","Gandara, A; Amorim, VO","87","2015","07","01","Southern America","Brasil","Bahia","Abaíra","Distrito de Catolés. Subida para o Pico do Barbado. Início da trilha.","-41.891667","-13.291944","1416","1416",NA,"ca. 1,5m. Folhas discolores, coriáceas. Brácteas involucrais verdes. Flores do raio com corola amarela. Flores do disco com corola amarela e antera negra.","ALCB009451","ALCB009451","2015","08","-41.891667","-13.291944",NA,NA,NA,NA,NA,NA,NA
