"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","identifiedBy","recordNumber","year","month","day","continentOcean","locality","preparationType","barcode","imagecode","yearIdentified","monthIdentified","typeStatus","dayIdentified","fieldNumber","individualCount"
"1","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","854","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl.","Eduardo G. Gonçalves;","Brasil","Mato Grosso","Pontes e Lacerda","-59.3353004455566","-15.2260999679565","59º06'26","15º26'15","110136","487","487","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","498116","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Engl.","J. C. de Moraes Vasconcelos","Brazil","Paraíba","Areia","-35.716443","-6.970951",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210873' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"G. S. Bunting","1161","1954","07","27","South America","Escola de Agronomia do Nordeste","sheet","NY00498116","NY00498116_01",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","498117","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Engl.","J. C. de Moraes Vasconcelos","Brazil","Paraíba","Areia","-35.716443","-6.970951",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210874' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"G. S. Bunting","1161","1954","07","27","South America","Escola de Agronomia do Nordeste","sheet","NY00498117","NY00498117_01",NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:51:22-03","EAO","IAN","89026","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Engl.","sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,"IAN089026",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:51:22-03","EAO","IAN","82345","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Engl.","Fróes, RL","Brasil","Maranhão",NA,NA,NA,NA,NA,NA,NA,NA,"Planta herbacea.",NA,"Barroso, GM","30716","1954","04","10","Southern America","Alcantara. Barranco à beira do mar.",NA,"IAN082345",NA,"1957",NA,NA,NA,NA,NA
"6","2021-03-30 12:51:22-03","EAO","IAN","84485","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Engl.","Moraes, JC de","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rub-arbustiva.",NA,"Barroso, GM","1161","1954","07","27","Southern America","Lugares altos e secos, terrenos incultos. Escola de Agronomia do Nordeste, Areia, pb.",NA,"IAN084485",NA,"1957","04",NA,NA,NA,NA
"7","2021-03-30 12:51:22-03","EAO","IAN","88523","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Engl.","Schott, HW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,"IAN088523",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:51:22-03","EAO","IAN","85990","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","(Schott) Engl.","Black, GA","Brasil","Bahia","Barreiras","-44.9900016784668","-12.1527996063232",NA,NA,"152720",NA,NA,"Terrestre. Espata branca.","auto","Barroso, GM","17682","1954","12","23","Southern America","Estrada de São Desidério. Em mata seca.",NA,"IAN085990",NA,"1957",NA,NA,NA,NA,NA
"9","2020-02-08 08:43:19-03","NBC","NL-BOTANY","L 0360090","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Alismatales","Araceae","Xanthosoma","platylobum","Xanthosoma platylobum","Schott","Unknown","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200360090 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Schott HW",NA,NA,NA,NA,"Southern America",NA,NA,"NL-L0360090","NL-L0360090",NA,NA,"holotype",NA,NA,NA
"10","2015-07-02 14:00:34-03","JBP","HPL","1015","S","Plantae",NA,NA,NA,"Araceae","Xanthosoma","pentaphyllum","Xanthosoma pentaphyllum","Engl","H. Lorenzi","Brasil","CE","Ipu","-40.7108","-4.32222",NA,NA,"29540",NA,NA,NA,"auto","H. Lorenzi","2691","2001","04","06",NA,"Curva do Boqueirão, na subida da serra de Ibiapaba.",NA,NA,NA,"2001","04",NA,"06",NA,NA
