"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","imagecode","recordNumber","continentOcean","fieldNumber","preparationType","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-08-27 13:26:31-03","IAP","PACA-AGP","38619","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Orchidales","Orchidaceae","Bipinnula","canisii","Bipinnula canisii","Dutra","G. Pabst","Rambo, B.","1948","11","22","Brasil","RS","Porto Alegre","Morro da Polícia","-51.2299995422363","-30.0331001281738","29946","SEM MATERIAL Habitat: In ruprestribus humidis graminosis Fenofase: flor","PACA038619","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-17 09:17:18-03","IAP","PACA-AGP","43342","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Orchidales","Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","Buzatto, C.R.","Rambo, B.","1949","09","09","Brasil","RS","Porto Alegre","Morro da Polícia","-51.2299995422363","-30.0331001281738","29946","TOPOTIPO de Bipinnula canisii Dutra Habitat: in rupestribus humidis graminosis Fenofase: flor","PACA043342","auto","2013","03","07","Topotipo","PACA043342",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-17 09:17:18-03","IAP","PACA-AGP","37555","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Orchidales","Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","C.R. Buzatto","Rambo, B.","1948","08","21","Brasil","RS","Porto Alegre","Morro da Polícia","-51.2299995422363","-30.0331001281738","29946","PARATIPO de Bipinnula canisii Dutra Habitat: in rupestribus humidis graminosis Fenofase: flor","PACA037555","auto","2013","03","07","Paratipo","PACA037555",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-17 09:17:18-03","IAP","PACA-AGP","675","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Orchidales","Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","Buzatto, C.R.","Rambo, B.","1933","09","12","Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738","29946","PARATYPUS de Bipinnula canisii Dutra Habitat: in humidis graminosis Fenofase: flor","PACA000675","auto","2013","03","07","Paratipo","PACA000675",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:40:39-03","UFJF","CESJ","64968","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","C.R. Buzatto","C.R. Buzatto; A. Sanguinetti","2013","09","23","Brasil","Rio Grande do Sul","Bagé",NA,"-54.1068992614746","-31.3313999176025","74087",NA,"CESJ064968","auto","2013","09","23",NA,NA,"911","América do Sul",NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:40:39-03","UFJF","CESJ","64967","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","C.R. Buzatto","F. Torchelsen","2013","09","27","Brasil","Rio Grande do Sul","Pinheiro Machado",NA,"-53.3810997009277","-31.5783004760742","70026",NA,"CESJ064967","auto","2013","09","30",NA,NA,"s.n.","América do Sul",NA,NA,NA,NA,NA,NA
"7","2019-11-25 12:12:22-03","UFSM","SMDB","10134","S","Plantae",NA,NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","Portalet, A.A.","Deble, LP; Oliveira, AS","2006","09","05","Brasil","Rio Grande do Sul","Bagé","BR 153, Km 506","-54.1068992614746","-31.3313999176025","74087",NA,"SMDB010134","auto","2016","06","16",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 07:30:01-03","MNHN","RECOLNAT_MNHN_P","P00372253","PreservedSpecimen",NA,NA,NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.",NA,"Saint-Hilaire, A. de",NA,NA,NA,"Uruguay",NA,NA,"Banda oriental del Uruguay",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372253' target='other'> <mi>dwc_moreinfo</mi></a>","P00372253",NA,NA,NA,NA,NA,"P00372253_01",NA,NA,"C2 2037","hb",NA,NA,NA,NA
"9","2015-09-03 20:27:12-03","MNHN","RECOLNAT_MNHN_P","P00372254","PreservedSpecimen",NA,NA,NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","Correa","Saint-Hilaire, A. de",NA,NA,NA,"Uruguay",NA,NA,"Banda oriental del Uruguay",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372254' target='other'> <mi>dwc_moreinfo</mi></a>","P00372254",NA,NA,NA,NA,NA,"P00372254_01",NA,NA,"C2 2037","hb",NA,NA,NA,NA
"10","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","47795",NA,"Plantae",NA,NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","C.R.Buzatto/23-09-2013","C.R. Buzatto; A. Sanguinetti","2013","09","23","Brasil","Rio Grande do Sul","Bagé",NA,"-54.1068992614746","-31.3313999176025","74087",NA,"MBML047795","auto",NA,NA,NA,NA,"MBML047795","911",NA,NA,NA,NA,NA,NA,NA
"11","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","47789",NA,"Plantae",NA,NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","C.R.Buzatto/09-10-2010","C.R. Buzatto; R.B. Singer","2010","10","09","Brasil","Rio Grande do Sul","Caçapava do Sul",NA,"-53.4914016723633","-30.5121994018555","50525",NA,"MBML047789","auto",NA,NA,NA,NA,"MBML047789","645",NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","47796",NA,"Plantae",NA,NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","C.R.Buzatto/30-09-2013","F. Torchelsen","2013","09","27","Brasil","Rio Grande do Sul","Pinheiro Machado",NA,"-53.3810997009277","-31.5783004760742","70026",NA,"MBML047796","auto",NA,NA,NA,NA,"MBML047796",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-08 12:52:10-03","UFRGS","ICN","020712","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Bipinnula","canisii","Bipinnula canisii","Dutra ex Pabst","Lindeman, JC","Lindeman, JC; Irgang, BE; Valls, JFM","1972","10","11","Brasil","RS","Pinheiro Machado","serrado do passarinho, 15 km a leste da cidade","-53.3810997009277","-31.5783004760742","70026","flor seca = 20695, planta viva em casa do dr. Schultz; morro granítico","ICN00039249","auto","1972",NA,NA,NA,NA,"s.n.","América do Sul",NA,NA,NA,NA,NA,NA
"14","2021-02-08 12:52:10-03","UFRGS","ICN","020695","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Bipinnula","canisii","Bipinnula canisii","Dutra ex Pabst","Lindeman, JC","Lindeman, JC; Irgang, BE; Valls, JFM","1972","10","11","Brasil","RS","Piratini","11 km a oeste da cidade","-53.1041984558105","-31.4480991363525","62286","2 tépalas coniventes num elmo transparente com rede de nervuras verdes, 2 penas amarelo-esverdeadas, labelo branco com 4 listras e franja azuis escuras, antera alaranjada um buer vivo.; morro de granito, numa fenda com humus arenoso","ICN00039248","auto","1972",NA,NA,NA,NA,"s.n.","América do Sul",NA,NA,NA,NA,NA,NA
"15","2021-02-08 12:52:10-03","UFRGS","ICN","015180","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Bipinnula","canisii","Bipinnula canisii","Dutra ex Pabst","Dutra","?",NA,NA,NA,"Brasil","RS","Porto Alegre","Morro da Polícia","-51.2299995422363","-30.0331001281738","29946",NA,"ICN00000434","auto",NA,NA,NA,"Holotypus","ICN00000434 ICN00000434_1","s.n.","América do Sul",NA,NA,NA,NA,NA,NA
"16","2021-02-08 12:52:10-03","UFRGS","ICN","162652","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Bipinnula","canisii","Bipinnula canisii","Dutra ex Pabst","Buzatto, CR","Buzatto, CR","2009","10","27","Brasil","RS","Porto Alegre","Morro Tapera","-51.2299995422363","-30.0331001281738","29946","terrícola, campo seco","ICN00039231","auto",NA,NA,NA,NA,NA,"561","América do Sul",NA,NA,NA,NA,NA,NA
"17","2021-02-08 12:52:10-03","UFRGS","ICN","183087","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","Waechter, JL","Eggers, L; Pinheiro, M","2009","10","02","Brasil","RS","Candiota","BR 293 direção Candiota para Pinheiro Machado após Candiota","-53.511111","-31.522222",NA,"em baixada úmida, beira estrada","ICN00039251",NA,"2010","05","10",NA,NA,"306","América do Sul",NA,NA,"-53.511111","-31.522222","394","394"
"18","2021-02-08 12:52:10-03","UFRGS","ICN","177591","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","Buzatto, CR","Buzatto, CR; Sanguinetti, A","2013","09","23","Brasil","RS","Bagé",NA,"-54.1068992614746","-31.3313999176025","74087",NA,"ICN00039239","auto","2013","09","23",NA,NA,"911","América do Sul",NA,NA,NA,NA,NA,NA
"19","2021-02-08 12:52:10-03","UFRGS","ICN","177535","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","Buzatto, CR","Buzatto, CR; Singer, RB","2010","10","09","Brasil","RS","Caçapava do Sul",NA,"-53.4914016723633","-30.5121994018555","50525",NA,"ICN00039238","auto","2010","10","09",NA,NA,"645","América do Sul",NA,NA,NA,NA,NA,NA
"20","2021-02-08 12:52:10-03","UFRGS","ICN","177560","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Bipinnula","montana","Bipinnula montana","Arechav.","Buzatto, CR","Buzatto, CR","2011","09","29","Brasil","RS","Caçapava do Sul",NA,"-53.4914016723633","-30.5121994018555","50525",NA,"ICN00039241","auto","2011","09","29",NA,NA,"731","América do Sul",NA,NA,NA,NA,NA,NA
