"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","infraspecificEpithet","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:33:57-03","UNESC","CRI","2349","PreservedSpecimen","Plantae","Poaceae","Hymenachne","condensata","Hymenachne condensata","(Bertol.) Chase","Imaguire","12","1973","03","19","Brasil","Santa Catarina","Ilhota","Fazendo da Barra, Ihota.","-48.831111","-26.901111","48º49'52''W","26º54'4''S","Habitat: Vala de drenagem em canavial","CRI006715","CRI006715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:57-03","UNESC","CRI","2487","PreservedSpecimen","Plantae","Poaceae","Hymenachne","condensata","Hymenachne condensata","(Bertol.) Chase","R. M. Klein",NA,"1955","01","04","Brasil","Santa Catarina","Itajaí","Cunhas.","-48.670833","-26.910556","48º40'15''W","26º54'38''S",NA,"CRI006718","CRI006718","L. B. Smith","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:57-03","UNESC","CRI","2584","PreservedSpecimen","Plantae","Poaceae","Hymenachne","condensata","Hymenachne condensata","(Bertol.) Chase","Paulo Condim","1","1973","03","07","Brasil","Santa Catarina","Ilhota","Pedra de Amolar, Ilhota.","-48.828333","-26.901111","48º49'42''W","26º54'4''S","Habitat: Talude de valas Habito: Erva invasora de canais de drenagem","CRI006716","CRI006716",NA,NA,"1.5","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","763807","PreservedSpecimen","Plantae","Poaceae","Panicum","condensatum","Panicum condensatum","Bertol.","R. Reiss","17","1934","04","28","Brazil","Paraná","Tibagi","Tibagy","-50.488585","-24.686032",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763807","NY00763807_01",NA,NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 16:38:00-03","NY","NYBG","763793","PreservedSpecimen","Plantae","Poaceae","Panicum","condensatum","Panicum condensatum",NA,"M. A. Chase","8414","1925","02","10","Brazil","Rio de Janeiro",NA,"Jacarepaguá",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763793","NY00763793_01",NA,NA,"10","15","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","763794","PreservedSpecimen","Plantae","Poaceae","Panicum","condensatum","Panicum condensatum","Bertol.","M. A. Chase","8101","1924","12","29","Brazil","Bahia",NA,"N. of Cachoeira",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763794","NY00763794_01",NA,NA,"225","225","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","763795","PreservedSpecimen","Plantae","Poaceae","Panicum","condensatum","Panicum condensatum","Bertol.","P. Condim","1","1973","03","07","Brazil","Santa Catarina",NA,"Pedra de Anolar, Ilhota",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763795","NY00763795_01",NA,NA,"1","5","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1166700","PreservedSpecimen","Plantae","Poaceae","Panicum","pilosum","Panicum pilosum subverticillatum","Döll","W. A. Rodrigues","3869","1961","12","12","Brazil","Amazonas","Manaus","Parque 10. Terra firme, solo arenoso, descampado.","-60.0063694","-3.0786429",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401813' target='other'> <mi>dwc_moreinfo</mi></a>","NY01166700","NY01166700_01","J. R. Swallen",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet","subverticillatum",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1166699","PreservedSpecimen","Plantae","Poaceae","Panicum","pilosum","Panicum pilosum subverticillatum","Döll","W. A. Rodrigues","3898","1961","12","13","Brazil","Amazonas","Manaus","Igarapé do Buião. Terra firme, solo arenoso, descampado.","-60.025","-3.10194",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401812' target='other'> <mi>dwc_moreinfo</mi></a>","NY01166699","NY01166699_01","J. R. Swallen",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet","subverticillatum",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1166701","PreservedSpecimen","Plantae","Poaceae","Panicum","pilosum","Panicum pilosum subverticillatum","Döll","W. A. Rodrigues","398","1957","04","04","Brazil","Amazonas","Manacapurú","Posto Sto. Antônio; margem argilo-arenosa, alagável.","-60.6206","-3.29972",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401814' target='other'> <mi>dwc_moreinfo</mi></a>","NY01166701","NY01166701_01","J. R. Swallen",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet","subverticillatum",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-08 11:09:51-03","UNESP-IBB","BOTU","16017","PreservedSpecimen","Plantae","Poaceae","Panicum","condensatum","Panicum condensatum","Sw.","Janssen, A.","157","1980","01","16","Brasil","Amazonas","Humaitá",NA,"-63.166667","-7.516667","63°10'w","7°31's","geniculada ascendente. Colmo liso, cespitosa. Folhas lanceoladas, verde-escuras. Panícula terminal, espiguetas unifloras, verde-claras do lado inferior.","BOTU016017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:53:54-03","EAO","IAN","17838","PreservedSpecimen","Plantae","Poaceae","Panicum","pilosum","Panicum pilosum subverticillatum","Sw.","Pires, JM; Black, GA","848","1945","11","14","Peru",NA,NA,"San Juan Nuevo, Iquitos.",NA,NA,NA,NA,NA,"IAN017838","IAN017838 IAN017838_1 IAN017838_e",NA,NA,NA,NA,"Monocotiledônea",NA,"Southern America",NA,"subverticillatum",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:53:54-03","EAO","IAN","74834","PreservedSpecimen","Plantae","Poaceae","Panicum","pilosum","Panicum pilosum subverticillatum","Sw.","Fróes, RL","28030","1952","03","25","Brasil","Amazonas",NA,"Rio Içana, Uariuá Poço. À margem o rio.",NA,NA,NA,NA,"Capim.","IAN074834",NA,NA,NA,NA,NA,"Monocotiledônea",NA,"Southern America",NA,"subverticillatum",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-02 16:29:10-03","CPAN-UFMS","COR","3379","PreservedSpecimen","Plantae","Poaceae","Panicum","condensatum","Panicum condensatum","Bertol.",NA,NA,"1992","02","02","Brasil","Mato Grosso do Sul","Brasilândia","Rio Taquarussu","-52.224167","-21.535833","52º13'27''W","21º32'9''S","Erva Habito: Erva",NA,NA,"Guglieri, A.","2009","286","286",NA,NA,NA,NA,NA,"05","24",NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:18:41-03","NBC","NL-BOTANY","L.3804023","PreservedSpecimen","Plantae","Gramineae","Panicum","condensatum","Panicum condensatum","Bertol.","Davidse G; Ramamoorthy TP; Vital DM",NA,"1976","03","28","Brazil",NA,NA,"Minas Gerais: Ca. 1 km S of Sao Pedro do Suacui along highway.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3804023 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3804023","NL-L3804023",NA,NA,NA,NA,NA,"Poales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
