"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01318268","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","setoso-ciliata","Miconia setoso-ciliata","Cogn.","M. K. Caddah","M. K. Caddah","720","2010","01","18","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, proximidades do Vale dos Macacos","-43.005556","-22.456389","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305613' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318268","NY01318268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","229375","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","setoso-ciliata","Miconia setoso-ciliata","Cogn.",NA,"A. F. M. Glaziou","16934",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229375","NY00229375_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","229374","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","setoso-ciliata","Miconia setoso-ciliata","Cogn.",NA,"A. F. M. Glaziou","16934",NA,NA,NA,"South America","Brazil",NA,NA,"Locality fide Cogniaux Prov. Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229374","NY00229374_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1802218","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","setoso-ciliata","Miconia setoso-ciliata","Cogn.","R. Goldenberg","A. M. Amorim","7793","2009","04","09","South America","Brazil","Espírito Santo","Castelo","Parque Estadual do Forno Grande.","-41.075","-20.5194","1100",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2047280' target='other'> <mi>dwc_moreinfo</mi></a>","NY01802218","NY01802218_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:44:39-03","EAO","IAN","93596","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Miconia","setosociliata","Miconia setosociliata","Cogn.",NA,"Glaziou, AFM","16934",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093596",NA,"isotipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:19:25-03","UNICAMP","UEC","147120","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","setosociliata","Miconia setosociliata","Cogn.","Caddah, MK","Aguirre, GH; et al.","115","2005","07","18",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Fragmento de Floresta Ombrófila Densa em paisagem rural",NA,NA,NA,NA,NA,NA,"UEC083591","UEC083591",NA,"2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:19:25-03","UNICAMP","UEC","45607","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","setosociliata","Miconia setosociliata","Cogn.","Goldenberg, R","Souza, HP","8828","1987","04","08",NA,"Brazil","Minas Gerais",NA,"Parque Estadual do Ibitipoca",NA,NA,NA,NA,NA,"flor, Arbusto de mais ou menos 4 m de altura, flores brancas. Mata Grande.","UEC071989","UEC071989",NA,"1995","10",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-14 11:29:51-03","UNICAMP","UEC","45608","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","setosociliata","Miconia setosociliata","Cogn.","Goldenberg, R","Souza, HP","8856","1987","05","06",NA,"Brazil","Minas Gerais",NA,"Parque Estadual do Ibitipoca",NA,NA,NA,NA,NA,"flor, Arbusto de mais ou menos 3 m de altura. Mata Grande.","UEC071987","UEC071987",NA,"1995","10",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:19:25-03","UNICAMP","UEC","67283","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","setosociliata","Miconia setosociliata","Cogn.","Caddah, MK","Boone, W","446","1985","05","15",NA,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia","-40.543611","-19.956667",NA,NA,NA,"flor, Arvoreta de 6 m, DAP de 4 cm, inflorescência com botões florais de corola branca, ciófila. Mata.","UEC071990","UEC071990",NA,"2012",NA,"-40.543611","-19.956667",NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:19:25-03","UNICAMP","UEC","83854","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","setosociliata","Miconia setosociliata","Cogn.","Caddah, MK","Goldenberg, R; Macias, L; Mansano, VF","325","1996","06","13",NA,"Brazil","São Paulo","Lavrinhas","Vale do Ribeirão do Braço, A 12 km ao Norte de Lavrinhas.","-44.880833","-22.459444",NA,NA,NA,"fruto, Arvoreta de 3,5 m, frutos imaturos verdes. Mata secundária.","UEC071958","UEC071958",NA,"2012",NA,"-44.880833","-22.459444",NA,NA,NA,NA,NA,NA
