"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","occurrenceRemarks","barcode","imagecode","typeStatus","fieldNumber","locality","preparationType","identifiedBy","class","order","continentOcean","individualCount","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum"
"1","2021-01-14 15:31:41-03","MN","R","9185","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","pithyoides","Trembleya pithyoides","Cham.","Glaziou, A.F.M.","14746","1875","08","05","Brasil","Minas Gerais","Plantas do Brasil Central","R000009185","R000009185_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2013-10-08 16:12:56-03","MNHN","RECOLNAT_MNHN_P","P00723397","PreservedSpecimen",NA,"Melastomataceae","Trembleya","pithyoides","Trembleya pithyoides","Cham.","Sellow, F.",NA,NA,NA,NA,"Brésil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723397' target='other'> <mi>dwc_moreinfo</mi></a>","P00723397","P00723397_01","isolectotype","1316","Brasilia meridionalis","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-10-27 14:39:53-02","MNHN","RECOLNAT_MNHN_P","P00723393","PreservedSpecimen",NA,"Melastomataceae","Trembleya","pithyoides","Trembleya pithyoides","Cham.","Glaziou, A.",NA,"1884","2","21","Brésil",NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723393' target='other'> <mi>dwc_moreinfo</mi></a>","P00723393","P00723393_01",NA,"14746","Minas, Serra de Capanema","hb","Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2011-06-24 15:13:51-03","MNHN","RECOLNAT_MNHN_P","P00723394","PreservedSpecimen",NA,"Melastomataceae","Trembleya","pithyoides","Trembleya pithyoides","Cham.","Glaziou, A.",NA,"1884","2","21","Brésil",NA,"Reçu le 6 août 1885 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723394' target='other'> <mi>dwc_moreinfo</mi></a>","P00723394","P00723394_01",NA,"14746","Minas, Serra de Capanema","hb","Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2013-11-14 11:57:30-02","MNHN","RECOLNAT_MNHN_P","P00723395","PreservedSpecimen",NA,"Melastomataceae","Trembleya","pithyoides","Trembleya pithyoides","Cham.","Glaziou, A.",NA,"1884","2","21","Brésil",NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723395' target='other'> <mi>dwc_moreinfo</mi></a>","P00723395","P00723395_01",NA,"14746","Minas, Serra de Capanema","hb","Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-10-27 14:41:33-02","MNHN","RECOLNAT_MNHN_P","P00723396","PreservedSpecimen",NA,"Melastomataceae","Trembleya","pithyoides","Trembleya pithyoides","Cham.","Sellow, F.",NA,NA,NA,NA,"Brésil",NA,"En reliquiis Sellowianis, Humbert dedit, 1836. Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723396' target='other'> <mi>dwc_moreinfo</mi></a>","P00723396","P00723396_01","lectotype","1316","Brasilia meridionalis","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-04 21:18:10-03","MNHN","RECOLNAT_MNHN_P","P05317972","PreservedSpecimen",NA,"Melastomataceae","Trembleya","pithyoides","Trembleya pithyoides","Cham.","Glaziou, A.",NA,"1892","4","11","Brasil","Minas Gerais",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05317972' target='other'> <mi>dwc_moreinfo</mi></a>","P05317972","P05317972_01",NA,"19239","BRÉSIL: Perpetua pres de Diamantina. Minas Gerais, Sudeste, Brasil, América do Sul","hb","Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 21:18:10-03","MNHN","RECOLNAT_MNHN_P","P05317973","PreservedSpecimen",NA,"Melastomataceae","Trembleya","pithyoides","Trembleya pithyoides","Cham.","Glaziou, A.",NA,"1892","4","11","Brasil","Minas Gerais",". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05317973' target='other'> <mi>dwc_moreinfo</mi></a>","P05317973","P05317973_01",NA,"19239","Brésil, Minas. Perpétua, près de Diamantina. Minas Gerais, Sudeste, Brasil, América do Sul","hb","Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-04 21:18:10-03","MNHN","RECOLNAT_MNHN_P","P05317974","PreservedSpecimen",NA,"Melastomataceae","Trembleya","pithyoides","Trembleya pithyoides","Cham.","Glaziou, A.",NA,"1892","4","11","Brasil","Minas Gerais",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05317974' target='other'> <mi>dwc_moreinfo</mi></a>","P05317974","P05317974_01",NA,"19239","BRÉSIL: Perpetua, pres de Diamantina. Minas Gerais, Sudeste, Brasil, América do Sul","hb","Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-04 21:18:10-03","MNHN","RECOLNAT_MNHN_P","P05317975","PreservedSpecimen",NA,"Melastomataceae","Trembleya","pithyoides","Trembleya pithyoides","Cham.","Weddell, H.A.",NA,"1844","1","1","Brasil","Minas Gerais",". . Donné par M. Claussen <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05317975' target='other'> <mi>dwc_moreinfo</mi></a>","P05317975","P05317975_01",NA,NA,"Brésil. Minas-Géraës. Minas Gerais, Sudeste, Brasil, América do Sul","hb","Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
