"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","coordinatePrecision","maximumElevationInMeters","geoFlag","fieldNumber","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","640167","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Tetraplandra","dimitrii","Tetraplandra dimitrii","Emmerich","J. A. Kallunki","J. R. Pirani","2826","1993","05","12","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Morro Grande, a 3 km da saída da ciudade na Estrada p. Jerônimo Monteiro. Mata atrás da serrania de pedras Marmoraes","-41.1128","-20.8492","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640167","NY00640167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1546591","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Tetraplandra","dimitrii","Tetraplandra dimitrii","Emmerich",NA,"B. D. Sucre","8972[=herb. RB 154688]","1972","04","26","South America","Brazil","Espírito Santo",NA,"10 km de Cachoeiro do Itapemirim na estrada para Alegre",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1897396' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546591","NY01546591_01","type","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","640165","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Tetraplandra","dimitrii","Tetraplandra dimitrii","Emmerich","L. J. Gillespie","R. M. Silva","838","1993","05","13","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Morro Grande, 3 km da ciudade em direçao a Jerônimo Monteiro, atrás da serrania de pedras","-41.1128","-20.8492","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640165","NY00640165_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","640166","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Tetraplandra","dimitrii","Tetraplandra dimitrii","Emmerich","L. J. Gillespie","J. A. Kallunki","600","1994","02","22","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","NW of Cachoeira do Itapemirin, Morro Grande, forest remnant behind marble sawmill on S side of road to Jeronimo Monteiro (BR-482) 2 km NW of junction with road to Muqui (BR-393)","-41.17","-20.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=533432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640166","NY00640166_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:24:56-03","MBM","MBM","353438","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Tetraplandra","dimitrii","Tetraplandra dimitrii","Emmerich",NA,"Sucre, D.","8972","1972","04","26","Southern America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","10 km de cachoeiro do Itapemirim, na estrada para Alegre","-41.1128005981445","-20.8488998413086",NA,"Arbusto umbrófilo com até 4 metros de altura, sendo frequentes exemplares floríferos a partir de 1,50 metros de altura. bastante frequente em mata seca (periodicamente) de solo arenoso. Látex branco. Lâmina da folha na face ventral v","MBM353438","MBM353438",NA,"90","35694","90","auto",NA,NA,NA,NA,NA,NA,NA
"6","2016-12-27 16:47:07-02","MNHN","RECOLNAT_MNHN_P","P00716373","PreservedSpecimen",NA,NA,NA,"Euphorbiaceae","Tetraplandra","dimitrii","Tetraplandra dimitrii","Emmerich",NA,"Sucre, D.",NA,"1972","4","26",NA,"Brésil",NA,NA,"Estado do Espirito Santo, 10 km de Cachoeira de Stapemirim una Estrada para Alegre",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00716373' target='other'> <mi>dwc_moreinfo</mi></a>","P00716373","P00716373_01 P00716373_02","isotype",NA,NA,NA,NA,"8972",NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:46:00-03","MBML","MBML-HERBARIO","38967",NA,"Plantae",NA,NA,"Euphorbiaceae","Tetraplandra","dimitrii","Tetraplandra dimitrii","Emmerich",NA,"D. Sucre","8957","1972","04","25",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Estrada para Itabira.","-41.1128005981445","-20.8488998413086",NA,"Pequena árvore com mais ou menos 4 metros de altura, semiumbrofila, crescendo em formação de mata secundária seca. Pouco frequente. Latéx branco. Lâmina da folha na face ventral verde muito escuro lúcida, na face dorsal verde claro fos","MBML038967","MBML038967","PARATIPO","110","35694","110","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:46:00-03","MBML","MBML-HERBARIO","38964",NA,"Plantae",NA,NA,"Euphorbiaceae","Tetraplandra","dimitrii","Tetraplandra dimitrii","Emmerich",NA,"D. Sucre","8972","1972","04","26",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","10 Km de Cachoeiro do Itapemirim na estrada para Alegre.","-41.1128005981445","-20.8488998413086",NA,"Arbusto umbrófilo com até 4 metros de altura, sendo frequentes exemplares floríferos apartir de 1,5 metros de altura. Bastante frequente em mata seca (periodicamente) de solo arenoso. Latéx branco. Lâmina da folha na face ventral verde","MBML038964","MBML038964","ISOTIPO",NA,"35694",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-02-25 10:11:54-03","CVRD","CVRD","13031","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Algernonia","dimitrii","Algernonia dimitrii","(Emmerich) G.L.Webster","Geovane S. Siqueira","Folli, D.A.","6626","2010","05","16","América do Sul","BRASIL","ES","Itapemirim",NA,"-40.813728","-20.938714",NA,"<ll>dwc_commonname:</ll> Pacotuba","CVRD013031",NA,NA,"10",NA,"10",NA,NA,"Magnoliopsida","2015","10","30","-40,813728","-20,938714"
"10","2021-02-25 10:11:54-03","CVRD","CVRD","4330","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Algernonia","dimitrii","Algernonia dimitrii","(Emmerich) G.L.Webster","Geovane S. Siqueira","Folli, D.A.","1842","1993","03","16","América do Sul","BRASIL","ES","Cachoeiro de Itapemirim","Lado esquerdo da estrada Pedra Lisa na Estação Esperimental Bananal do Norte - Cachoeiro do Itapemirim - ES.","-41.1128005981445","-20.8488998413086",NA,"<ll>dwc_commonname:</ll> Pacotuba","CVRD004330",NA,NA,NA,"35694",NA,"auto",NA,"Magnoliopsida","2015","10","30",NA,NA
