"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","typeStatus","continentOcean","imagecode","dayIdentified"
"1","2019-08-27 13:28:31-03","IAP","PACA-AGP","102866","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","M. S. Marchioretto","2004","09","D.C. Zappi","s/n","1990","06","14","Brasil","MG","Grão Mogol","Vale do Rio Itacambiruçu","-42.916667","-16.6","42°55'W","16°36'S","670","670","Herbário CFCR: 12910 Habitat: solo arenoso-fino com rochas, cerrado, carrasco e vegetação rupícula Hábito: erva","PACA102866",NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:28:31-03","IAP","PACA-AGP","102867","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","M.S. Marchioretto","2004","09","T.R.S.Silva","s/n","1990","09","07","Brasil","MG","Grão Mogol","Alto do Morro do Jambeiro, flanco da descida para o córrego Escurinha","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"herbário CFCR número: 13482&nf;Sistema subterrâneo bem desenvolvido&nf;Heliófila&nf;Folhas e inflorescências cobertas portricomas alvos Habitat: campo arenoso Hábito: erva","PACA102867","67219","auto",NA,NA,NA,NA
"3","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0002837","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Caryophyllales","Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","J. C. Siqueira",NA,NA,"G. Hatschbach; M. Hatschbach, E. Barbosa","68045","1998","7","18","Brazil","Minas Gerais",NA,"Sonora (Mun. Cristalia).","-42.8667","-16.7167",NA,NA,NA,NA,"Ascendente, flor alvacenta. Campo rupestre, solo arenoso.",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:11:29-03","MBM","MBM","59899","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","Pedersen, T.M.",NA,NA,"Hatschbach, G.; Kasper, A.; Kasper, A.","41635","1978","10","22","Brazil","Minas Gerais","Grão Mogol","10km NO de Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"Flor creme.; Solo arenoso.","MBM059899","67219","auto","HOLOTYPE","Southern America","MBM059899",NA
"5","2020-12-21 16:11:29-03","MBM","MBM","228276","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","Siqueira, J.C.","2002","12","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","68045","1998","07","18","Brazil","Minas Gerais","Cristália","Sonora","-42.8622016906738","-16.8003005981445",NA,NA,NA,NA,"Ascendente, flor alvacenta.; Campo rupestre, solo arenoso.","MBM228276","30029","auto",NA,"Southern America","MBM228276","09"
"6","2020-12-21 16:11:29-03","MBM","MBM","180544","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","Cordeiro, J.","2005",NA,"Cordeiro, J.","6412","1998","08","10","Brazil","Paraná","Curitiba","Guabirotuba, SOMA","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,"25180","auto",NA,"Southern America",NA,NA
"7","2020-12-11 11:31:23-03","UFMG","BHCB","181184","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen",NA,NA,NA,"Hatschbach, G; Kasper, A","41635","1978","10","22","Brasil","Minas Gerais","Grão Mogol","10 km NO de Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"Flor creme; Solo arenoso","BHCB035337","67219","auto","Isotypus","Southern America","BHCB035337",NA
"8","2021-03-23 11:51:25-03","USP","SPF","165062","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","Pedersen, TM","2000",NA,"Hatschbach, G; Kasper, A","41635","1978","10","22","Brasil","Minas Gerais",NA,"10 km NO de Grão Mogol.&nf;Solo arenoso. flor creme.",NA,NA,NA,NA,NA,NA,NA,"SPF00165062",NA,NA,"isotype",NA,"SPF00165062",NA
"9","2019-11-13 11:14:16-03","USP","SPF","69320","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","Marchioretto, MS","2004","09","Zappi, DC","CFCR12910","1990","06","14","Brasil","Minas Gerais","Grão Mogol","Vale do Rio Itacambiruçu","-42.916667","-16.6","-42.916667","-16.6","670","670",NA,"SPF00069320",NA,NA,NA,NA,NA,NA
"10","2019-11-13 11:14:16-03","USP","SPF","86096","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","Udulutsch, RG","2008",NA,"Simão-Bianchini, R","CFCR12961","1990","06","14","Brasil","Minas Gerais","Grão Mogol","Vale do Rio Itacambiruçu","-42.916667","-16.6","-42.916667","-16.6","670","670",NA,"SPF00086096",NA,NA,NA,NA,NA,NA
"11","2019-11-13 11:14:16-03","USP","SPF","134103","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","Marchioretto, MS","2008","07","Silva, TRS","CFCR13482","1990","09","07","Brasil","Minas Gerais","Grão Mogol","Morro do Jambeiro","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,"SPF00134103","67219","auto",NA,NA,NA,NA
"12","2019-10-07 09:18:35-03","UEFS","HUEFS","104625","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen",NA,NA,NA,"Hatschbach, G.","68045","1998","07","18","Brasil","Minas Gerais","Cristália","Sonora.","-42.8622016906738","-16.8003005981445",NA,NA,NA,NA,"Campo rupestre, solo arenoso.","HUEFS0104625","30029","auto",NA,NA,"HUEFS0104625",NA
"13","2019-12-09 10:45:46-03","UFSJ","HUFSJ","8295","S","Plantae",NA,NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen",NA,NA,NA,"Hatschbach, G; Kasper, A","41635","1978","10","22","Brasil","Minas Gerais",NA,"10 Km a Norte de Grão Mogol.",NA,NA,NA,NA,NA,NA,"Flor creme.","HUFSJ008295",NA,NA,"isotype",NA,"HUFSJ008295",NA
"14","2019-05-06 11:51:46-03","UFU","HUFU","71853","S","Plantae",NA,NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen",NA,NA,NA,"Hatschbach, G.; Kasper, A.","41635","1978","10","22","Brasil","Minas Gerais","Grão Mogol","10 Km NO","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"Flor creme.; Solo arenoso","HUFU00070275","67219","auto","Isotype",NA,NA,NA
"15","2019-11-21 09:58:05-03","IBt","SP","382556","S","Plantae",NA,NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","Siqueira, JC","2003",NA,"Hatschbach, G; Hatschbach, M; Barbosa, E","68045","1998","07","18","Brasil","Minas Gerais","Cristália","Sonora","-42.8622016906738","-16.8003005981445",NA,NA,NA,NA,NA,NA,"30029","auto",NA,NA,NA,NA
"16","2019-11-21 09:58:05-03","IBt","SP","387991","S","Plantae",NA,NA,NA,"Amaranthaceae","Pfaffia","argyrea","Pfaffia argyrea","Pedersen","Siqueira, JC","2003",NA,"Hatschbach, G; Hatschbach, M; Barbosa, E","68045","1998","07","18","Brasil","Minas Gerais","Cristália","Sonora","-42.8622016906738","-16.8003005981445",NA,NA,NA,NA,NA,NA,"30029","auto",NA,NA,NA,NA
