"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","recordNumber","year","month","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0102175","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","curvispina","Frailea curvispina","Buining & Brederoo","holotype","Horst L; Uebelmann W","Southern America","Brazil","Rio Grande do Sul","Brazil; Rio Grande do Sul; Santiago.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102175 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102175","NL-U0102175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-26 10:18:24-03","MCN-FZBRS","HAS","79129","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Frailea","curvispina","Frailea curvispina","Buining & Brederoo",NA,"Nilson, A.D.",NA,"Brasil","Rio Grande do Sul","Inhacapetunzinho",NA,"HAS0079129",NA,"Magnoliophyta","Nilson, A.D.","408","1995","04","São Miguel das Missões","-54.55419921875","-28.5627994537354","54012","auto"
