"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","country","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","year","month","day","continentOcean","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","infraspecificEpithet","preparationType","fieldNumber","sex"
"1","2021-04-08 17:44:51-03","EAO","IAN","8497","PreservedSpecimen","Plantae","Monocotiledônea","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","sc","5648","Paraguai","IAN008497","IAN008497_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:44:51-03","EAO","IAN","40970","PreservedSpecimen","Plantae","Monocotiledônea","Bromeliaceae","Dyckia","interrupta","Dyckia interrupta","Mez","Fiebrig, KAG","5648","Paraguai","IAN040970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:25-03","PUCPR","HUCP","4042","S","Plantae","Monocotiledonea","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Guimarães, RMK","024","Brasil",NA,NA,"Fortes, F","1988","11","05","Paraná","Piraquara","Estrada Laranjeiras","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U.1177824","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Lindeman JC; Haas JH de",NA,"Brazil","NL-U1177824","NL-U1177824",NA,NA,NA,NA,NA,NA,"Flora Brasiliae Australis. Hab. Est. Paraná. Parque Nacional do Iguacu; bank of the river above ferry to Capanema.",NA,NA,NA,NA,"Magnoliopsidae","Poales","1966","12","08","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1177824 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:12:11-03","NBC","NL-BOTANY","WAG.1456183","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Pedersen TM",NA,"Brazil","NL-WAG1456183","NL-WAG1456183",NA,NA,NA,NA,NA,NA,"Mato Grosso, do Sul: Antonio João. A few km W of the town.",NA,NA,NA,NA,"Magnoliopsidae","Poales","1986","10","28","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1456183 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:12:11-03","NBC","NL-BOTANY","WAG.1456184","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Pedersen TM",NA,"Brazil","NL-WAG1456184","NL-WAG1456184",NA,NA,NA,NA,NA,NA,"Mato Grosso, do Sul: Antonio João. A few km W of the town.",NA,NA,NA,NA,"Magnoliopsidae","Poales","1986","10","28","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1456184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:03:56-03","ESALQ","ESA","121277","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","distachya","Dyckia distachya",NA,"Souza, E.H. ; Salomão, K.","10.0","Brasil","ESA121277","ESA121277_1 ESA121277_2","Souza, E.H.","2012",NA,NA,"São Paulo","Piracicaba","Cultivado no CENA/USP.","-47.6399993896484","-22.7199993133545","44778","auto",NA,NA,"2012","11","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:25:16-03","IAP","PACA-AGP","85662","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","L. Kem",NA,"Brasil","PACA085662",NA,"Santos-Silva, F.","2015","07","20","RS","Machadinho","Balsa da Praia Bonita","-51.6678009033203","-27.5669002532959","14933","auto","Liliatae","Bromeliales","2000","11","01",NA,"EM PERIGO&nf;HAS 39090.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:25:16-03","IAP","PACA-AGP","4643","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Rambo, B.",NA,"Brasil","PACA004643",NA,"Emrich-Rambo","1954","05","18","RS","Marcelino Ramos","Estreito; ad flumen Uruguay.","-51.9063987731934","-27.4617004394531","18635","auto","Liliatae","Bromeliales","1941","02","16",NA,"EM PERIGO&nf;Espécie confirmada por Teresia Strehl em 10.03.1998. Habitat: In rupestribus Fenofase: fruto maturo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:25:16-03","IAP","PACA-AGP","85166","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Mauhs, J.",NA,"Brasil","PACA085166",NA,"J. Mauhs",NA,NA,NA,"RS","Vacaria","Encanados","-50.9338989257812","-28.5121994018555","63451","auto","Liliatae","Bromeliales","1997","12","18",NA,"EM PERIGO&nf;Coletada somente a inflorescencia. Folhas rijas, ápice espinhento. Formando touceiras densas. Habitat: Nos lageados na margem do Pelotas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-27 13:25:16-03","IAP","PACA-AGP","34626","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Rambo, B.",NA,"Brasil","PACA034626",NA,"Emrich-Rambo","1954","05","18","RS","Vacaria","Fazenda da Ronda - ad fl. Uruguai","-50.9338989257812","-28.5121994018555","63451","auto","Liliatae","Bromeliales","1946","12","30",NA,"EM PERIGO Habitat: in rupestribus Fenofase: flor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:25:16-03","IAP","PACA-AGP","71088","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Sehnem, A.","12541","Brasil","PACA071088",NA,"Santos-Silva, F.","2015","07",NA,"RS","Salto Grande","Rio Uruguai.",NA,NA,NA,NA,"Liliatae","Bromeliales","1971","10","26",NA,"EM PERIGO Habitat: Herba super ruper ad flumen.","150","150",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:25:16-03","IAP","PACA-AGP","85165","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Mauhs, J.",NA,"Brasil","PACA085165",NA,"J. Mauhs","1998","09","16","RS","Vacaria","Encanados","-50.9338989257812","-28.5121994018555","63451","auto","Liliatae","Bromeliales","1997","12","18",NA,"EM PERIGO&nf;Coletada somente a inflorescencia. Formando touceiras densas. Folhas rijas, suculentas, ápice espinhento, rosetadas. Habitat: Nos lageados na margem do Pelotas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0004229","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","G. Hatschbach; J. M. Silva","61064","Brazil",NA,NA,"G. Hatschbach",NA,NA,NA,"Rio Grande do Sul",NA,"Rio Uruguai, Estreito (mun. Marcelino Ramos)","-51.906674","-27.462148",NA,NA,NA,"Poales",NA,NA,NA,NA,"Flor amarela.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:32:46-03","UFJF","CESJ","39534","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","R.C. Forzza; et al.","2023","Argentina","CESJ039534",NA,"A. Schinini","2002",NA,NA,"Misiones","San Ignacio",NA,NA,NA,NA,NA,NA,NA,"2001","12","18","América do Sul","Erva em afloramento rochoso, grande população concentrada. Escapo castanho; bracteas do escapo castanhas. Flores laranja. Frutos castanhos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-10-14 10:00:04-03","FURB","FURB","63052","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Kassner-Filho, A.; Santos, D; Bollmann, G; Althoff, L.F.","4000","Brasil","FURB63052","FURB63052","Kassner-Filho, A.","2018","11","21","Santa Catarina","Alto Bela Vista","Linha Floresta.","-51.975","-27.4058333",NA,NA,NA,NA,"2018","11","21",NA,"Flor amarela Habitat: Floresta Estacional Decidual;Estágio Médio/Avançado; Borda de fragmento florestal Habito: Rupícula","450","450","-51.9750000","-27.4058333",NA,NA,NA,NA,NA,NA
"17","2021-03-16 17:54:13-03","UCS","HUCS","18568","PreservedSpecimen","Plantae","Angiospermae","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassler","Kern, L.","s.n.","Brasil",NA,NA,NA,NA,NA,NA,"Rio Grande do Sul","Machadinho","Balsa da Praia Bonita","-51.6678009033203","-27.5669002532959","14933","auto",NA,"Poales","2000","11","01",NA,"Erva rupícola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-16 17:54:13-03","UCS","HUCS","18630","PreservedSpecimen","Plantae","Angiospermae","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassler","Kern, L.","s.n.","Brasil",NA,NA,NA,NA,NA,NA,"Rio Grande do Sul","Machadinho","Balsa da Praia Bonita","-51.6678009033203","-27.5669002532959","14933","auto",NA,"Poales","2000","11","08",NA,"Erva rupícola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-02-11 16:53:01-03","UFSM","SMDB","16248","S","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Záchia, R.A","6475","Brasil","SMDB016248",NA,"Záchia, R.A",NA,NA,NA,"Rio Grande do Sul","Santa Maria","Camobi, Campus da UFSM, Jardim Botânico","-53.8069000244141","-29.6842002868652","37819","auto",NA,NA,"2014","10","18",NA,"Sob cultivo, flores vermelhas, inflorescência de 60- 80 cm, Coleção de Bromeliaceae do Jardim Botânico da UFSM, Cód. Ref. JBSM 2951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-11 16:53:01-03","UFSM","SMDB","15541","S","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Záchia, R.A","6301","Brasil","SMDB015541",NA,NA,NA,NA,NA,"Rio Grande do Sul","Santa Maria","UFSM, Campus, Camobi, Jardim Botânico","-53.8069000244141","-29.6842002868652","37819","auto",NA,NA,"2011","10","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:19:23-03","MBM","MBM","171047","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Hatschbach, G.; Silva, J.M.; Silva, J.M.","61064","Brazil","MBM171047",NA,"Hatschbach, G.",NA,NA,NA,"Rio Grande do Sul","Marcelino Ramos","Rio Uruguai, Estreito","-51.9063987731934","-27.4617004394531","18635","auto",NA,NA,"1994","03","16","Southern America","Terrícola.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:19:23-03","MBM","MBM","257884","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Kew, L.","s.n.","Brazil","MBM257884",NA,NA,NA,NA,NA,"Rio Grande do Sul","Machadinho","Balsa da Praia Bonita","-51.6678009033203","-27.5669002532959","14933","auto",NA,NA,"2000","11","01","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2010-04-23 21:34:00-03","MO","MOBOT","2188926","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Osvaldo Morrone|Norma B. Deginani|Diego Giraldo-Cañas","Morrone 1645","Argentina",NA,NA,"Morrone, O., I-",NA,NA,NA,"Misiones","San Ignacio","Parque Prov. Teyú Cuaré; Peñón del Teyú Cuaré","-55.58333","-27.26666",NA,NA,NA,NA,"1996","10","20","South America",NA,"152.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2009-08-21 04:37:00-03","MO","MOBOT","2188957","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Norma B. Deginani|Manuel J. Belgrano|R.J. Zuloaga","Deginani 1446","Argentina",NA,NA,"Belgrano, M. J.",NA,NA,NA,"Misiones","San Ignacio","Parque Provincial Teyú Cuaré, Peñón de la Reina Victoria","-55.58333","-27.28333",NA,NA,NA,NA,"2000","2","25","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2018-05-17 05:28:00-03","MO","MOBOT","2188987","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","María E. Múlgura|F. Biganzoli|H. Illarraga|Andrea S. Vega","Múlgura 1647","Argentina",NA,NA,"Belgrano, M. J.",NA,NA,NA,"Misiones","San Ignacio","Parque provincial Teyucuaré, peñon Reina Victoria o del Teyucuaré","-55.58333","-27.26666",NA,NA,NA,NA,"1997","12","8","South America",NA,"30.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2011-03-30 20:38:00-03","MO","MOBOT","2340207","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Sara G. Tressens|et al.","Tressens 4573","Argentina",NA,NA,"Schinini, A.",NA,NA,NA,"Misiones","Iguazú","Parque Nacional Iguazú. Isla San Martín","-54.45","-25.68333",NA,NA,NA,NA,"1993","10","15","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2014-08-13 14:37:00-03","MO","MOBOT","2492306","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Karl Fiebrig","Fiebrig 5648","Paraguay",NA,NA,NA,NA,NA,NA,"Alto Paraná",NA,"upper Río Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,"Holotype","1",NA,NA,NA,NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","2732805","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Troels M. Pedersen","Pedersen 14750","Brazil",NA,NA,"T.M.P.",NA,NA,NA,"Mato Grosso",NA,"do Sul: Antonio Joa|o. Rocky ground with scattered shrubs and little trees, a few km west of the town",NA,NA,NA,NA,NA,NA,"1986","10","28","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2010-01-25 20:07:00-02","MO","MOBOT","3000646","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Troels M. Pedersen","Pedersen 14750","Brazil",NA,NA,"T.M.P. Pedersen",NA,NA,NA,"Mato Grosso do Sul",NA,"Antonio João. Rocky ground with scattered shrubs and little trees, a few km W of the town.",NA,NA,NA,NA,NA,NA,"1986",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2009-12-04 16:24:00-02","MO","MOBOT","3218784","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Gert G. Hatschbach|J.M. Silva","Hatschbach 61064","Brazil",NA,NA,NA,NA,NA,NA,"Rio Grande do Sul",NA,"Mun. Marcelino Ramos. Rio Uruguai, Estreito.",NA,NA,NA,NA,NA,NA,"1994","3","16","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-03-29 10:41:16-03","UFSM","HDCF","6537","S","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassler","Büneker, H. M.",NA,"Brasil",NA,NA,"Büneker, H. M.","2014","05","09","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"2013",NA,NA,"América","Planta cultivada no Jardim Botânico do Colégio Politécnico da UFSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-03-29 10:41:16-03","UFSM","HDCF","6541","S","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassler","Büneker, H. M.",NA,"Brasil",NA,NA,"Büneker, H. M.","2014","05","09","Rio Grande do Sul","Santa Maria",NA,"-53.8069000244141","-29.6842002868652","37819","auto",NA,NA,"2013",NA,NA,"América","Planta cultivada no Jardim Botânico do Colégio Politécnico da UFSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-09-12 05:00:02-03","US","US","1175248","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya induta","Hassl.","K. Fiebrig","5824","Paraguay","US01106102","US01106102_01",NA,NA,NA,NA,"Alto Paraná",NA,"In regione fluminis Alto Paraná",NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1909",NA,NA,"South America",NA,NA,NA,NA,NA,"Isotype","1","induta",NA,NA,NA
"34","2020-09-12 05:00:02-03","US","US","2025800","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","R. Reitz","3950","Brazil","US01935316","US01935316_01",NA,NA,NA,NA,"Santa Catarina","Concórdia","Estreito do Uruguai","-52.0278015136719","-27.2341995239258","24608","auto","Monocotyledonae","Bromeliales","1951","2","8","South America - Neotropics",NA,"400",NA,NA,NA,NA,"1",NA,NA,NA,NA
"35","2020-09-02 16:22:26-03","Cenargen","CEN","67186","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Glocimar Pereira-Silva","10141","Brasil","CEN00067186","CEN00067186","G. Pereira-Silva","2005","07",NA,"SC","CAMPO BELO DO SUL","Fazenda Gateados, margem direita do rio Pelotas. (Pedras Brancas).","-50.923888","-27.996388",NA,NA,NA,NA,"2005","07","13",NA,"Tributário de margem direita do rio Pelotas. Córrego Lajeado da Limeira. População de cerca de 300 m ao longo do rio. Feito exsicatas das mesmas em 01/11/2005. Área de influência direta (lago).","540","540","-50.923888","-27.996388",NA,"4",NA,"Exsicatas",NA,NA
"36","2019-10-07 09:20:36-03","UEFS","HUEFS","21895","PreservedSpecimen","Plantae","Angiospermae","Bromeliaceae","Dyckia","distachya","Dyckia distachya","Hassl.","Hatschbach, G.","61064","Brasil","HUEFS0021895","HUEFS0021895",NA,NA,NA,NA,"Rio Grande do Sul","Marcelino Ramos",NA,"-51.9063987731934","-27.4617004394531","18635","auto","Lilianae","Poales","1994","03","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
