"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","fieldNumber","year","month","day","locality","preparationType","occurrenceRemarks","barcode","imagecode","phylum","yearIdentified","monthIdentified","recordNumber","continentOcean","coordinatePrecision","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount","typeStatus","sex"
"1","2016-07-05 11:14:20-03","FFCLRP","LBMBP","426","S","Plantae","Orchidaceae","Pseudolaelia","canaanensis","Pseudolaelia canaanensis","(Ruschi) F. Barros","E.R. Pansarin","E.R. Pansarin","Brasil","Espírito Santo","Santa Teresa","-40.6","-19.933333","40°36'W","19°56'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-03 19:57:01-03","MNHN","RECOLNAT_MNHN_P","P00438714","PreservedSpecimen",NA,"Orchidaceae","Pseudolaelia","canaanensis","Pseudolaelia canaanensis","(Ruschi) F.Barros",NA,"Lourteig, A.","Brésil",NA,NA,NA,NA,NA,NA,"3223","1978","3","25","Est. Esperito Santo Reserva Santa Luzia, borde del Rio Timbuí","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00438714' target='other'> <mi>dwc_moreinfo</mi></a>","P00438714","P00438714_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-16 09:39:13-03","MNHN","RECOLNAT_MNHN_P","P00438715","PreservedSpecimen",NA,"Orchidaceae","Renata","canaanensis","Renata canaanensis","Ruschi",NA,"Lourteig, A.","Brésil",NA,NA,NA,NA,NA,NA,"3223","1978","3","25","Est. Esperito Santo Reserva Santa Luzia, borde del Rio Timbuí","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00438715' target='other'> <mi>dwc_moreinfo</mi></a>","P00438715","P00438715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:44:51-03","UFMG","BHCB","31422","PreservedSpecimen","Plantae","Orchidaceae","Pseudolaelia","canaanensis","Pseudolaelia canaanensis","(Ruschi) F.Barros",NA,"Lombardi, JA; Temponi, LG","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,NA,"1996","02","24","Reserva de Santa Lúcia, trilha às margens do rio T",NA,"folhas cartáceas. Tépalas amarelas, labelo laranja","BHCB001497","BHCB001497","Monocotyledon","1996","03","1102","Southern America","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2011-02-22 17:15:00-03","MO","MOBOT","2842912","PreservedSpecimen","Plantae","Orchidaceae","Renata","canaanensis","Renata canaanensis","Ruschi","H.Q. Boudet Fernandes","H.Q. Boudet Fernandes","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"1988","2","17","Santa Teresa, Alto da Pedra Alegre, cerca de 850 m de alt., vegetacão rupestre.",NA,NA,NA,NA,NA,NA,NA,"Boudet Fernandes 2297","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","12331",NA,"Plantae","Orchidaceae","Pseudolaelia","canaanensis","Pseudolaelia canaanensis","(Ruschi) F.Barros","L. Kollmann/C.Fraga/30-03-2000","L. Kollmann; et al","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389","40W31'49","19S58'17",NA,"2000","03","30","Estação Biológica de Santa Lúcia",NA,"Rupicola heliófila do lado do tumulo. Flores marelas. Epifita.","MBML012331",NA,NA,NA,NA,"2795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","19853",NA,"Plantae","Orchidaceae","Pseudolaelia","canaanensis","Pseudolaelia canaanensis","(Ruschi) F.Barros",NA,"R.R. Vervloet; et al","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389","40W31'49","19S58'17",NA,"2003","02","24","Estação Biológica de Santa Lúcia",NA,"Rupícola, flores de cor amarela, fundo de vale, próximo a cachoeira.","MBML019853",NA,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","22394",NA,"Plantae","Orchidaceae","Pseudolaelia","canaanensis","Pseudolaelia canaanensis","(Ruschi) F.Barros","C. N. Fraga/19-03-2004","C. N. de Fraga; et al","Brasil","Espírito Santo","São Roque do Canaã","-40.775278","-19.796944","40W46'31","19S47'49",NA,"2004","03","19","Alto Misterioso",NA,"Inselberg da Floresta Atlântica de Encosta. Rupícola heliófila. Herbácea com ca. 50cm. Flores com cálice e corola amarelado, labelo com calo amarelo escuro.","MBML022394",NA,NA,NA,NA,"1155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","22844",NA,"Plantae","Orchidaceae","Pseudolaelia","canaanensis","Pseudolaelia canaanensis","(Ruschii) F.Barros","L. Kollmann/25-11-2004",NA,"Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389","40W31'49","19S58'17",NA,"1973","03","02","Estação Biológica de Santa Lúcia",NA,"Somente em álcool.","MBML022844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","23176",NA,"Plantae","Orchidaceae","Pseudolaelia","canaanensis","Pseudolaelia canaanensis","(Ruschi) F.Barros","A. P. Fontana/09-08-2004","A. P. Fontana; et al","Brasil","Espírito Santo","Itaguaçu","-40.981111","-19.741389","40W58'52","19S44'29",NA,"2004","04","10","Pedra do Caparaó",NA,"Rupestre, flores c/ pétaças e sépalas amarelo claro e labelo amarelo claro com centro amarelo escuro.","MBML023176",NA,NA,NA,NA,"816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
