"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","616928","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","M. Sobral","G. G. Hatschbach","61191","1994","10","20","South America","Brazil","Espírito Santo","Domingos Martins","Rod. BR-262, Rio Jucu Braço Sul, próximo a Vítor Hugo","-40.879922","-20.414572","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616928","NY00616928_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:15:04-03","ESALQ","ESA","53724","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","cf. renatiana","Plinia cf. renatiana","G.M.Barroso & Peixoto","Caldas, D.K.D.","Lucas, E.J. et al.","724.0","2006","11","27",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"ESA053724","ESA053724","2019","08","02","23813","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:15:04-03","ESALQ","ESA","35144","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","Barroso & Peixoto","Sobral, M.","Hatschbach, G. et al.","61191.0","1994","10","20",NA,"Brasil","Espírito Santo","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863",NA,NA,"ESA035144","ESA035144",NA,NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0056996","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & A.L.Peixoto",NA,"G. Hatschbach; M. Hatschbach, J.M. Silva","61191","1994","10","20",NA,"Brazil","Espirito Santo",NA,"Rod. BR-262, Rio Jucu Branco Sul, proximo a Vitor Hugo (Mun. Domingos Martins).","-40.658705","-20.362786",NA,"Arvore, 8m, botoes alvos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0056994","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & A.L.Peixoto","Bruce K. Holst, 2006","D. Sabatier","828-a","1984","3","28",NA,"French Guiana","Cayenne",NA,"Piste de Saint Elie.",NA,NA,NA,"N. plinia riu.; Arbre moyen; diam 20cm; fruits bosseles boursoufles, oranges a maturite.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0056995","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & A.L.Peixoto","Bruce K. Holst, 2006","J.J. de Granville; G. Cremers, I. Hagemann, B. Leuenberger, M. Sangrey","10773","1989","1","19",NA,"French Guiana","Cayenne",NA,"Mont Atachi Bacca- Region de L'Inini. Nord du plateau sommital, 10km SE de Gobaya Soula.","-53.9167","3.55",NA,"Northern plinia riu.; Arbre, haut 30.00m; fruits subspheriques verts, de 8mm de diametre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 09:31:39-03","UFRRJ","RBR","37720","S","Plantae",NA,NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","A.L. Peixoto","I.A. Silva","104/79","1979","10","25",NA,"Brasil","Espírito Santo","Linhares","Est. 163, Km 1070, lado esquerdo.","-40.0722007751465","-19.3910999298096",NA,NA,"RBR00037720","RBR00037720 RBR00037720_1",NA,NA,NA,"48094","auto","Isotipo",NA,NA,NA,NA,NA,NA
"8","2020-06-29 09:31:39-03","UFRRJ","RBR","37721","S","Plantae",NA,NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","A.L. Peixoto","D.A. Folli","495","1984","01","27",NA,"Brasil","Espírito Santo","Linhares","Estrada Jacarandá, ant. 232, km 3.036, lado esquerdo.","-40.0722007751465","-19.3910999298096",NA,NA,"RBR00037721","RBR00037721",NA,NA,NA,"48094","auto","Paratipo",NA,NA,NA,NA,NA,NA
"9","2013-04-01 09:19:16-03","IPT","BCTW","18482","S","Plantae","Magnoliophyta",NA,NA,"Plinia","renatiana","Plinia renatiana","Barroso & Peixoto",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal da Cia Vale do Rio Doce (CVRD)","-40.0722","-19.3911",NA,NA,NA,NA,NA,NA,NA,"48094","auto",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"10","2020-12-11 11:39:38-03","UFMG","BHCB","20492","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto",NA,"Farias, GL","409","1991","11","15","Southern America","Brasil","Espírito Santo","Linhares","Reserva Florestal da CVRD, A 50m da torre, lado esquerdo. Floresta alta.","-40.0722007751465","-19.3910999298096",NA,"Árvore, +/- 9m de altura e fuste de +/- 5m, DAP 31,8cm. Com fruto imaturo de cor amarelo. Fuste cilíndrico e casca áspera.","BHCB013941","BHCB013941","1991","02","21","48094","auto",NA,NA,NA,NA,NA,NA,NA
