"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode"
"1","2020-07-10 09:48:16-03","MBML","MBML-HERBARIO","12268","Plantae","Orchidaceae","Encyclia","bragancae","Encyclia bragancae","Ruschi","W. Forster/III-2002","L. Kollmann; et al","2793","2000","03","30","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Informações transcritas do banco de dados, material não localizado no inventario de 2010.","MBML012268","MBML012268"
"2","2020-07-10 09:48:16-03","MBML","MBML-HERBARIO","12269","Plantae","Orchidaceae","Encyclia","bragancae","Encyclia bragancae","Ruschi",NA,"A. F. M. de Albuquerque; et al",NA,"1975","08","15","Brasil","Espírito Santo",NA,"Pico da Bandeira, Parque Nacional Caparaó",NA,NA,NA,NA,"Informações transcritas do banco de dados, material não localizado no inventario de 2010.","MBML012269",NA
"3","2020-07-10 09:48:16-03","MBML","MBML-HERBARIO","12344","Plantae","Orchidaceae","Encyclia","bragancae","Encyclia bragancae","Ruschi","C. N. de Fraga/09-11-2002","L. Kollmann; et al","2845","2000","04","13","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Mata baixa. Solo de areia. Sepalos e petalos amarelados com o centro pouco acastanhados. Labelo branco com listras rosas. Lobulos laterais amarelos. Base verde do labelo verde.","MBML012344",NA
