"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","month","day","county","decimalLongitude","decimalLatitude","typeStatus","minimumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02450157","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","crocata","Tillandsia crocata","(E.Morren) Baker","A. Seidel","1960","South America","Brazil","Paraná","Cult.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2636341' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450157","NY02450157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376900","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","crocata","Tillandsia crocata","(E.Morren) Baker","R. C. Tardivo","1996","South America","Brazil","Paraná","Guartelá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376900","NY00376900_01","R. C. Tardivo; A. C. Cervi","178","05","09","Tibagi","-50.1","-24.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04203828","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","mandonii","Tillandsia mandonii","E.Morren ex Mez","G. Mandon","1861","South America","Bolivia","La Paz","Viciniis Sorata; inter San Pedro et Coaconi","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4576293' target='other'> <mi>dwc_moreinfo</mi></a>","NY04203828",NA,NA,"1180","03",NA,"Larecaja",NA,NA,"isolectotype","2650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:19:15-03","UFRJ","RFA","8396","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","crocata","Tillandsia crocata","(E.Morren) Baker","G.G. Hatschbach","1966",NA,"Brasil","Paraná","Carambeí, Rio São João",NA,"Flor amarela","RFA51247",NA,"G.G. Hatschbach","14207","04","14","Castro","-50.0119018554688","-24.7910995483398",NA,NA,"50779","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:12:23-03","NBC","NL-BOTANY","L.1426862","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Tillandsia","crocata","Tillandsia crocata","(E.Morren) N.E.Br.","Hatschbach GG","1963","Southern America","Brazil",NA,"Est.Parana (Brasil). Mun. Ponta Grossa. Fda. Cambiju.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1426862 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1426862","NL-L1426862",NA,NA,"11","14",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:12:23-03","NBC","NL-BOTANY","U.1168211","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Tillandsia","crocata","Tillandsia crocata","(E.Morren) N.E.Br.","Hatschbach GG","1963","Southern America","Brazil",NA,"Est.Parana (Brasil). Mun. Ponta Grossa. Fda. Cambiju.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1168211 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1168211","NL-U1168211",NA,NA,"11","14",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:12:23-03","NBC","NL-BOTANY","WAG.1488753","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Tillandsia","crocata","Tillandsia crocata","(E.Morren) N.E.Br.","Hatschbach GG","1966","Southern America","Brazil",NA,"Paraná. Mun. Castro: Carambei, Rio S. Joao.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1488753 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1488753","NL-WAG1488753",NA,NA,"04","14",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:03:56-03","ESALQ","ESA","8940","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Tillandsia","crocata","Tillandsia crocata","(E. Movv.) Baker","Scaramuzza, C.A.M. ; Souza, V.C.","1989",NA,"Brasil","São Paulo",NA,NA,NA,"ESA008940","ESA008940","Wanderley, M.G.L.","456.0","08","14","Itararé","-49.3400001525879","-24.1100006103516",NA,NA,"27729","auto",NA,"2006","04","06",NA,NA,NA,NA,NA
"9","2021-01-14 15:26:06-03","MN","R","189847","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","crocata","Tillandsia crocata","(E. Morren) Baker","Smith, L.B. 14450; Klein, R.M. & Hatschbach, G.G.","1965",NA,"Brasil","Paraná",NA,NA,NA,"R010008186",NA,"Brown, E.K.",NA,"01","14","Ponta Grossa","-50.033333","-25.216667",NA,"890",NA,NA,NA,"1997","10","09","50°2'W","25°13'S","890",NA,NA
"10","2021-01-14 15:26:06-03","MN","R","46207","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","crocata","Tillandsia crocata","(E. Morren) Baker","Dusén, P.K.H.","1904",NA,"Brasil","Paraná",NA,NA,NA,"R010008184",NA,"Smith, L.B.","4284","03","23","Capão Grande",NA,NA,NA,NA,NA,NA,NA,"1931","06","05",NA,NA,NA,NA,NA
