"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","recordNumber","individualCount","typeStatus","continentOcean","preparationType","previousCatalogNumber","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","relationshipType","fieldNumber","sex"
"1","2021-04-05 14:25:47-03","UNESC","CRI","12439","PreservedSpecimen","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth","Renato Colares","2017","07","18","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375","8793","Coleta 93. Habito: Arbustivo","CRI010646","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3597","S","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth","Carlos Alberto Ferreira Junior","2015","08","31","Carlos Alberto Ferreira Junior; Davidson Guilherme","2015","08","29","Brasil","Minas Gerais","Nova Lima","Corrego do Cardoso, Fundo do Condomínio Ouro Velho","-43.8466987609863","-19.9855995178223","29211","254",NA,"auto","Magnoliophyta","Piperales","CAF1573","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:25-03","E","E","319992","PreservedSpecimen","Plantae","Piperaceae","Piper","propinquum","Piper propinquum",NA,NA,NA,NA,NA,"Spruce, R.","1905","01","28","PE","Tarapoto",NA,"Prope Tarapoto",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00319992 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319992",NA,NA,NA,"4032",NA,"isotype","W. Tropical South America","herbarium specimen of unspecif","BGBASE:328201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00957328","PreservedSpecimen","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth","E. F. Guimarães; C. L. F. Ichaso",NA,NA,NA,"H. S. Irwin","1966","05","02","Brazil","Goiás","Formosa","Côrrego Itaquera, ca. 30 km N. of Formosa","-47.43","-15.3",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957328",NA,"Magnoliophyta","Piperales","15543",NA,NA,"South America","sheet",NA,"850","850","NY00957328_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4137087","PreservedSpecimen","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth",NA,NA,NA,NA,"J. M. Schunke-Vigo","1968","04","15","Peru","Huánuco","Pachitea","Dtto. Honoria. Al borde de la quebrada en bosque alto. Isla del Pacanase. Bosque Nacional de Iparia: Región de bosque seco tropical (sensu Tosi, 1960) a lo largo del Río Pachitea cerca del campamento Miel de Abeja (1 km arriba del pueblo de Tournavista a unos 20 km arriba de la confluencia con el Río Ucayali)",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4464508' target='other'> <mi>dwc_moreinfo</mi></a>","NY04137087",NA,"Magnoliophyta","Piperales","2527",NA,NA,"South America","sheet",NA,"300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","556174","PreservedSpecimen","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth","R. Callejas Posada",NA,NA,NA,"R. M. Harley","1988","12","05","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Vale a sudeste do Campo do Queiroz","-41.95","-13.53",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=343829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556174",NA,"Magnoliophyta","Piperales","26596",NA,NA,"South America","sheet",NA,"1450","1450","NY00556174_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4137034","PreservedSpecimen","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth",NA,NA,NA,NA,"R. Scolnik","1949","03","05","Colombia","Antioquia",NA,"a 4 kilómetros de Palmitas",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4464410' target='other'> <mi>dwc_moreinfo</mi></a>","NY04137034",NA,"Magnoliophyta","Piperales","19An153",NA,NA,"South America","sheet",NA,"1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4137073","PreservedSpecimen","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth",NA,NA,NA,NA,"P. J. Barbour","1980","05","03","Peru","Madre de Dios","Tambopata","ca. 30 air km or 70-80 river km SSW Puerto Maldonado at effluence Rio La Torre (Rio D'Orbigny) / Rio Tambopata (SE bank); Tambopata Nature Reserve","-69.28","-12.82",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4464494' target='other'> <mi>dwc_moreinfo</mi></a>","NY04137073",NA,"Magnoliophyta","Piperales","5148",NA,NA,"South America","sheet",NA,"260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4137053","PreservedSpecimen","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth",NA,NA,NA,NA,"W. H. Camp","1944","12","13","Ecuador",NA,NA,"Santiago-Zamora: (Oriente): Near Mendez. Valleys and cliff sides of small streams entering río Paute",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4464473' target='other'> <mi>dwc_moreinfo</mi></a>","NY04137053",NA,"Magnoliophyta","Piperales","E1459",NA,NA,"South America","sheet",NA,"533","762","NY04137053_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","251176","PreservedSpecimen","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth","T. G. Yuncker",NA,NA,NA,"E. P. Killip","1922","09","14","Colombia","Valle del Cauca",NA,"Calima, on Rio Calima; Cordillera Occidental","-77.009713","4.071997",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=701591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251176",NA,"Magnoliophyta","Piperales","11240",NA,NA,"South America","sheet",NA,NA,NA,"NY00251176_01",NA,NA,NA,NA,NA,NA,NA,NA
