"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:40:49-03","E","E","287582","PreservedSpecimen","Plantae","Leguminosae","Stryphnodendron","adstringens","Stryphnodendron adstringens","Hatschbach, G.; Barbosa, E.; Deodato, F.","67077","1997","10","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:299556","<a href=http://data.rbge.org.uk/herb/E00287582 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00287582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:49-03","E","E","102428","PreservedSpecimen","Plantae","Leguminosae","Stryphnodendron","adstringens","Stryphnodendron adstringens","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista",NA,"1998","08","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110820","<a href=http://data.rbge.org.uk/herb/E00102428 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:49-03","E","E","100509","PreservedSpecimen","Plantae","Leguminosae","Stryphnodendron","adstringens","Stryphnodendron adstringens","Bridgewater, S., Ratter, J.A. & Filho, J.F.",NA,"1999","04","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109849","<a href=http://data.rbge.org.uk/herb/E00100509 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00934645","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","adstringens","Stryphnodendron adstringens","R. S. Santos","24164","1963","09","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934645","Magnoliophyta","Fabales","(Mart.) Coville","V. R. Scalon","Minas Gerais","Varjao de Minas","Mun. S. José, do Ceribá, Faz. S. José- Varjao","-46.0317","-18.3781","NY00934645_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 11:09:00-02","NY","NYBG","00934622","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","adstringens","Stryphnodendron adstringens","J. E. B. Warming","s.n.","1864",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934622",NA,"Fabales",NA,"V. R. Scalon","Minas Gerais","Lagoa Santa","Lagoa Santa","-43.8894","-19.6272","NY00934622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","459560","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","adstringens","Stryphnodendron adstringens","G. Eiten","2865","1961","05","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459560","Magnoliophyta","Fabales","(Mart.) Coville","E. Forero","São Paulo","Sao José dos Campos","Ca. 7km S of main plaza at Sao Jose dos Campos, along road to Paraibuna. Medium dense cerrado near edge of west-facing slope, about 100m. from highway","-45.88","-23.1703","NY00459560_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","459562","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","adstringens","Stryphnodendron adstringens","G. Eiten","7793","1966","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459562","Magnoliophyta","Fabales","(Mart.) Coville","E. M. Occhioni","São Paulo","Indaiatuba","2km SW of Indaiatuba on road to Salto (14km NE of Salto)","-47.2097","-23.0903","NY00459562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 11:06:00-02","NY","NYBG","00934676","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","adstringens","Stryphnodendron adstringens","R. F. Vieira","243","1986","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934676",NA,"Fabales",NA,"V. R. Scalon","Distrito Federal","Brasília","Próximo a segunda Delegacia de policia (50 m antes) no setor de areas isoladas norte","-47.9294","-15.7797","NY00934676_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00934684","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","adstringens","Stryphnodendron adstringens","H. S. Irwin","7537","1964","10","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934684","Magnoliophyta","Fabales","(Mart.) Coville","V. R. Scalon","Goiás","Jataí","Ca. 60 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.75","-17.4","NY00934684_01","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01081064","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","adstringens","Stryphnodendron adstringens","W. Ganev","420","1992","06","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215331' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081064","Magnoliophyta","Fabales","(Mart.) Coville","J. B. Lima","Bahia","Abaíra","Gerais do Pastinho.","-41.6633","-13.2497","NY01081064_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-11-01 11:05:00-02","NY","NYBG","00934660","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","adstringens","Stryphnodendron adstringens","J. A. Ratter","R2996","1976","05","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934660",NA,"Fabales",NA,"V. R. Scalon","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasilia field station), near Vargem Bonita. ca. 18 km SSW of Brasilia TV tower. Above the Olho da Agua da Onça.","-47.9294","-15.7797","NY00934660_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","459570","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","adstringens","Stryphnodendron adstringens","R. M. Harley","19805","1978","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459570","Magnoliophyta","Fabales","(Mart.) Coville","G. P. Lewis","Bahia","Rio de Contas","18km WNW along road from Vila do Rio de Contas to the Pico das Almas.","-41.88","-13.55","NY00459570_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00934671","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","adstringens","Stryphnodendron adstringens","G. T. Prance","19267","1973","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934671","Magnoliophyta","Fabales","(Mart.) Coville","V. R. Scalon","Mato Grosso","Chapada dos Guimarães","East of town of Chapada dos Guimarães","-55.7494","-15.4608","NY00934671_01","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
