"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","infraspecificEpithet","coordinatePrecision","individualCount","geoFlag","recordNumber","continentOcean","preparationType","class","relatedCatalogItem","typeStatus","fieldNumber","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","13550","PreservedSpecimen","Plantae","Cactaceae","Pereskia","grandiflora","Pereskia grandiflora","Haw.","Vanilde Citadini-Zanette","2018","07","31","Vanilde Citadini-Zanette","2018","05","03","Brasil","Santa Catarina","Criciúma","Horto medicinal da UNESC","-49.412778","-28.705278","49º24'46''W","28º42'19''S","34","34","Flor rosada.","CRI012157","CRI012157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1386","S","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haw.","Nygel Taylor",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1406","S","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia subsp. violacea (leuenb.) n.p.taylor & zappi","Haw.","Nygel Taylor",NA,NA,NA,"Inês Ribeiro de Andrade; Marcia Bacelar, Fernando Fernandes",NA,NA,NA,"Brasil","Minas Gerais","Matias Cardoso","Lajedão","-43.9219017028809","-14.854700088501",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales","subsp. violacea (leuenb.) n.p.taylor & zappi","44859","4","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03889995","PreservedSpecimen","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haw.",NA,NA,NA,NA,"A. L. Bernardi","1953","04","26","Venezuela","Mérida",NA,"En setos vivos en orra Banda:, cerca del sanatorio",NA,NA,NA,NA,"1550",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4181269' target='other'> <mi>dwc_moreinfo</mi></a>","NY03889995",NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,NA,"435","South America","sheet",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645496","PreservedSpecimen","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia grandifolia","Haw.","B. E. Leuenberger",NA,NA,NA,"G. Klug","1929","10",NA,"Peru","Loreto",NA,"Mishuyacu, near Iquitos","-73.412281","-3.792532",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645496","NY00645496_01","Magnoliophyta","Caryophyllales","grandifolia",NA,NA,NA,"40","South America","sheet",NA,NA,NA,NA,NA
"6","2016-09-29 11:27:00-03","NY","NYBG","645497","PreservedSpecimen","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia",NA,"N. P. Taylor; D. C. Zappi",NA,NA,NA,"N. Cuello A.","1988","03","14","Venezuela","Portuguesa",NA,"Dtto. Araure. Carretera Camburito - Qda. Seca - Ayacucho",NA,NA,NA,NA,"450","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=345255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645497","NY00645497_01","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,"72","South America","sheet",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645499","PreservedSpecimen","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haw.","A. N. Lima",NA,NA,NA,"B. E. Leuenberger","1983","04","13","Brazil","Bahia","Vitória da Conquista","Estrada Vitoria da COnquista - Brumado, 20 km E Anagé","-40.8392","-14.8661",NA,NA,NA,NA,"Fotos <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=345254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645499","NY00645499_02","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,"3062","South America","sheet",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","645501","PreservedSpecimen","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haw.","A. N. Lima",NA,NA,NA,"G. Eiten","1965","02","10","Brazil","São Paulo","Paraguaçú Paulista","Along road (to Borá) ca. 1 km N of city of Paraguaçu Paulista","-50.58","-22.4",NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=345259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645501","NY00645501_01","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,"6011","South America","sheet",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645503","PreservedSpecimen","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haw.","A. N. Lima",NA,NA,NA,"J. N. Rose","1915","05","27","Brazil","Bahia",NA,"Vicinity of Bahia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=345261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645503","NY00645503_01","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,"19656","South America","sheet",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","645498","PreservedSpecimen","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haw.","L. C. Ming",NA,NA,NA,"L. C. Ming","1992","07","19","Brazil","Acre","Marechal Thaumaturgo","Reserva Extrativista do Alto Juruá, próximidades do Igarapé Caipora, Seringal Sao Joao, Colocaçao Belford, margem esquerda do Rio Alto Juruá","-72.68","-9.18",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=345253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645498","NY00645498_01","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,"320","South America","sheet",NA,NA,NA,NA,NA
