"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","imagecode","infraspecificEpithet","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:41-03","E","E","313816","PreservedSpecimen","Plantae","Leguminosae","Inga","thibaudiana","Inga thibaudiana","isolectotype","Salzmann, Philipp","1905","01","04","E. Tropical South America","BR","Bahia in comallibus[?illegible]","herbarium specimen of unspecif","BGBASE:330758","<a href=http://data.rbge.org.uk/herb/E00313816 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00313816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01167355","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"E. L. Sette Silva",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1390342' target='other'> <mi>dwc_moreinfo</mi></a>","NY01167355","Magnoliophyta","Fabales","DC.","J. W. Grimes","255","Amapá","NY01167355_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01048777","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana thibaudiana",NA,"H. C. H. Silva","2001","10","24","South America","Brazil","Mata da Usina Sao José","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194253' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048777","Magnoliophyta","Fabales","DC.","F. Bonadeu da Silva","65","Pernambuco","NY01048777_01","thibaudiana","Igarassu","-35.0028","-7.8389","25","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 06:18:00-03","NY","NYBG","418776","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"M. J. Jansen-Jacobs","1989","10","11","South America","Guyana","Mabura Hill, along main road S.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397905' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418776","Magnoliophyta","Fabales",NA,"J. W. Grimes","1974",NA,"NY00418776_01",NA,NA,"-58.75","5.33","75","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01189762","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"D. C. Daly","1981","11","05","South America","Brazil","Approx. 18km S of Tucuruí, just E of old BR 422 along recent logging road.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1313338' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189762","Magnoliophyta","Fabales","DC.","J. W. Grimes","1221","Pará","NY01189762_01",NA,NA,"-49.6735668","-3.9273485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01167358","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"M. Pacheco","1989","02","11","South America","Brazil","Distrito Agropecuário, Fazenda Dimona. Reserva 2303 of the WWF/INPA MCS project. 72 km N of Manaus.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314488' target='other'> <mi>dwc_moreinfo</mi></a>","NY01167358","Magnoliophyta","Fabales","DC.","J. W. Grimes","184","Amazonas","NY01167358_01",NA,NA,"-60.083333","-2.316667","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01189806","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"J. W. Grimes",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1392195' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189806","Magnoliophyta","Fabales","DC.",NA,"3122","Amazonas","NY01189806_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01189772","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"G. T. Prance","1967","02","12","South America","Brazil","Foothills of Serra Tepequem, near Igarape Paparú","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314490' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189772","Magnoliophyta","Fabales","DC.","H. S. Irwin","4340","Roraima","NY01189772_01",NA,NA,"-61.694698","3.733195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01189813","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"W. R. Spironelo",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1392289' target='other'> <mi>dwc_moreinfo</mi></a>","NY01189813","Magnoliophyta","Fabales","DC.",NA,"A31-1","Amazonas","NY01189813_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01179377","PreservedSpecimen","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana",NA,"N. T. da Silva",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391534' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179377","Magnoliophyta","Fabales","DC.",NA,"1896","Pará","NY01179377_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
