"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01192907","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","N. P. Taylor","W. W. Thomas","12617","2001","10","25","South America","Brazil","Bahia","Boa Nova","Fazenda Sao José entrance 8.8 km E of Boa Nova on road to Dario Meira","-40.145367","-14.39383","860","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267488' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192907","NY01192907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","385828","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose",NA,"J. N. Rose","20348","1915","07","22","South America","Brazil","Distrito Federal",NA,"Ilha Grande, near Rio de Janeiro","-44.234582","-23.150897",NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=341664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00385828",NA,"photo of type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","385827","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose",NA,"J. N. Rose","20348","1915","07","22","South America","Brazil","Distrito Federal",NA,"At Ilha Grande, near Rio de Janeiro","-44.234582","-23.150897",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=341663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00385827","NY00385827_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:16:31-03","UFV","VIC","052622","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose",NA,"H.V. Pinto Junior","444","2019","02","18",NA,"Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões, Borda de mata , subida para Pedra do Cruzeiro,antropizado.","-41.3664016723633","-21.0641994476318",NA,NA,NA,"Planta de cerca de 30 cm, ilha de vegetação, caule verde, cilindrico,abundante, sol.","VIC052622","VIC052622",NA,"29430","auto",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-24 17:08:50-03","UFES","SAMES","6252","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose",NA,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.","306","2016","05","26",NA,"Brasil","Espírito Santo","Castelo",NA,"-41.184700012207","-20.6035995483398",NA,NA,NA,"Cache verde com pontuações roxas. Habitat: Habitando ilha de vegetação em afloramento rochoso. Habito: Erva","SAMES06252",NA,NA,"23588","auto","-410544444.0","-203066667.0",NA,NA,NA,NA,NA
"6","2020-04-27 16:09:11-03","UFES","VIES","30481","S","Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","W.C. Cardoso","Zorzanelli, J.P.F.; Couto, D.R.; Dias, H.M. & Perini, M.","1087","2014","09","11",NA,"Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões.","-41.3664016723633","-21.0641994476318","772","772",NA,NA,"VIES030481","VIES030481",NA,"29430","auto",NA,NA,"2019","04","05",NA,NA
"7","2020-04-27 16:09:11-03","UFES","VIES","33571","S","Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","W.C. Cardoso","Pinto Júnior, H.V.; Pereira, M.C.A.; Bernardi, U.C.S. & Ferreira, R.S.","97","2013","08","09",NA,"Brasil","Espírito Santo","Mimoso do Sul","Conceição do Muqui.","-41.3664016723633","-21.0641994476318","977","977",NA,NA,"VIES033571","VIES033571",NA,"29430","auto",NA,NA,"2019","04","05",NA,NA
"8","2020-04-27 16:09:11-03","UFES","VIES","21740","S","Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","W.C. Cardoso","Couto, D.R.; Fontana, A.P.; Leme, E. & Kollmann, L.J.C.","913","2008","09","05",NA,"Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões.","-41.3664016723633","-21.0641994476318",NA,NA,NA,NA,"VIES021740",NA,NA,"29430","auto",NA,NA,"2019","04","05",NA,NA
"9","2020-01-21 19:38:54-03","UESC","UESC","24921","S","Plantae","Angiospermae","Florideophycidae","Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","D.C. Zappi & E.A.Rocha","Ronison R. dos Santos,","517","2019","10","24",NA,"Brasil","Bahia","Camacã",NA,"-39.565","-15.393056","815","815",NA,"Floresta montana.; Planta rupícola.","UESC0024921",NA,NA,NA,NA,"39W33'54''","15S23'35''","2019","12",NA,"Dicotyledoneae",NA
"10","2021-02-11 17:18:26-03","UFPR","UPCB","91044","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","Zappi, D.","Forzza, R.C. et al.","5433","2009","01","20",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Mata do brejo próxima da sede. Floresta Ombrófila Densa Altomontana com inselbergues.","-41.084","-20.516","1100","1400",NA,"Planta epífita. Flores com ovário verde; perianto amarelo, estames creme..",NA,NA,NA,NA,NA,"-41.084","-20.516","2010",NA,NA,NA,NA
"11","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","21940",NA,"Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","D.R. Gonzaga/10-06-2015","L. Kollmann","6374","2004","01","27",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Epífita na sombra. Flores amarelas.","MBML021940","MBML021940",NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA
"12","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","24754",NA,"Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","D.R. Gonzaga/10-06-2015","L. Kollmann; et al","7993","2005","07","12",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Rupestre no sol. Flores laranjas.","MBML024754","MBML024754",NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA
"13","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","35007",NA,"Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","D.R. Gonzaga/10-06-2015","A. P. Fontana; et al","4801","2008","02","12",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande.Trilha para as piscinas","-41.083611","-20.516111",NA,NA,NA,NA,"MBML035007","MBML035007",NA,NA,NA,"41W5'1","20S30'58",NA,NA,NA,NA,NA
"14","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","36344",NA,"Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","D.R. Gonzaga/10-06-2015","P. Labiak; et al","4880","2008","07","20",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.120556","-20.524444",NA,NA,NA,NA,"MBML036344","MBML036344",NA,NA,NA,"41W7'14","20S31'28",NA,NA,NA,NA,NA
"15","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","37195",NA,"Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","D. C. Zappi","R. C. Forzza; et al","5433","2009","01","20",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.083611","-20.516111",NA,NA,NA,NA,"MBML037195","MBML037195_1 MBML037195_2",NA,NA,NA,"41W5'1","20S30'58",NA,NA,NA,NA,NA
"16","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","53506",NA,"Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose",NA,"A.D. Ferreira","405","2018","09","15",NA,"Brasil","Espírito Santo","Santa Teresa","RPPN MACACO BARBADO. Trilha Radical","-40.609514","-19.990989",NA,NA,NA,"Trepadeira caída no chão. Inflorescência com única flor. Flor alaranjada. Folhas modificadas em formato cilíndrico","MBML053506","MBML053506",NA,NA,NA,"40W36'34,25","19S59'27,56",NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","762545","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose",NA,"J. N. Rose & P. G. Russell","20348","1915","8","7","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"US00115673","US00115673_01","Type collection",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"18","2019-11-13 11:17:20-03","USP","SPF","190113","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","Calvente, AM","Calvente, AM","278","2007","01","19",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.0845","-20.526028","1178","1178",NA,NA,"SPF00190113",NA,NA,NA,NA,"-41.0845","-20.526028",NA,NA,NA,NA,NA
"19","2019-11-13 11:17:20-03","USP","SPF","204272","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica","Britton & Rose","Gonzaga, DR","Labiak, PH","4880","2008","07","20",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.120556","-20.524444","1480","1480",NA,NA,"SPF00204272",NA,NA,NA,NA,"-41.120556","-20.524444","2015","07","20",NA,NA
"20","2020-07-23 12:01:19-03","CEPLAC","CEPEC","129386","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hatiora","cylindrica","Hatiora cylindrica",NA,"L. Kollmann","A. P. Fontana","4801",NA,NA,NA,NA,"Brasil","Espírito Santo","castelo",NA,"-41.184700012207","-20.6035995483398",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,"23588","auto",NA,NA,NA,NA,NA,NA,NA
