"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","individualCount","class","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","376301","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","candida","Aechmea candida","E.Morren ex Baker","M. A. Spencer","W. W. Thomas","9111","1992","05","03","South America","Brazil","Bahia","Aurelino Leal","11.2 km W of BR 101 & Aurelino Leal on rd to Lage do Banco. Rocky, somewhat disturbed slope forest","-39.38","-14.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376301","NY00376301_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:44:51-03","EAO","IAN","36769","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Aechmea","candida","Aechmea candida","E.Morren ex Baker",NA,"Strauss","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN036769","IAN036769_f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-22 12:14:00-03","MO","MOBOT","2458984","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","candida","Aechmea candida","E. Morren ex Baker",NA,"O. V. Guimarães","Guimarães 28","1965","1",NA,"South America","Brazil","Santa Catarina",NA,"Araguari",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"4","2011-03-02 13:20:00-03","MO","MOBOT","2752713","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","candida","Aechmea candida","E. Morren ex Baker",NA,"Heinrich C. Strauss","Strauss s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-05-18 05:29:00-03","MO","MOBOT","3003083","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","candida","Aechmea candida","E. Morren ex Baker",NA,"C. H. B. Leod","Leod s.n.","1884",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","3003170","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","candida","Aechmea candida","E. Morren ex Baker",NA,"George H. Pring","Pring s.n.","2010","2","28","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2959459","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Aechmea","candida","Aechmea candida","É. Morren ex Baker",NA,"R. E. Braga & P. I. S. Braga","22/932","1968","7","17","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Petrópolis, Pati do Alferes.",NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2613021","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Aechmea","candida","Aechmea candida","É. Morren ex Baker",NA,"O. Guimarães","28",NA,NA,NA,"South America","Brazil","Santa Catarina",NA,"Araguari.",NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2504909","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Aechmea","candida","Aechmea candida","É. Morren ex Baker",NA,"M. B. Foster","s.n.","1967","2",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2602346","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Aechmea","candida","Aechmea candida","É. Morren ex Baker",NA,"M. Cacilda","1?",NA,NA,NA,"South America","Brazil","Santa Catarina",NA,"Araguari.",NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA
