"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","identifiedBy","phylum","class","order","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2012-10-17 05:07:00-03","MO","MOBOT","1449181","PreservedSpecimen","Plantae","Apocynaceae","Matelea","santosii","Matelea santosii","Fontella & Morillo","Holotype","Talmon S. dos Santos","Santos 351","1969","1","24","South America","Brazil","Bahia","Itajú do Colonia, km 8 da estrata Itajú-Pau Brasil, a 3 km do ramal a direita, solo pedregosa de capim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2012-10-17 05:07:00-03","MO","MOBOT","3413276","PreservedSpecimen","Plantae","Apocynaceae","Matelea","santosii","Matelea santosii","Fontella & Morillo",NA,"Talmon S. dos Santos","Santos 2254","1972","2","25","South America","Brazil","Bahia","Rodovia Palmira a Itajú do Colonia","Fontella & Morillo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-07 09:13:36-03","UEFS","HUEFS","85663","PreservedSpecimen","Plantae","Apocynaceae","Matelea","santosii","Matelea santosii","Morillo & Fontella",NA,"Santos, T.S.dos","2254","1972","02","25",NA,"Brasil","Bahia","Rod. Palmira Itaju do Colônia.",NA,"Angiospermae","Asteranae","Gentianales","Itabuna","-39.2803001403809","-14.7855997085571","30592","HUEFS0085663","auto",NA,NA,NA
"4","2020-07-23 11:58:26-03","CEPLAC","CEPEC","8585","PreservedSpecimen","Plantae","Asclepiadaceae","Matelea","santosii","Matelea santosii",NA,"Paratipo","T. S. dos Santos","2254","1972","02","25",NA,"Brasil","Bahia","Rod. Palmira/Itaju do Colonia.","J. Fontella",NA,NA,NA,"ITAJÚ DO COLÔNIA","-39.7243995666504","-15.1424999237061","26963",NA,"auto","0W0'0","0S0'0","30/12/1994"
"5","2020-07-23 11:58:26-03","CEPLAC","CEPEC","5006","PreservedSpecimen","Plantae","Asclepiadaceae","Matelea","santosii","Matelea santosii",NA,"Holótipo","T. S. dos Santos","351","1986","11","06",NA,"Brasil","Bahia","Km 8 da estrada Itaju do Colonia/Pau-brasil a 3Km do ramal a direita.","J. Fontella",NA,NA,NA,"ITAJÚ DO COLÔNIA","-39.7243995666504","-15.1424999237061","26963",NA,"auto",NA,NA,"05/05/1993"
