"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:19-03","E","E","134648","PreservedSpecimen","Plantae","Malvaceae","Luehea","candicans","Luehea candicans","Dubs, Balthasar","2613","1998","11","28","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143079","<a href=http://data.rbge.org.uk/herb/E00134648 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","629397","PreservedSpecimen","Plantae","Malvaceae","Luehea","candicans","Luehea candicans","J. L. Zarucchi","2642","1979","10","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=520045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629397","Magnoliophyta","Malvales","Mart.","L. J. Dorr","Rondônia","Mineraçao Taboca at Massangana (ca. 35 km WSW of Ariquemes)","-63.33","-10.03","NY00629397_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00996440","PreservedSpecimen","Plantae","Malvaceae","Luehea","candicans","Luehea candicans","A. Macedo","1307","1948","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996440","Magnoliophyta","Malvales","Mart.",NA,"Minas Gerais","S. Terezinha.","-49.465","-18.9692","NY00996440_01","Ituiutaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00996443","PreservedSpecimen","Plantae","Malvaceae","Luehea","candicans","Luehea candicans","A. F. M. Glaziou","13561","1881","02","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996443","Magnoliophyta","Malvales","Mart.","H. L. Setser","Minas Gerais","Rio Arassuahy.",NA,NA,"NY00996443_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00996425","PreservedSpecimen","Plantae","Malvaceae","Luehea","candicans","Luehea candicans","H. S. Irwin","21040","1968","03","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996425","Magnoliophyta","Malvales","Mart.","H. L. Setser","Tocantins","Land of George Yunes & Cia., Rio das Lontras.","-48.22","-7.22","NY00996425_01","Araguaína","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","629395","PreservedSpecimen","Plantae","Malvaceae","Luehea","candicans","Luehea candicans","G. Gardner","5375","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=520053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629395","Magnoliophyta","Malvales","Mart.","H. L. Setser","Rio de Janeiro",NA,NA,NA,"NY00629395_01 NY00629395_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00996445","PreservedSpecimen","Plantae","Malvaceae","Luehea","candicans","Luehea candicans","R. M. Harley","10391","1968","10","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996445","Magnoliophyta","Malvales","Mart.","L. J. Dorr","Mato Grosso","c. 2,5 km S.E. of base camp.","-51.77","-12.82","NY00996445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00996499","PreservedSpecimen","Plantae","Malvaceae","Luehea","candicans","Luehea candicans","R. Goodland","172","1965","11","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996499","Magnoliophyta","Malvales","Mart.","C. M. Pannell","Minas Gerais","Melo, 3 km N of Horto.","-44.4042","-19.2744","NY00996499_01","Paraopeba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02207746","PreservedSpecimen","Plantae","Malvaceae","Luehea","candicans","Luehea candicans","C. C. Berg","P18576","1973","10","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341808' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207746","Magnoliophyta","Malvales","Mart.",NA,"Mato Grosso","On road from Humboldt Centre to port on Rio Aripuana","-59.35","-10.2","NY02207746_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00996420","PreservedSpecimen","Plantae","Malvaceae","Luehea","candicans","Luehea candicans","H. S. Irwin","16731","1966","06","07","South America","Brazil","separate fruit",NA,"Separate fruit <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996420","Magnoliophyta","Malvales","Mart.","H. L. Setser","Mato Grosso","Ca. 2 km. N.E. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.33687","-14.65392","NY00996420_01",NA,"400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
