"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:33:44-03","UNESC","CRI","1265","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","burkartiana","Eugenia burkartiana","(D.Legrand) D.Legrand","J. J. Zocche","J. J. Zocche","1992","09","24","Brasil","Santa Catarina","Forquilhinha","-49.474444","-28.747778","49º28'28''W","28º44'52''S","CRI005015","CRI005015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:37-03","UNESC","CRI","3227","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","burkartiana","Eugenia burkartiana","(D.Legrand) D.Legrand","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1993","03","13","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI005016","CRI005016","1976","Rio Novo.","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:47-03","E","E","287578","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","burkartiana","Eugenia burkartiana",NA,NA,"Barbosa, E. & Cruz, J.M.","1997","04","17","BR",NA,NA,NA,NA,NA,NA,"E00287578",NA,"68",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:299577","<a href=http://data.rbge.org.uk/herb/E00287578 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579870","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","burkartiana","Eugenia burkartiana","(D.Legrand) D.Legrand","B. K. Holst","G. G. Hatschbach","1966","08","17","Brazil","Paraná","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,"NY00579870","NY00579870_01","14612","Sitio do Belizario",NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201210' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1016781","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","burkartiana","Eugenia burkartiana","(D.Legrand) D.Legrand","M. Sobral","G. G. Hatschbach","1969","02","28","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"NY01016781","NY01016781_01","21204","São João da Graciosa.","50","100","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193129' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","579871","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","burkartiana","Eugenia burkartiana","(D.Legrand) D.Legrand","S. M. Silva","M. G. M. Marques","1993","02","22","Brazil","Paraná","Três Barras do Paraná","-53.17","-25.42",NA,NA,"NY00579871","NY00579871_01","s.n.","Fazenda Guaraní.",NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201206' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","579868","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","burkartiana","Eugenia burkartiana","(D.Legrand) D.Legrand","B. K. Holst","G. G. Hatschbach","1968","06","13","Brazil","Paraná","Laranjeiras do Sul","-52.4158","-25.4081",NA,NA,"NY00579868","NY00579868_01","19417","Rio Iguaçu, prox. a barra do Perdido.",NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201208' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","579865","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","burkartiana","Eugenia burkartiana","(D.Legrand) D.Legrand","C. M. D. E. Legrand","R. Reitz","1956","03","29","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00579865","NY00579865_01","2954","Morroda Ressacada, Itajaí","100","100","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201203' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557948","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","burkartiana","Eugenia burkartiana","(D.Legrand) D.Legrand","F. F. Mazine","P. K. H. Dusén","1908","09","12","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00557948","NY00557948_01","6716","Serra do Mar, Ypiranga",NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479588' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","579867","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","burkartiana","Eugenia burkartiana","(D.Legrand) D.Legrand","C. M. D. E. Legrand","G. G. Hatschbach","1968","05","30","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"NY00579867","NY00579867_01","19281","Rio Sagrado de Cima","150","150","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201204' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
