"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","stateProvince","preparationType","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","typeStatus","individualCount","fieldNumber"
"1","2021-04-05 14:25:58-03","UNESC","CRI","6459","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","lancifolia","Quillaja lancifolia","D.Don","J. A. Jarenkow","J. A. Jarenkow","1998","01","19","Brasil","Brasil","BR - 116 divisa com Tapes.","-51.301389","-30.291667","51º18'5''W","30º17'30''S","Habitat: borda de mata residula de encosta Habito: arvoreta","CRI009286","CRI009286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","656670","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.",NA,"M. Bernardi","1980","04","07","Paraguay",NA,"Ad rivulum Tembey, prope Colonia Naranjito",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656670","NY00656670_01","Magnoliophyta","Fabales","20501","South America","Itapúa","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","656665","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.","G. G. Hatschbach","L. R. Landrum","1977","11","22","Brazil","Lajes","4-6 km west of Capao Alto","-50.5","-27.83",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656665","NY00656665_01","Magnoliophyta","Fabales","2669","South America","Santa Catarina","sheet","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","656659","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.","B. Rambo","B. Rambo","1931","10","10","Brazil","Porto Alegre","Porto Alegre","-51.153181","-30.11284",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656659","NY00656659_01","Magnoliophyta","Fabales","599","South America","Rio Grande do Sul","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","656668","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.","W. G. F. Herter","W. G. F. Herter","1934","07","24","Uruguay",NA,"Chiflero",NA,NA,NA,NA,"Distrib. anno 1948 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656668","NY00656668_01","Magnoliophyta","Fabales","1367","South America","Artìgas","sheet","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","656660","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.","L. B. Smith","L. B. Smith","1957","02","12","Brazil","Lajes","Estrada da Rodagem Federal km 3 south of Lajes","-50.3258","-27.8161",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656660","NY00656660_01","Magnoliophyta","Fabales","11294","South America","Santa Catarina","sheet","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","656666","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.","L. J. Barroso","A. C. Brade","1949","02","16","Brazil","Guarapuava","Guarapuava","-51.483771","-25.394435",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656666","NY00656666_01","Magnoliophyta","Fabales","19571","South America","Paraná","sheet","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1843015","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.","A. Schinini","T. M. Pedersen","1995","01","28","Uruguay",NA,"Bajada de Pena",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2087095' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843015","NY01843015_01","Magnoliophyta","Fabales","16255","South America","Rivera","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","656662","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.","G. G. Hatschbach","G. G. Hatschbach","1970","02","25","Brazil","Guarapuava","Palmerinha","-51.4581","-25.3956",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656662","NY00656662_01","Magnoliophyta","Fabales","26493","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","656669","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.",NA,"E. L. Ekman","1908","01","07","Argentina","Posadas","Bonpland",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656669","NY00656669_01","Magnoliophyta","Fabales","1871","South America","Misiones","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","656661","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.","L. B. Smith","L. B. Smith","1957","03","17","Brazil","Lajes","Estrada da Rodagem Federal km 3 south of Lajes","-50.3258","-27.8161",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656661","NY00656661_01","Magnoliophyta","Fabales","12230","South America","Santa Catarina","sheet","900","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","656667","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.","J. V. Monachino","G. G. Hatschbach","1949","02","15","Brazil",NA,"Guarapuava","-51.483771","-25.394435",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656667","NY00656667_01","Magnoliophyta","Fabales","1382","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","656664","PreservedSpecimen","Plantae","Quillajaceae","Quillaja","brasiliensis","Quillaja brasiliensis","(A.St.-Hil. & Tul.) Mart.","S. F. Smith","R. A. Wasum","1998","05","31","Brazil","Caçapava do Sul","Minas de Camaqua","-53.4914","-30.5122",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656664","NY00656664_01","Magnoliophyta","Fabales",NA,"South America","Rio Grande do Sul","sheet","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
